[I 2026-07-17 15:03:41,491] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:05:13,435] Trial 12 finished with value: -0.019348770249608627 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.0009847646790443801, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005215755116372815, 'reg_lambda': 1.482738060283723e-05, 'gamma': 0.011017864181096994}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:30,065] Trial 13 finished with value: -0.019394025623817094 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.0002966063502700962, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001322155777355661, 'reg_lambda': 6.266131286216604e-06, 'gamma': 0.006605934305259258}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:32,535] Trial 14 finished with value: -0.019445477014201854 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.00279777792422803, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.398755515919203e-06, 'reg_lambda': 5.4485537199071115e-06, 'gamma': 4.60126560068417e-05}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:35,478] Trial 16 finished with value: -0.01933730684274486 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.004028480453782779, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.013815600134794962, 'reg_lambda': 0.0003503656526510487, 'gamma': 2.116464532734786}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:35,802] Trial 15 finished with value: -0.025578425635324923 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.059775351442754955, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 6.365735414524072e-06, 'reg_lambda': 0.18937658616360675, 'gamma': 3.7996285407041133e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:37,517] Trial 17 finished with value: -0.019334790353536985 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.0017198662315636433, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 58.579164474864804, 'reg_lambda': 91.18516659243902, 'gamma': 2.5934012968734524e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:53,404] Trial 18 finished with value: -0.020638971482686987 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.003101288819830151, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.10363464159649068, 'reg_lambda': 99.89687179149664, 'gamma': 1.23816074407815e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:57,101] Trial 19 finished with value: -0.019347408678695836 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.003456613343176048, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 50.053953326118275, 'reg_lambda': 54.49402257619377, 'gamma': 1.214566606621185e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:05:59,325] Trial 20 finished with value: -0.019347408678695836 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.004317830400354602, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 32.72861583716061, 'reg_lambda': 82.19936637594078, 'gamma': 1.5002081257670146e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:06:25,624] Trial 21 finished with value: -0.023202732597266122 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.0038278013545986252, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.26286473122123405, 'reg_lambda': 89.98751281337046, 'gamma': 2.097186043789046e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:06:28,612] Trial 22 finished with value: -0.019347408678695836 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.005200897025401309, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 75.1840610518792, 'reg_lambda': 27.23259025880484, 'gamma': 1.0641209526677702e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:06:32,469] Trial 23 finished with value: -0.019378106377586923 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.3987750758726059, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 17.691124495521027, 'reg_lambda': 93.19572397318593, 'gamma': 1.3871914350833199e-06}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:06:36,296] Trial 24 finished with value: -0.019390939628010587 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.3530446209601416, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 14.660059488172367, 'reg_lambda': 65.27370155413968, 'gamma': 1.024068230089777e-06}. Best is trial 3 with value: -0.03738744303876147.
