[I 2026-07-17 12:33:01,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:34:16,452] Trial 12 finished with value: -0.12961639741707526 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.2847674644804576, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 6.60742713551599e-05, 'reg_lambda': 0.015742525717846154, 'gamma': 4.940181143613645e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:19,711] Trial 13 finished with value: -0.06737919540216075 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.0030394059757741275, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 25.428805390107048, 'reg_lambda': 6.0675419110495886e-05, 'gamma': 0.009126147489827397}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:20,569] Trial 14 finished with value: -0.06739560214945009 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.024633798390743998, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 98.95549059152148, 'reg_lambda': 1.496995346624502, 'gamma': 0.003625736696074869}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:23,832] Trial 15 finished with value: -0.06677120051748175 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.008191542198861212, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 9.582940159383353e-05, 'reg_lambda': 0.004998378423098875, 'gamma': 0.00019325187464040857}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:38,457] Trial 16 finished with value: -0.06568689231873305 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.0002984309574440588, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.2217979287901688, 'reg_lambda': 15.68126040710695, 'gamma': 1.146357589750247e-06}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:41,789] Trial 17 finished with value: -0.06736470261145354 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.015060633326325049, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.10071290613957291, 'reg_lambda': 0.15889053492311025, 'gamma': 87.3640566704698}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:47,988] Trial 18 finished with value: -0.07693685058379264 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.027573471908312983, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02443690011832892, 'reg_lambda': 1.5736942288318363e-05, 'gamma': 0.00010611565965513474}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:53,649] Trial 19 finished with value: -0.07588219935098761 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.028385676554542747, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.007242770264367054, 'reg_lambda': 1.3191464670466362e-05, 'gamma': 9.543817733708998e-05}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:56,454] Trial 20 finished with value: -0.07223606480185073 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.02818795969448386, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.015014528694603256, 'reg_lambda': 0.010331889075044325, 'gamma': 0.00013399290228698272}. Best is trial 12 with value: -0.12961639741707526.
[I 2026-07-17 12:34:58,679] Trial 21 finished with value: -0.06936096245235554 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.024686869903659075, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.01358100588905751, 'reg_lambda': 0.010106667712055315, 'gamma': 0.00021997251443512414}. Best is trial 12 with value: -0.12961639741707526.
