[I 2026-07-17 11:36:52,867] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:38:39,375] Trial 12 finished with value: -0.13473690343427222 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00017981009504005284, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 3.26871297986286e-06, 'reg_lambda': 5.542778972245352e-05, 'gamma': 1.9303238596949425e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:38:45,722] Trial 13 finished with value: -0.10019170934992891 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.4016495910831927, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.06525599542249871, 'reg_lambda': 1.2518424853239902e-05, 'gamma': 0.05025000659692506}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:38:49,342] Trial 14 finished with value: -0.07849160091600249 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.005737359204855494, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.1276498357306686, 'reg_lambda': 0.8592174373298784, 'gamma': 9.035114428995932}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:38:56,945] Trial 15 finished with value: -0.06270932908640993 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.11495564229975806, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 4.645455981151608, 'reg_lambda': 0.6730809888773168, 'gamma': 0.14628178980569356}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:17,172] Trial 17 finished with value: -0.1329643081913171 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0011548940142515603, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 67.0886285212498, 'reg_lambda': 65.88293079104093, 'gamma': 1.0530168828785643e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:17,551] Trial 16 finished with value: -0.0824333474807471 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.0006643265845671157, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002596318148216139, 'reg_lambda': 0.08601966028277101, 'gamma': 0.005074572980472314}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:26,331] Trial 18 finished with value: -0.12381702589485598 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.00012471680168187036, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 30.952337080229604, 'reg_lambda': 1.6525600567517716e-06, 'gamma': 1.1873860835246006e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:30,114] Trial 20 finished with value: -0.13100654011610316 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.0004961391027069781, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 64.95219553790703, 'reg_lambda': 2.2398043685543135e-06, 'gamma': 1.5141535286014267e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:30,175] Trial 19 finished with value: -0.1292301478530778 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.0001055463851897945, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 75.35229412717737, 'reg_lambda': 1.6805776566366495e-06, 'gamma': 1.0357587551475518e-06}. Best is trial 12 with value: -0.13473690343427222.
[I 2026-07-17 11:39:30,826] Trial 21 finished with value: -0.13395582555796842 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0005211911738207954, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 43.61489638196313, 'reg_lambda': 2.0036717061467917e-06, 'gamma': 1.7412082919305966e-06}. Best is trial 12 with value: -0.13473690343427222.
