[I 2026-07-17 15:29:03,708] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:30:07,403] Trial 12 finished with value: -0.046325413326799444 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.35897883017294935, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0139703434972228, 'reg_lambda': 2.7829861506662636, 'gamma': 0.15600707658659566}. Best is trial 12 with value: -0.046325413326799444.
[I 2026-07-17 15:30:10,074] Trial 13 finished with value: -0.01905561725484487 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.18238175702313109, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 2.2527821000831004e-06, 'reg_lambda': 0.0009209250417757685, 'gamma': 0.3943850224312358}. Best is trial 12 with value: -0.046325413326799444.
[I 2026-07-17 15:30:14,261] Trial 14 finished with value: -0.023381693282582418 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.03301427072132144, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.7252008164229713, 'reg_lambda': 2.624499585847661, 'gamma': 1.4651390103533499e-05}. Best is trial 12 with value: -0.046325413326799444.
[I 2026-07-17 15:30:16,560] Trial 15 finished with value: -0.01906129987699444 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.0018293493310479506, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.23133205976321455, 'reg_lambda': 4.601821950626325e-06, 'gamma': 2.819664864229185}. Best is trial 12 with value: -0.046325413326799444.
[I 2026-07-17 15:30:24,215] Trial 16 finished with value: -0.01904362467753357 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.0001262923885643114, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03726966996734912, 'reg_lambda': 0.001661558492336513, 'gamma': 0.00016081874733415335}. Best is trial 12 with value: -0.046325413326799444.
[I 2026-07-17 15:30:34,727] Trial 17 finished with value: -0.05657200603870184 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.4983215457425987, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0719646005543332, 'reg_lambda': 82.79660273259833, 'gamma': 0.0007243250825897363}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:30:45,789] Trial 18 finished with value: -0.028325502750372253 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.030920139497684233, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03266435218329527, 'reg_lambda': 71.18344551443381, 'gamma': 5.077418546688915e-05}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:30:56,319] Trial 19 finished with value: -0.030256104683808748 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.048747169830926106, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.024900020128933092, 'reg_lambda': 41.16619488300346, 'gamma': 7.460698181943195e-05}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:08,974] Trial 20 finished with value: -0.04064543738920465 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.15180270125039752, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04311605123420269, 'reg_lambda': 38.97824894808508, 'gamma': 0.00022485633505101162}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:15,047] Trial 21 finished with value: -0.03618622533352069 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.10048410363617839, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.05097268415172607, 'reg_lambda': 39.2639341685677, 'gamma': 0.0003017390805177781}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:22,236] Trial 23 finished with value: -0.023460080971023912 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.13168531057730376, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0192279724197117, 'reg_lambda': 21.97559989776138, 'gamma': 0.01063883782260846}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:22,817] Trial 22 finished with value: -0.03841360630183713 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.1230046883338723, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.032436568835598034, 'reg_lambda': 96.68395709850638, 'gamma': 0.00046689658553360057}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:33,273] Trial 24 finished with value: -0.029681894260518607 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.12076858557712934, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.011074140511421396, 'reg_lambda': 1.277085309138069e-06, 'gamma': 0.03630737215942657}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:40,508] Trial 25 finished with value: -0.054306924390884234 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.4520270044249883, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.010492790270356425, 'reg_lambda': 76.2761294739507, 'gamma': 0.02318381368085521}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:51,176] Trial 26 finished with value: -0.04106527441903933 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.12341970044716045, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.006608801065968096, 'reg_lambda': 73.00768228311236, 'gamma': 0.017123148661993357}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:31:57,650] Trial 27 finished with value: -0.03347915520362754 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.1425890136939309, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.004838641570894897, 'reg_lambda': 14.825567310028918, 'gamma': 0.02449960969154438}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:32:10,156] Trial 28 finished with value: -0.04572900106669267 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.4778375124945974, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0033389602388467637, 'reg_lambda': 0.3957612064215743, 'gamma': 0.017034284810972668}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:32:16,305] Trial 29 finished with value: -0.05526673020744843 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.48362168185105286, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.004843364461056575, 'reg_lambda': 1.1146862880607182e-06, 'gamma': 0.027439634689343354}. Best is trial 17 with value: -0.05657200603870184.
[I 2026-07-17 15:32:25,333] Trial 30 finished with value: -0.06456990882033042 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.4400736836723354, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.9801073650386676, 'reg_lambda': 0.20282746894095988, 'gamma': 0.04015822157492173}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:32:34,118] Trial 31 finished with value: -0.06168362005769265 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.47971332167202424, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.173925806438443, 'reg_lambda': 0.32684731501109665, 'gamma': 0.05630098888865388}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:32:37,896] Trial 32 finished with value: -0.054534565258396867 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.4445153887817245, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.7437333385595166, 'reg_lambda': 0.5574914674313223, 'gamma': 0.07042839648530591}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:32:53,158] Trial 33 finished with value: -0.05435029454470897 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.4824113916309364, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00024507027429898084, 'reg_lambda': 0.321253014257744, 'gamma': 0.06495047571738777}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:09,785] Trial 34 finished with value: -0.05525300898585293 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.46281719377939146, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0007272488851504856, 'reg_lambda': 6.97235979060168, 'gamma': 0.07109740020477942}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:18,292] Trial 35 finished with value: -0.05475036876983498 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.44772282721914675, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00018453707992357289, 'reg_lambda': 0.1642301078882501, 'gamma': 0.11367123390239942}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:19,013] Trial 36 finished with value: -0.01902079768046674 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.4925110173054713, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00023453208048984403, 'reg_lambda': 6.375169771828835, 'gamma': 61.21731254920006}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:22,933] Trial 37 finished with value: -0.023021923270731836 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.01927332168650688, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00028143844928299656, 'reg_lambda': 0.19145215897317006, 'gamma': 0.0015316151409574268}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:31,882] Trial 38 finished with value: -0.049604013832632736 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.49646537715679095, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00015609662784831418, 'reg_lambda': 0.24433737315108398, 'gamma': 0.0014287158183659205}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:39,786] Trial 39 finished with value: -0.05204699685879062 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.3127402956170834, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0001424521724272746, 'reg_lambda': 0.3543649109165613, 'gamma': 0.0015898161683845892}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:39,892] Trial 40 finished with value: -0.01955733724710857 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.2547230907907121, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 11.80025470567648, 'reg_lambda': 0.12564527922756583, 'gamma': 0.0023570460403096734}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:41,979] Trial 41 finished with value: -0.019051482259652194 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.262167676468688, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.16199044208449237, 'reg_lambda': 0.11111947036733695, 'gamma': 20.996576010656007}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:42,378] Trial 42 finished with value: -0.022051895598101015 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.202302226457141, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 8.148536978984051, 'reg_lambda': 0.09536693630483249, 'gamma': 0.0028845233833982263}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:43,267] Trial 43 finished with value: -0.01921555493435015 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.2504081626318894, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 13.55545706955825, 'reg_lambda': 0.007651372644345593, 'gamma': 0.0032363669245594677}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:51,724] Trial 44 finished with value: -0.05578699866761325 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.24635489462070742, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.2538585530016803, 'reg_lambda': 0.00462464427244325, 'gamma': 0.0017736342393806154}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:53,251] Trial 45 finished with value: -0.01929422311024259 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.22238379120114699, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 14.448872850145266, 'reg_lambda': 0.003486451001303518, 'gamma': 0.005523084745424723}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:54,703] Trial 46 finished with value: -0.019049088417249546 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.2137371919604749, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 13.352445439433465, 'reg_lambda': 0.008198792805057985, 'gamma': 15.082677314169414}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:33:56,247] Trial 47 finished with value: -0.019016550727894623 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.2323433639499804, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.19541652507917606, 'reg_lambda': 0.005143656209306269, 'gamma': 0.4945073176719445}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:08,316] Trial 48 finished with value: -0.04998090837295937 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.25383485484850704, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.4942180595618912e-05, 'reg_lambda': 0.008288985356224637, 'gamma': 0.006587990411079523}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:11,096] Trial 49 finished with value: -0.019029333849720092 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.07260497506549769, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0013472410580972882, 'reg_lambda': 0.00760941223517154, 'gamma': 0.8534759942601152}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:11,627] Trial 50 finished with value: -0.019035110487709384 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.09658265732031557, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.3763706896123441, 'reg_lambda': 1.4566140896000566, 'gamma': 0.592432878293797}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:12,859] Trial 51 finished with value: -0.01903308944293465 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.07527330114727138, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0012883001622807442, 'reg_lambda': 5.65901422903878, 'gamma': 0.37994147148962665}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:16,829] Trial 52 finished with value: -0.01905230871691591 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.07828372202598148, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5247393266066613, 'reg_lambda': 0.006421930698810025, 'gamma': 0.8615017447335352}. Best is trial 30 with value: -0.06456990882033042.
[I 2026-07-17 15:34:17,564] Trial 54 finished with value: -0.019054664227097732 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.08466070088679238, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.232203324456858, 'reg_lambda': 0.00031377452789982206, 'gamma': 1.1485239940882594}. Best is trial 30 with value: -0.06456990882033042.
