[I 2026-07-17 13:38:07,105] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:39:16,670] Trial 12 finished with value: -0.03256212649001264 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.0007115880368070393, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 35.3268630487193, 'reg_lambda': 21.747603472535292, 'gamma': 1.0672333878250984}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:18,630] Trial 13 finished with value: -0.03255385268430876 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.03410187748214816, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 2.7713698684563717, 'reg_lambda': 0.0005271559910597657, 'gamma': 5.683743307277541}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:25,433] Trial 14 finished with value: -0.044110058737184016 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.23762681808053726, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.4486299715900482e-06, 'reg_lambda': 4.127761675366006e-06, 'gamma': 0.028193922123732153}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:28,647] Trial 15 finished with value: -0.029946701002398712 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00031330251080471873, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 15.543412696393899, 'reg_lambda': 0.4828852575965579, 'gamma': 0.0002633550722693885}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:31,277] Trial 16 finished with value: -0.03043219179695358 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.00024056198940439555, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.06947016568935599, 'reg_lambda': 3.0228347114537037e-05, 'gamma': 0.0857993366969952}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:42,833] Trial 17 finished with value: -0.0368398176196331 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.08371638637884982, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005665293149372758, 'reg_lambda': 1.199714513885299e-06, 'gamma': 0.00013075164359035193}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:55,246] Trial 18 finished with value: -0.03796486780369419 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.0696187001434001, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.20708304044700312, 'reg_lambda': 1.8805851300080253e-06, 'gamma': 0.0043128564565848545}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:40:08,633] Trial 19 finished with value: -0.03798064784543193 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.0745245810578508, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.5028503552328262, 'reg_lambda': 2.5294433184112803e-06, 'gamma': 0.00510300246077218}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:40:23,147] Trial 20 finished with value: -0.03834595810245144 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.07229892480846743, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.28231015420700545, 'reg_lambda': 6.205846369136303e-06, 'gamma': 0.0050902373111912196}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:40:34,498] Trial 21 finished with value: -0.03986377195562941 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.09522963068432812, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.005611141819155094, 'reg_lambda': 2.505217612715623e-06, 'gamma': 0.004493912376354705}. Best is trial 2 with value: -0.0681206337262454.
