[I 2026-07-17 15:36:30,422] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:37:41,769] Trial 12 finished with value: -0.050330202845364706 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.4038997152561675, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 5.1901372657206934, 'reg_lambda': 9.436924963913574e-06, 'gamma': 0.036462898420723096}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:49,017] Trial 13 finished with value: -0.1064507122159857 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1250, 'learning_rate': 0.18703820861191806, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.22560340516534788, 'reg_lambda': 1.5869373052305693e-06, 'gamma': 1.612528505694786e-06}. Best is trial 13 with value: -0.1064507122159857.
[I 2026-07-17 15:38:07,346] Trial 15 finished with value: -0.049708786593941415 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.000846295240116982, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 8.815309972975038, 'reg_lambda': 0.00023898167307674276, 'gamma': 24.123946244530405}. Best is trial 13 with value: -0.1064507122159857.
[I 2026-07-17 15:38:08,036] Trial 14 finished with value: -0.12330029259285694 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.3077096194006307, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 7.363375465429591e-05, 'reg_lambda': 0.001267321320154951, 'gamma': 2.139555019464364e-06}. Best is trial 14 with value: -0.12330029259285694.
[I 2026-07-17 15:38:11,725] Trial 16 finished with value: -0.0494815500636858 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.004400259299378183, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005936177936655083, 'reg_lambda': 2.8847656178717216, 'gamma': 1.2753173141176475e-05}. Best is trial 14 with value: -0.12330029259285694.
[I 2026-07-17 15:38:13,421] Trial 17 finished with value: -0.04970190298708921 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.00010911437752536328, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7574932234083342e-06, 'reg_lambda': 0.6142891858482582, 'gamma': 50.87635471403303}. Best is trial 14 with value: -0.12330029259285694.
[I 2026-07-17 15:38:17,914] Trial 18 finished with value: -0.14006438333083687 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.41941524714940326, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.6723116011543486e-06, 'reg_lambda': 0.7751610941217442, 'gamma': 0.02434173720430101}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:38:20,183] Trial 19 finished with value: -0.04971128569318464 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.4672422194780208, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 48.88217493961484, 'reg_lambda': 0.7591899660954767, 'gamma': 0.00012850272980090982}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:38:25,676] Trial 20 finished with value: -0.0591073862585186 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.06794975461257201, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 6.782209241963867e-06, 'reg_lambda': 1.4032172808441645, 'gamma': 0.00011674914935508124}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:38:41,100] Trial 21 finished with value: -0.07617243113735862 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.05997110408346507, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0859546790029185e-06, 'reg_lambda': 0.3009377938155216, 'gamma': 3.631021835681524e-05}. Best is trial 18 with value: -0.14006438333083687.
