[I 2026-07-17 11:42:43,519] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:45:27,510] Trial 12 finished with value: -0.21988876700684365 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.012455286985632464, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0008154419083338736, 'reg_lambda': 0.09707257164990625, 'gamma': 89.13044923449965}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:03,466] Trial 13 finished with value: -0.20170106664616655 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.00012722624683058327, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.20202914241202682, 'reg_lambda': 0.04345561794389105, 'gamma': 4.445521697384175e-06}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:17,617] Trial 14 finished with value: -0.17101830750939828 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.0036067279297941745, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 3.904074500689545e-06, 'reg_lambda': 0.01873844805200366, 'gamma': 0.00015474246613104596}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:20,414] Trial 16 finished with value: -0.21050189190737506 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.013212519521667007, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.022384102021056267, 'reg_lambda': 0.1729181077944767, 'gamma': 57.40192747485915}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:20,453] Trial 15 finished with value: -0.19866428066000116 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.02618745695600892, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.07970626940708338, 'reg_lambda': 46.19567405546209, 'gamma': 31.557330826787926}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:24,544] Trial 17 finished with value: -0.1816469608276628 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.3812473881423101, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 33.412923209409044, 'reg_lambda': 0.00043738395281222556, 'gamma': 0.34933135987934794}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:26,478] Trial 18 finished with value: -0.22089583880007232 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.4106544946965049, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 88.52461246441725, 'reg_lambda': 0.0002724155449308431, 'gamma': 87.0154098687248}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:28,881] Trial 19 finished with value: -0.22103885569355658 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.2999046782355092, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 27.156704809735373, 'reg_lambda': 0.00011455218337045348, 'gamma': 82.10638476081994}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:32,534] Trial 20 finished with value: -0.17818621516181138 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.362006694470055, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.2807584197310707e-06, 'reg_lambda': 0.0004046140765033941, 'gamma': 0.8065847866527034}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:35,587] Trial 21 finished with value: -0.19129866575978485 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.48737170070854663, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 71.5671788164203, 'reg_lambda': 0.0008143431997229845, 'gamma': 1.3069017387012205}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:38,790] Trial 22 finished with value: -0.18171384615410938 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.3895438783535464, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 29.09696347001019, 'reg_lambda': 0.0005618366932417929, 'gamma': 0.48608441893856597}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:46:53,056] Trial 23 finished with value: -0.17648383866909426 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.25062414626776913, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00020758562199023502, 'reg_lambda': 0.001055327817066404, 'gamma': 0.5494361930895985}. Best is trial 6 with value: -0.22148992645804708.
