[I 2026-07-17 11:57:42,900] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 11:58:53,801] Trial 12 finished with value: -0.05933731544669867 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.19434900388580134, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 30.57671244506778, 'reg_lambda': 0.0013068816012029528, 'gamma': 0.11541051558678155}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:01,591] Trial 13 finished with value: -0.060388020713843894 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0031838371993971465, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0017613881159222794, 'reg_lambda': 24.447540988329912, 'gamma': 6.185025444776765e-05}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:03,879] Trial 14 finished with value: -0.05935505737220393 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.08500042446079346, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.05041904113071023, 'reg_lambda': 31.817307219393072, 'gamma': 16.839184525154195}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:06,545] Trial 15 finished with value: -0.059334758554350164 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.0689115602475147, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.007998717181926155, 'reg_lambda': 0.00013593020553371942, 'gamma': 1.1300803236566792}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:08,017] Trial 16 finished with value: -0.05932855643025581 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.3636709804216964, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 7.948748283719859e-05, 'reg_lambda': 0.012090321729777571, 'gamma': 89.80133421895594}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:11,581] Trial 17 finished with value: -0.059312694361421045 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.44517777891991156, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 14.09720545147187, 'reg_lambda': 40.83670072922511, 'gamma': 0.20971241215270833}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:59:28,846] Trial 18 finished with value: -0.14651402535004465 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.44842177902916247, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0001536212305518477, 'reg_lambda': 73.49720807347109, 'gamma': 0.05176835815760685}. Best is trial 18 with value: -0.14651402535004465.
[I 2026-07-17 11:59:51,304] Trial 19 finished with value: -0.16783395164908294 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.40225593609661814, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00010075092458514619, 'reg_lambda': 77.14036991114608, 'gamma': 0.02810864132783692}. Best is trial 19 with value: -0.16783395164908294.
[I 2026-07-17 12:00:07,911] Trial 20 finished with value: -0.08767466067664485 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.03634498011564891, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 9.471493987210332e-05, 'reg_lambda': 56.714391525134246, 'gamma': 0.012111351110276445}. Best is trial 19 with value: -0.16783395164908294.
[I 2026-07-17 12:00:21,524] Trial 21 finished with value: -0.08781045443703735 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.04222040922896783, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 7.390628557482629e-05, 'reg_lambda': 60.09313439718517, 'gamma': 0.017755643143005505}. Best is trial 19 with value: -0.16783395164908294.
