[I 2026-07-17 15:00:36,259] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:01:56,297] Trial 12 finished with value: -0.05443289656318967 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.23556937135510256, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 42.04209515236116, 'reg_lambda': 6.293348713795887e-06, 'gamma': 9.773901593385659e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:57,173] Trial 13 finished with value: -0.05442316444257156 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.0018745134832643016, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 18.629798418748646, 'reg_lambda': 1.6587503495026297e-05, 'gamma': 0.0075508218160987}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:57,456] Trial 14 finished with value: -0.05440403451183323 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.011250699221808198, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 6.823599175847646, 'reg_lambda': 0.019863183117292245, 'gamma': 23.607712582831734}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:21,787] Trial 15 finished with value: -0.0544366799440226 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.0001485858447906433, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.300028533285199, 'reg_lambda': 0.03765360354722214, 'gamma': 8.601870824807046e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:23,879] Trial 17 finished with value: -0.054130792543456964 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.008298317933982167, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00026292053543702575, 'reg_lambda': 1.2712598100718412e-06, 'gamma': 2.5905601921278226e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:24,388] Trial 16 finished with value: -0.054403502151692214 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.18742589495703504, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 40.44962596441635, 'reg_lambda': 0.016726970716541868, 'gamma': 31.509704544815435}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:32,133] Trial 18 finished with value: -0.07881621032586376 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.050727098836744706, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0006528301086043085, 'reg_lambda': 2.438475169199804e-06, 'gamma': 1.180064380616534e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:39,591] Trial 19 finished with value: -0.07988424673604094 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.05584486212238917, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00035806248350443113, 'reg_lambda': 0.6567607260126799, 'gamma': 1.6808508897186186e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:47,198] Trial 20 finished with value: -0.07655956739439795 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.043310734898526486, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0005623697585510926, 'reg_lambda': 0.6267867379165329, 'gamma': 2.339845243770364e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:02:55,246] Trial 21 finished with value: -0.07663444943724106 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.04352929425542056, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0004616567417400298, 'reg_lambda': 0.6656935080941032, 'gamma': 4.860114119150513e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:00,709] Trial 22 finished with value: -0.06480133096525688 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.04191202640488252, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0005993758029381455, 'reg_lambda': 0.465882634058449, 'gamma': 1.1293393982092613e-06}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:03:06,388] Trial 23 finished with value: -0.06914541265139953 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.06979262687607035, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0005170257719952819, 'reg_lambda': 1.4508041552330344, 'gamma': 2.2179276479305047e-06}. Best is trial 1 with value: -0.15574750752360875.
