[I 2026-07-17 12:07:29,063] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:09:12,378] Trial 12 finished with value: -0.05854682447437813 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.0007649866670809517, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.024740609003488775, 'reg_lambda': 8.111006801532365e-05, 'gamma': 3.078510165017269e-05}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:13,049] Trial 13 finished with value: -0.05830970307177979 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.05488210987264418, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.004192261758838038, 'reg_lambda': 43.247158339230836, 'gamma': 0.8218373100093327}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:16,279] Trial 14 finished with value: -0.055869052521256304 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.003038430144112804, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.129133908469894e-05, 'reg_lambda': 0.05118979213265236, 'gamma': 0.002289318788134159}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:17,748] Trial 15 finished with value: -0.05810696852302856 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0006935992384321409, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.8682212792722688, 'reg_lambda': 12.01627336892171, 'gamma': 3.814830656468073e-05}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:19,465] Trial 16 finished with value: -0.05828714949773298 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.06041316259155202, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.8760564372748422e-05, 'reg_lambda': 0.003988497066130881, 'gamma': 0.7520287095186686}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:33,451] Trial 17 finished with value: -0.05882792940759724 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.0005122332618559028, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1096010258826765e-06, 'reg_lambda': 24.237562987802285, 'gamma': 0.0005190557712657387}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:40,108] Trial 18 finished with value: -0.06450151942991823 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.008134539378445873, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.010143412289330562, 'reg_lambda': 0.0001817503136715775, 'gamma': 0.0002540918272525286}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:42,008] Trial 19 finished with value: -0.061779589843785974 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.018653847299163605, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0009702721152947778, 'reg_lambda': 0.0009375033558339861, 'gamma': 0.0007467305168361093}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:42,699] Trial 20 finished with value: -0.05939738183570693 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.01830949296065577, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0004090886260550697, 'reg_lambda': 0.001382580479326851, 'gamma': 0.0011685027824875464}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:09:46,166] Trial 21 finished with value: -0.07011224692720032 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.015668508110386663, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 4.55280920523246e-05, 'reg_lambda': 0.0010151240630215394, 'gamma': 0.0007009449733216138}. Best is trial 1 with value: -0.07923282032572379.
