[I 2026-07-17 13:58:41,678] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:59:39,256] Trial 12 finished with value: -0.024981150821764844 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.0002142013291062411, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4067427075212502, 'reg_lambda': 0.018950594013725692, 'gamma': 0.00028909460962209943}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 13:59:43,443] Trial 13 finished with value: -0.03126431881541353 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.09719417289506144, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0210991889625567e-06, 'reg_lambda': 4.19371840409458e-06, 'gamma': 0.0012912981516135377}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 13:59:44,963] Trial 14 finished with value: -0.02633067643138723 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1250, 'learning_rate': 0.001065210520680127, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 7.785806601987311e-05, 'reg_lambda': 89.39160855915983, 'gamma': 36.226349038221045}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 13:59:45,426] Trial 15 finished with value: -0.02491170711130671 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.002508334375434755, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 16.72163054114175, 'reg_lambda': 0.48653952738096096, 'gamma': 1.0202403921575909e-06}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 13:59:46,547] Trial 16 finished with value: -0.023999215641866377 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.005359670513077457, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6893888423218198e-06, 'reg_lambda': 59.99267173725065, 'gamma': 0.05699467779372387}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 14:00:01,846] Trial 17 finished with value: -0.06753116815493994 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4383610881885042, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0004438145384124856, 'reg_lambda': 25.16623304794481, 'gamma': 0.0001295161240582145}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 14:00:13,344] Trial 18 finished with value: -0.057531423257718525 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.28584771234996037, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0013827946293844086, 'reg_lambda': 0.06386684027171176, 'gamma': 1.7166831121196065e-06}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 14:00:24,256] Trial 19 finished with value: -0.06137784383533229 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.27971831950479226, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001241927233836725, 'reg_lambda': 0.5370442887797642, 'gamma': 1.5261966739042784e-06}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 14:00:33,124] Trial 20 finished with value: -0.06790670501347386 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.49764452434290957, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0019363039075377014, 'reg_lambda': 0.3382448968065314, 'gamma': 5.452456594669234e-06}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 14:00:46,590] Trial 21 finished with value: -0.09279946077589037 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.46874887171530205, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0006649208984320373, 'reg_lambda': 0.6919641741579335, 'gamma': 1.4245025592422827e-06}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:00:57,884] Trial 22 finished with value: -0.07105585623406196 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.45904004484246347, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005386066947920279, 'reg_lambda': 0.8031704278562046, 'gamma': 1.1734442659632632e-06}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:01:08,939] Trial 23 finished with value: -0.06988882370696313 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4066126241349241, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0010893075726766891, 'reg_lambda': 0.13901511103116038, 'gamma': 1.3925555126332323e-06}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:01:14,462] Trial 24 finished with value: -0.0541455659449575 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.403211023140737, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0008235877021923601, 'reg_lambda': 0.12440008096362712, 'gamma': 3.210469932855333e-06}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:01:26,071] Trial 25 finished with value: -0.06134167477617332 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.48741364620248234, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001138991163937486, 'reg_lambda': 0.8750707122692071, 'gamma': 1.1396283155047138e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:01:39,971] Trial 26 finished with value: -0.07892852043426829 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.42870891546337064, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0008811103606077415, 'reg_lambda': 1.8999917336228447, 'gamma': 1.7919134436228828e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:01:56,038] Trial 27 finished with value: -0.08472067989516702 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.45390357487582816, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.004904824428011599, 'reg_lambda': 3.551621532553398, 'gamma': 2.546177206124519e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:02:11,932] Trial 28 finished with value: -0.0840407697296737 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.4789010815024033, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0025859390690531536, 'reg_lambda': 2.9804870360597424, 'gamma': 1.9854860181685493e-05}. Best is trial 21 with value: -0.09279946077589037.
