[I 2026-07-17 11:09:35,402] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:11:41,637] Trial 12 finished with value: -0.18035880841669708 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0014225603285622109, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.0180228132681084e-06, 'reg_lambda': 0.02964777264150354, 'gamma': 0.6271453799200912}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:44,230] Trial 13 finished with value: -0.19774080805441163 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.00019296479753463572, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 7.08377606043725e-05, 'reg_lambda': 3.265856138350478, 'gamma': 26.705721441588672}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:12:12,921] Trial 14 finished with value: -0.18071456040536393 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.00037945626065099956, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4019617804416999e-05, 'reg_lambda': 12.496934710441925, 'gamma': 0.1373577496655317}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:12:23,218] Trial 15 finished with value: -0.18268349430913972 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.00038426872062353095, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 59.30972687798716, 'reg_lambda': 0.017355932236856983, 'gamma': 9.770320106284456e-06}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:12:48,954] Trial 16 finished with value: -0.18426044712436293 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00017564908566016264, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.04006484436917998, 'reg_lambda': 0.0012626484363683355, 'gamma': 1.176964971850982e-05}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:12:50,552] Trial 17 finished with value: -0.17998446607009197 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.0776749533365586, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.819448249351438e-06, 'reg_lambda': 1.146213926273354e-06, 'gamma': 0.00523731244530201}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:12:51,588] Trial 18 finished with value: -0.23897160654759952 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.4514226321843732, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 1.1309112676983432e-06, 'reg_lambda': 10.02644986684094, 'gamma': 0.001336447950630099}. Best is trial 18 with value: -0.23897160654759952.
[I 2026-07-17 11:12:55,151] Trial 19 finished with value: -0.24446780426994447 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.43677601129444815, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1525142001961604e-06, 'reg_lambda': 57.3336526772853, 'gamma': 0.0022385166671222115}. Best is trial 19 with value: -0.24446780426994447.
[I 2026-07-17 11:13:08,188] Trial 20 finished with value: -0.2768235070070228 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.4989243943546701, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.002722917769586174, 'reg_lambda': 1.1534032428160685e-06, 'gamma': 0.0023490877996632897}. Best is trial 20 with value: -0.2768235070070228.
[I 2026-07-17 11:13:24,870] Trial 21 finished with value: -0.28636272688092756 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.4216754285772802, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.003816540233925041, 'reg_lambda': 1.0647070830402698e-06, 'gamma': 0.0028100923639607055}. Best is trial 21 with value: -0.28636272688092756.
