[I 2026-07-17 11:27:58,447] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:29:58,555] Trial 12 finished with value: -0.2863557393636402 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.00046989300785706356, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 33.40924428546439, 'reg_lambda': 0.000594289702572933, 'gamma': 6.895176673741675}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:30:05,612] Trial 13 finished with value: -0.3345223519083337 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00015728479667757902, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.005346659333756376, 'reg_lambda': 0.0001196799233544835, 'gamma': 3.009725657983878}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:30:12,749] Trial 14 finished with value: -0.17718994179665556 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.11709270308039896, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.001378433067262967, 'reg_lambda': 9.065343764226524e-06, 'gamma': 0.00012874281632414638}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:30:27,202] Trial 15 finished with value: -0.28444130793072664 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.00035839936156957075, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 7.306570337948224e-05, 'reg_lambda': 7.289330778380273e-05, 'gamma': 1.975986892167912e-05}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:30:33,318] Trial 16 finished with value: -0.1298892282073529 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.026437124383242094, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00015403359319616442, 'reg_lambda': 5.731847365999342e-05, 'gamma': 7.236086933672432e-06}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:30:37,347] Trial 17 finished with value: -0.3910884323963741 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.005478090649574636, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 99.05013776303441, 'reg_lambda': 72.25414472955651, 'gamma': 97.76948111439026}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:38,542] Trial 18 finished with value: -0.3301711926488258 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0012750698723666537, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0918623797042334e-06, 'reg_lambda': 6.828706582105847e-05, 'gamma': 54.90410505460111}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:39,792] Trial 19 finished with value: -0.3449913857194219 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.0008619224261109556, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.2152624093483657e-06, 'reg_lambda': 3.4051041988884615e-05, 'gamma': 52.33665815054331}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:41,309] Trial 20 finished with value: -0.38113662519589764 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00010882700535401517, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 2.193466309182909e-06, 'reg_lambda': 3.156246309045417e-05, 'gamma': 0.00011913145498240927}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:46,436] Trial 21 finished with value: -0.24233496201886157 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.001960767021787616, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 2.1103772571096867e-06, 'reg_lambda': 0.013645559096944919, 'gamma': 6.160488071767564e-05}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:47,220] Trial 22 finished with value: -0.3353739751061172 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0015895795811500326, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0801076662567271e-06, 'reg_lambda': 0.03236472014869893, 'gamma': 74.33432978621256}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:48,432] Trial 23 finished with value: -0.29610678380334676 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.00254907429645329, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1374373727810581e-06, 'reg_lambda': 0.013615028284223422, 'gamma': 43.52465676028012}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:49,866] Trial 24 finished with value: -0.2931209041653257 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0021029960011974113, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0829046875429149e-06, 'reg_lambda': 0.011131979601519687, 'gamma': 37.433800015402625}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:53,408] Trial 25 finished with value: -0.3442230086037875 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.0038697492415977774, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 52.303257862273156, 'reg_lambda': 48.003425796946935, 'gamma': 76.38084383702468}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:30:57,114] Trial 26 finished with value: -0.30064033188976425 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.0031429830937040435, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 48.43044619989074, 'reg_lambda': 62.82529288734214, 'gamma': 55.6998653383514}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:01,351] Trial 27 finished with value: -0.19547705306726612 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.0029561943070017535, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 33.97000415510006, 'reg_lambda': 73.46641494353369, 'gamma': 0.37369447233004616}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:06,070] Trial 28 finished with value: -0.3585429967087512 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.0001049595605252419, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 24.714048655638624, 'reg_lambda': 1.5219080003940637e-06, 'gamma': 0.5496035576709288}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:13,941] Trial 29 finished with value: -0.34281713169399364 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00010258912795571073, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 25.6243985116259, 'reg_lambda': 1.0668598223835988e-06, 'gamma': 0.6676681367504644}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:17,025] Trial 30 finished with value: -0.22267128183319937 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.47924338511540854, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 57.47780517305325, 'reg_lambda': 1.1186669046896582e-06, 'gamma': 0.7225680864037263}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:23,981] Trial 31 finished with value: -0.33978118008458563 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00013297135935580942, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 88.75926669202339, 'reg_lambda': 29.694987360503937, 'gamma': 0.76485671557365}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:27,142] Trial 32 finished with value: -0.2232824428197196 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4320059412508368, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 64.9033210101307, 'reg_lambda': 1.132095166981988e-06, 'gamma': 0.7097222968691368}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:35,605] Trial 33 finished with value: -0.33678666536382484 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00010724791477058068, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 4.962066963821111, 'reg_lambda': 3.048062115560715e-06, 'gamma': 1.0529454493500716}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:43,109] Trial 34 finished with value: -0.35184270698568076 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.0001073094506850002, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 6.592390406636372, 'reg_lambda': 1.173762528452292e-06, 'gamma': 0.0008328705040349536}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:31:53,866] Trial 35 finished with value: -0.3416987830058338 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.00010037170931712627, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.8370733948973345, 'reg_lambda': 1.141000755830084e-06, 'gamma': 0.005284981242035738}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:06,641] Trial 36 finished with value: -0.14300764922705567 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.4413966123044391, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 5.76591022748812, 'reg_lambda': 0.3403636633572594, 'gamma': 0.0020568950320233883}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:12,602] Trial 37 finished with value: -0.3042473745961558 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.00042391796825101924, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 4.679752836008641, 'reg_lambda': 0.0002834131113419951, 'gamma': 0.010032490190842042}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:17,914] Trial 38 finished with value: -0.33019216968292214 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.00032626473677888984, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1026255676425177e-05, 'reg_lambda': 0.0003092658836587343, 'gamma': 0.011794882334215958}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:23,966] Trial 39 finished with value: -0.3117985973124863 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.0003909728521986724, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.8690725685078058e-05, 'reg_lambda': 0.0002838974592269489, 'gamma': 1.843674462184527e-06}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:30,002] Trial 40 finished with value: -0.31437545032281067 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.0003746616469893798, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.444727278817229e-05, 'reg_lambda': 0.28669043177130016, 'gamma': 0.003941524492030786}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:36,056] Trial 41 finished with value: -0.3104249492703362 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.0003993735398820641, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1060510925585823e-05, 'reg_lambda': 0.00018613726685289312, 'gamma': 1.7302980431452051e-06}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:42,261] Trial 42 finished with value: -0.31036156010830573 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.000398474324656952, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 6.392711047132029e-06, 'reg_lambda': 0.002596953277535675, 'gamma': 1.1675037302174878e-06}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:32:47,953] Trial 43 finished with value: -0.3144693956236222 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.0004082867406022257, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.023890803991921e-05, 'reg_lambda': 0.00022766044439132623, 'gamma': 0.012445025315095268}. Best is trial 17 with value: -0.3910884323963741.
[I 2026-07-17 11:33:03,365] Trial 44 finished with value: -0.3205048976403435 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.0003493960781774862, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.4651146309858776e-05, 'reg_lambda': 0.0001773691391071573, 'gamma': 1.0751213164734371e-06}. Best is trial 17 with value: -0.3910884323963741.
