[I 2026-07-17 11:44:07,700] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:46:51,329] Trial 12 finished with value: -0.17215430505243812 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0019151670956375885, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 7.858008671527055e-05, 'reg_lambda': 2.165761858985597e-05, 'gamma': 3.878867108903578e-06}. Best is trial 11 with value: -0.20337733484777834.
[I 2026-07-17 11:47:12,304] Trial 13 finished with value: -0.17512002622821904 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.02030245133459983, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 6.862901086278673e-05, 'reg_lambda': 0.0006845461591633255, 'gamma': 0.013246725284521952}. Best is trial 11 with value: -0.20337733484777834.
[I 2026-07-17 11:47:16,474] Trial 14 finished with value: -0.19670856089787125 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.00139333604456318, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 58.69805174365648, 'reg_lambda': 4.6229327190736555e-06, 'gamma': 21.328814743834972}. Best is trial 11 with value: -0.20337733484777834.
[I 2026-07-17 11:47:26,789] Trial 16 finished with value: -0.16660246890748326 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.07014278631178848, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0027081836976659292, 'reg_lambda': 0.005264035028501319, 'gamma': 0.9152997142290601}. Best is trial 11 with value: -0.20337733484777834.
[I 2026-07-17 11:47:28,381] Trial 15 finished with value: -0.1632337473166317 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.0025012247930698878, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.1928375918401131, 'reg_lambda': 0.03057970380164396, 'gamma': 8.851931639429492e-05}. Best is trial 11 with value: -0.20337733484777834.
[I 2026-07-17 11:47:28,659] Trial 18 finished with value: -0.22079791924904862 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00011044335393196872, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00846768831094915, 'reg_lambda': 1.1246078518750958e-06, 'gamma': 88.78089315153201}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:29,165] Trial 17 finished with value: -0.2195724087496465 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00010298300671694301, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.016659289501858465, 'reg_lambda': 1.2257929376979993e-06, 'gamma': 1.0407249435545226e-06}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:29,429] Trial 19 finished with value: -0.2207097477625277 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.00012339207370155433, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.006266050960622234, 'reg_lambda': 1.159955296861004e-06, 'gamma': 80.9676675254328}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:30,615] Trial 20 finished with value: -0.21921846818807927 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00010265081969120269, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0036841759665995574, 'reg_lambda': 57.03271402345387, 'gamma': 0.37911610402745227}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:31,046] Trial 21 finished with value: -0.21988104851233764 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00012893535658826838, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.008005562659488591, 'reg_lambda': 81.74583772336308, 'gamma': 1.0355297408435162}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:39,942] Trial 22 finished with value: -0.19669325358322728 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.0002388969976020873, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3308144951775334, 'reg_lambda': 2.002171246026883e-06, 'gamma': 0.7202629543507862}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:43,681] Trial 23 finished with value: -0.2113057950644262 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.0002983251239309543, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.64658411106384, 'reg_lambda': 1.7521825833556176e-06, 'gamma': 97.22253956083362}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:47:53,012] Trial 24 finished with value: -0.20582416483245286 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.00012483644404856514, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.7125572638841167, 'reg_lambda': 1.0813019567279975e-06, 'gamma': 0.36805935721778976}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:03,440] Trial 25 finished with value: -0.21002832925591955 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.00010329745994929032, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.012788005231075962, 'reg_lambda': 2.7716661024447835e-06, 'gamma': 0.6341890984548532}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:04,205] Trial 26 finished with value: -0.21982538646474495 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0001227807645991481, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0069942594863387315, 'reg_lambda': 1.0664646744213521e-06, 'gamma': 0.002927884503427383}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:04,885] Trial 27 finished with value: -0.20295199161541133 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.3878703056014515, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.007622605386507605, 'reg_lambda': 1.085540067632243e-06, 'gamma': 72.98454588454884}. Best is trial 18 with value: -0.22079791924904862.
