[I 2026-07-17 11:47:39,713] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:50:17,705] Trial 12 finished with value: -1.2697290518189175 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.0012402397676811235, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 6.517347121797231, 'reg_lambda': 0.0002706225395814313, 'gamma': 0.6777941477604938}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:39,634] Trial 13 finished with value: -1.8294224834008084 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.35205994278444186, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003847565889108539, 'reg_lambda': 0.004318993420939519, 'gamma': 0.0003976007595837344}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:44,600] Trial 14 finished with value: -1.244438672755602 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.05050164021881997, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.041717961096529386, 'reg_lambda': 2.9979854097108803e-06, 'gamma': 0.7525885836672739}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:45,031] Trial 15 finished with value: -1.2756125126279327 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.06048298638179973, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 26.68057671958955, 'reg_lambda': 0.33943653562746257, 'gamma': 0.019427290531881237}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:47,950] Trial 16 finished with value: -1.4285001897296197 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.005436000755612199, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 2.66718393517533e-06, 'reg_lambda': 2.4449176470314544e-06, 'gamma': 28.338191105955794}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:48,114] Trial 17 finished with value: -1.3314394237114742 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.011162947496970489, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003989936408246212, 'reg_lambda': 1.064876394761969e-06, 'gamma': 0.0025951993919966962}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:55,370] Trial 18 finished with value: -1.357856090349964 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.03291872637804028, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00047310787723780405, 'reg_lambda': 0.2206113454586083, 'gamma': 0.000559367482168552}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:01,791] Trial 19 finished with value: -1.3899435510359108 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.05242078452883201, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0002874563495441698, 'reg_lambda': 1.6187986294954786e-06, 'gamma': 7.205617661096098e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:04,419] Trial 20 finished with value: -1.31934793152451 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.05804404319841793, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0004683341953908515, 'reg_lambda': 0.17200850993693012, 'gamma': 0.00019249172859764913}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:05,255] Trial 21 finished with value: -1.228248896012625 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.04804479674999127, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00022335366295137143, 'reg_lambda': 0.06348824592347525, 'gamma': 0.00048345855461219133}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:51:06,657] Trial 22 finished with value: -1.2209397037660557 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.04183312820299271, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003186899610060574, 'reg_lambda': 0.07189838427199315, 'gamma': 0.0005174368058710833}. Best is trial 9 with value: -1.8739445148417475.
