[I 2026-07-17 16:08:51,444] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:10:38,038] Trial 12 finished with value: -0.5536605172590887 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.0020083779753900344, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.016516822261479543, 'reg_lambda': 9.9952092278966e-05, 'gamma': 2.229940856782921e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:39,924] Trial 13 finished with value: -0.5401039872345621 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.04878792029846632, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.27458343003497676, 'reg_lambda': 3.2152241262337063e-06, 'gamma': 2.7706643272107154e-06}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:41,005] Trial 15 finished with value: -0.5286648990594136 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00042186548508992824, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 37.07347667875547, 'reg_lambda': 0.00014224840226052555, 'gamma': 0.00014654651261982707}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:42,164] Trial 14 finished with value: -0.5034029527030014 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.05739105586347004, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 2.6187694325675645e-06, 'reg_lambda': 61.1986518202958, 'gamma': 0.9391020715622099}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:57,547] Trial 17 finished with value: -0.5286273449184473 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00015726492015846736, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 21.86957491820325, 'reg_lambda': 60.97217372259803, 'gamma': 14.473253274299852}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:57,921] Trial 18 finished with value: -0.5286273449184473 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.3814967729672262, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 56.606047887369655, 'reg_lambda': 1.4230282865373817e-06, 'gamma': 1.2169679769054228e-06}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:10:58,459] Trial 16 finished with value: -0.5987123004741671 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.006400497933161495, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00031629179701111565, 'reg_lambda': 4.864040691409133e-06, 'gamma': 0.0014279032863312184}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:01,275] Trial 20 finished with value: -0.5285841395694106 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0120161367340791, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 32.48888749811244, 'reg_lambda': 99.32626477402377, 'gamma': 0.0010640199116835184}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:01,434] Trial 19 finished with value: -0.5286273449184473 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.012476561092461275, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 39.29032921216031, 'reg_lambda': 0.004815267435977782, 'gamma': 0.003360777381153514}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:11:01,539] Trial 21 finished with value: -0.522985894277347 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.017115508619412013, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 30.082391344282446, 'reg_lambda': 0.008466514439410787, 'gamma': 0.0016350500902580275}. Best is trial 11 with value: -1.2716253959070092.
