[I 2026-07-17 11:46:45,729] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:48:59,413] Trial 12 finished with value: -0.6686634219456206 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.0037090282697401595, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0024800604915152175, 'reg_lambda': 0.00013371850610936753, 'gamma': 0.00015324525442706165}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:49:43,586] Trial 13 finished with value: -0.735064177180675 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.00012009884854389944, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.014904383465262289, 'reg_lambda': 4.14448765957252e-06, 'gamma': 8.633045014241483e-05}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:49:48,136] Trial 14 finished with value: -0.6408341975323382 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.0028761119336949263, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003700364270922716, 'reg_lambda': 5.165655017550999, 'gamma': 0.0001567633423650467}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:49:52,473] Trial 15 finished with value: -0.7726866708475127 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.21044387014650234, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.9881197940081174e-05, 'reg_lambda': 30.293650575932933, 'gamma': 0.000468948050208242}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:49:56,641] Trial 16 finished with value: -0.7632363050068978 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.00010656217600107565, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.003431835298141154, 'reg_lambda': 11.320492554553171, 'gamma': 12.960242745367289}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:52:05,200] Trial 17 finished with value: -0.7274629805094311 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00012370821622556769, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.2200752500084131e-06, 'reg_lambda': 2.088940654270364e-06, 'gamma': 1.009930269449902e-06}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:53:18,547] Trial 18 finished with value: -0.7237497642293844 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.00014152013569266857, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 3.145671640663088e-06, 'reg_lambda': 8.787367644816851e-06, 'gamma': 5.316846373308984e-06}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:54:28,549] Trial 19 finished with value: -0.7303036217043066 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.00011891485553576732, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.059675882303105e-06, 'reg_lambda': 2.6907157099152657e-06, 'gamma': 1.083794235201056e-06}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:55:08,582] Trial 20 finished with value: -1.3073706060799506 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.4512287315513329, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.5896070562748107e-06, 'reg_lambda': 9.482513412629657e-06, 'gamma': 3.222330078117038e-06}. Best is trial 20 with value: -1.3073706060799506.
[I 2026-07-17 11:56:06,753] Trial 21 finished with value: -1.7714145376289947 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.33595653778775475, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.130295234397725e-06, 'reg_lambda': 78.06460645244917, 'gamma': 1.9196674088526623e-06}. Best is trial 21 with value: -1.7714145376289947.
