[I 2026-07-17 11:29:43,064] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:31:20,769] Trial 12 finished with value: -0.19707180415454584 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.002155363298395477, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.000538863811333919, 'reg_lambda': 3.613374424363246e-06, 'gamma': 8.838739614409638e-06}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:32:14,786] Trial 13 finished with value: -0.13309260993329733 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.11375054273744614, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.16166215615557317, 'reg_lambda': 0.0649224594669126, 'gamma': 0.0005982462475503349}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:32:21,810] Trial 15 finished with value: -0.24698789351643433 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.06394793742204666, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 56.27223347699255, 'reg_lambda': 75.39458375405133, 'gamma': 13.560215513649602}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:32:22,109] Trial 14 finished with value: -0.11357091953339188 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.015490098566393332, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.41360452814820814, 'reg_lambda': 0.14474878975122232, 'gamma': 0.0005846573927792085}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:32:38,321] Trial 16 finished with value: -0.11582896277167473 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.15568533429973389, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0001242783718284228, 'reg_lambda': 0.015373502679622236, 'gamma': 2.755441934586139e-05}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:32:38,374] Trial 17 finished with value: -0.3892622019666537 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00010437942946450276, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 3.5671691881443466e-06, 'reg_lambda': 0.002341836768487479, 'gamma': 44.981165250064606}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:39,040] Trial 18 finished with value: -0.38700686900575076 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00011333460298597925, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.1976493271481807e-06, 'reg_lambda': 0.00023447153101029906, 'gamma': 0.22796846198146697}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:39,525] Trial 19 finished with value: -0.3874235166257764 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00010172572193870832, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 3.245943362384063e-06, 'reg_lambda': 0.001078601635059038, 'gamma': 0.20395910622016034}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:40,201] Trial 20 finished with value: -0.3874037234798202 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00010218947919316739, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 5.279457055483512e-06, 'reg_lambda': 0.0003578043438245756, 'gamma': 0.18539029614472008}. Best is trial 17 with value: -0.3892622019666537.
[I 2026-07-17 11:32:40,854] Trial 21 finished with value: -0.38499331492216227 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00017005881994642405, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7576798107331618e-06, 'reg_lambda': 0.0002792809032395993, 'gamma': 0.1661347150340966}. Best is trial 17 with value: -0.3892622019666537.
