YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70,F160,F250,F350,F500,F870,F1100
58.0,0.1974,100.20024,3472.81308,34.65873016,21.3,219.0,54.92,0.77,2.8229,0.9581,,93.6783,106.304,87.157,30.444,10.299,1.19,0.705
60.0,0.166273585,285.4930002,589.8743659,2.066160521,15.8,26.0,38.29,2.66,,0.0964,0.2133,6.1965,47.909,78.55,35.344,14.495,3.16,2.431
61.0,0.294431555,222.0974866,851.4878581,3.83384734,15.5,48.3,46.1,0.67,0.4358,0.0758,0.5743,23.0441,53.063,51.872,29.078,12.362,2.02,3.59
63.0,0.179197324,208.9285399,8802.761593,42.13288235,25.7,192.5,53.23,1.75,4.0789,0.9451,,324.4093,385.505,260.827,87.324,23.704,4.5,6.128
64.0,1.140434783,3166.093468,707.5449065,0.223475685,10.8,7.6,25.22,0.65,0.0929,0.0347,0.1952,3.4026,7.302,24.544,16.462,8.888,,0.46
65.0,0.2679,210.53979,1052.599545,4.999527856,16.8,52.7,47.44,0.78,1.6155,0.265,2.8762,51.6563,72.657,98.135,40.801,12.911,1.66,1.075
67.0,0.1405,53.69348,453.23614,8.441176471,18.0,75.0,45.25,0.64,0.2906,0.0871,0.6253,17.7356,27.258,25.846,8.949,3.465,0.55,
68.0,0.130634483,36.35174944,102.1993221,2.811400379,14.3,43.4,44.95,0.57,0.3107,0.0787,0.3711,10.6852,17.409,26.587,12.899,5.165,0.8,0.318
69.0,0.878774617,3302.025369,34740.1764,10.52086902,17.5,100.9,52.65,1.13,0.8459,0.2975,4.8355,49.5086,69.609,68.183,28.735,12.311,2.7,7.477
70.0,0.59347079,1648.098605,47934.81113,29.08491699,20.6,198.7,50.04,1.23,1.4868,0.3311,1.8316,,74.751,55.848,16.54,,1.73,4.31
71.0,0.232669323,167.2771924,1748.560943,10.45307443,17.3,102.7,47.27,0.8,0.3492,0.0706,0.5441,27.7879,63.166,88.261,29.357,10.009,1.66,0.824
