YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70
1648.0,2.317765452,4063.643599,5804.97482,1.42851475,13.5,25.2,38.94,0.2,0.3457,0.12,0.1593,
1650.0,0.460300429,270.1001432,1657.382617,6.136178224,17.5,57.8,44.54,0.34,0.2235,0.0501,0.1923,3.8297
1651.0,0.189038282,24.12366995,45.54714269,1.888068556,13.6,33.0,43.08,0.18,0.0711,0.0199,0.1059,1.235
1653.0,0.939807187,2590.293452,2731.366116,1.054462039,11.9,26.7,51.16,0.78,0.1296,0.0304,0.137,3.7451
1654.0,1.007476341,1127.948678,3909.333599,3.465878967,14.9,47.9,42.31,0.3,0.461,0.182,0.2916,11.8251
1656.0,0.314363636,65.49315702,1249.632826,19.08035714,20.0,135.6,47.7,0.17,0.9179,0.374,1.0798,32.8455
1657.0,1.37017257,1989.216096,1112.849482,0.559441221,11.1,17.1,42.8,0.28,0.2218,0.0846,0.1324,
1658.0,0.021628499,0.456785088,27.43675906,60.0649185,23.1,318.4,55.16,0.26,1.541,0.7099,5.2296,87.2171
1659.0,1.276307692,1686.735905,20949.18596,12.41995614,16.6,131.6,53.32,0.27,2.7029,2.4084,9.0839,116.8192
1660.0,1.11496759,546.7721213,1841.758724,3.368421053,14.6,48.1,44.84,0.12,0.1162,0.0468,0.0881,3.1108
1661.0,1.077145946,482.5419757,2683.665456,5.561517114,16.4,61.3,42.66,0.11,0.5949,0.2547,0.2252,11.7361
1662.0,1.501001076,7253.352889,1372.69191,0.189249294,10.7,6.6,28.69,0.85,0.0804,0.0172,0.0288,0.7756
1663.0,1.052775991,2018.403779,3175.866987,1.573454736,13.3,29.0,46.46,0.48,0.3115,0.0721,0.2345,6.869
1664.0,0.838230852,158.6000673,854.1539092,5.385583524,15.9,63.1,43.83,0.06,0.0759,0.0424,0.0512,2.402
1665.0,0.626,31.35008,8538.97804,272.375,38.8,595.4,55.8,0.02,1.194,1.1457,6.0944,
1666.0,0.524772234,1631.415565,77912.16769,47.75740123,23.5,256.0,54.15,1.59,2.0304,1.3333,,292.1159
1667.0,0.345852761,132.9019548,337.392054,2.538653812,15.0,34.6,39.04,0.29,0.3193,0.1122,0.2036,4.4508
1668.0,0.89118232,1714.068249,6977.97454,4.071001573,14.2,63.5,60.25,0.57,0.8015,0.3932,2.4256,26.2454
1669.0,1.211088608,440.316323,3922.473799,8.908308854,20.0,63.4,36.88,0.08,0.5467,0.217,0.1504,6.2443
1670.0,0.282335279,9.077352617,78.09603583,8.603393425,18.2,75.4,42.95,0.03,0.0275,0.0313,0.0441,1.1061
1671.0,0.8118,164.75481,2711.33533,16.45679012,17.1,4.5,62.4,0.06,1.3656,0.984,5.5794,47.9558
1672.0,0.425843694,8.917867362,214.0578022,24.00325027,23.8,123.7,42.68,0.01,0.3008,0.1351,0.1651,4.6059
1673.0,1.025926773,1043.608372,406.8895926,0.389887245,11.6,10.6,28.52,0.27,0.0199,0.0049,0.0097,0.2173
1675.0,0.56231405,180.8857079,3465.866959,19.16053512,21.4,117.9,44.87,0.15,0.2141,0.1031,0.1565,4.928
1676.0,0.3115,122.7755,1297.06375,10.56451613,18.4,2.2,52.7,0.39,1.1602,0.6632,2.0306,15.4103
1677.0,1.487164179,2390.997411,4659.518646,1.948776115,13.4,35.3,44.14,0.29,0.2899,0.1134,0.1968,8.4162
1678.0,1.013303269,306.0889283,729.3041795,2.382654556,15.6,29.1,33.0,0.08,,0.0603,0.0578,1.1537
1679.0,0.011811414,0.28432907,5.282642109,18.57932466,22.5,104.8,42.58,0.54,0.4199,0.1749,0.4052,23.1166
1680.0,0.77459069,611.9477211,1966.745366,3.213910761,15.8,38.1,40.22,0.27,0.1288,0.0466,0.1036,2.3841
1681.0,0.798759494,521.4035462,9294.553038,17.82602574,20.4,121.3,46.69,0.22,3.174,1.3919,1.9707,31.9952
1683.0,0.449403974,407.4383306,3217.381032,7.896608616,19.7,58.0,37.77,0.54,0.2132,0.1103,0.1485,7.3346
1685.0,0.560420168,1770.840979,91890.20376,51.89071456,25.9,232.9,51.33,1.52,1.3637,1.0394,,250.3196
1687.0,0.727322275,281.888645,5926.530515,21.02436767,22.3,120.3,46.06,0.14,0.9851,0.387,0.5954,17.2201
1688.0,0.949287554,522.1488965,2404.622783,4.605243446,15.8,54.5,46.09,0.15,0.369,0.1408,0.214,3.8262
1689.0,0.854903704,762.4822071,8458.848746,11.093831,17.7,101.1,47.62,0.28,0.306,0.0753,0.3222,14.5449
1691.0,1.634713043,1814.568285,4337.35315,2.390294808,14.8,33.5,42.15,0.18,0.2083,0.0733,0.1794,5.3762
1694.0,0.325416667,78.37690972,125.6635417,1.603323506,13.7,27.2,39.27,0.2,0.1308,0.0391,0.0958,1.8917
1695.0,1.332988299,263.6281758,5549.743584,21.05140533,26.2,89.1,34.91,0.04,0.2414,0.0605,0.068,
1697.0,0.628386555,87.38621538,719.0326353,8.228215768,19.3,62.6,40.88,0.06,0.0687,0.0147,0.0286,0.8037
1699.0,0.369258517,99.25722638,75.1478982,0.75710254,12.8,15.4,26.94,0.19,,,0.0329,
1701.0,0.536815068,169.1415779,10460.70147,61.84583115,24.1,305.6,52.99,0.16,0.6089,0.3027,3.133,44.6923
1702.0,0.366578631,105.0363498,179.0979954,1.705104907,13.5,30.2,37.38,0.21,0.2203,0.0546,0.0645,6.1106
1704.0,0.953776868,791.1201877,2503.678922,3.164726373,15.8,37.6,38.08,0.23,0.1649,0.048,0.163,6.0919
1708.0,0.657569677,678.7405261,3999.2544,5.892169755,16.4,65.2,46.31,0.41,0.4973,0.1217,0.484,14.5835
1711.0,1.024225352,509.7668148,1041.37421,2.042844257,15.4,25.8,31.42,0.13,0.1373,0.0257,0.0659,1.9531
1713.0,0.318012821,83.98601249,660.1565294,7.860315186,18.8,63.1,41.0,0.22,,0.0978,0.2813,
1714.0,0.654946004,632.5494848,455.5815318,0.720230658,11.2,21.7,45.65,0.39,0.4819,0.1271,0.2861,6.8007
1715.0,0.580723982,1064.535464,4571.870126,4.294709082,16.4,47.5,41.83,0.85,0.5776,0.1625,0.325,14.7703
1716.0,0.297619048,36.21819098,153.9273117,4.25,14.5,63.0,52.38,0.11,0.3296,0.0771,0.283,5.8365
1717.0,0.567247387,97.33530333,3274.988842,33.64646465,22.4,189.9,48.77,0.08,0.5556,0.1231,0.5115,13.309
1719.0,0.794219457,176.9263563,534.1125848,3.018841262,14.3,45.9,44.82,0.07,0.1131,0.0276,0.0726,1.9312
1720.0,0.49312009,989.9831431,5142.960697,5.194998251,17.0,53.8,46.82,1.08,0.3042,0.0725,0.7801,15.4189
1722.0,0.207184987,109.9908143,4952.117405,45.02300885,24.0,226.4,56.39,0.67,3.7775,1.6035,,132.897
1723.0,0.886956522,285.1176161,4398.230165,15.42602041,19.6,113.7,46.2,0.1,0.5739,0.158,0.3336,10.1661
1724.0,0.154608696,20.00117958,63.41837429,3.170731707,15.9,36.6,37.77,0.24,0.0818,0.0212,0.0709,1.9697
1725.0,0.496329412,477.3386696,4074.611293,8.536101415,17.4,82.1,53.03,0.52,0.458,0.1779,2.6467,17.8785
1726.0,0.607327081,59.10269018,7717.920869,130.5849335,23.9,653.1,130.82,0.04,,0.8771,,
1728.0,0.184197861,38.75050187,47.32998513,1.221403152,13.3,22.4,36.76,0.3,0.0519,0.0125,0.0488,1.5473
1729.0,1.016847729,463.4552208,13464.3875,29.05218647,23.1,155.5,49.39,0.12,1.3013,0.3986,2.2046,35.9804
1731.0,1.195178026,1935.875464,1965.8194,1.015467904,13.3,18.7,32.51,0.36,,0.0331,0.1307,2.1239
1732.0,0.732634315,1088.081428,66587.7951,61.19743739,24.7,291.8,60.1,0.54,3.4516,1.5538,,241.9838
1735.0,1.662713915,2535.256563,554.9741831,0.218902572,10.1,9.1,33.23,0.24,,0.0086,0.0138,0.3211
1737.0,0.048351648,3.086004106,78.45931651,25.42424242,19.1,200.3,60.2,0.32,0.5747,0.156,2.8873,31.2464
1738.0,0.973190349,904.8708593,3158.544309,3.490602307,13.8,58.8,48.22,0.25,0.335,0.0925,0.3305,7.023
1739.0,0.293137255,35.8532103,210.9153787,5.882747372,17.5,55.6,38.83,0.11,0.0525,0.0065,0.0625,0.8389
1740.0,0.841591727,71.56289869,2400.592141,33.54520548,26.5,143.0,41.93,0.03,0.3275,0.0898,0.12,3.9456
1741.0,0.893501805,1125.667121,31370.6405,27.86848787,19.4,211.2,52.38,0.37,1.9478,0.6968,4.5842,54.7739
1743.0,1.553092182,1019.139518,815.0150657,0.79970902,14.2,12.3,22.04,0.11,0.0783,0.0192,0.0334,1.0261
1744.0,0.592434555,807.7886599,6373.550623,7.890121439,18.1,69.5,47.99,0.61,0.3126,0.0784,0.4121,11.9011
1745.0,0.611959686,162.8312401,1537.267901,9.440865892,18.0,84.0,45.19,0.12,0.2751,0.0708,0.1658,5.6572
1746.0,0.816254417,577.5106444,5217.519728,9.034499673,17.6,84.3,50.81,0.23,0.363,0.1073,0.312,6.413
1750.0,0.287796178,121.772956,762.7087934,6.263367652,16.1,72.2,46.74,0.39,0.7094,0.177,0.4196,16.7847
1751.0,0.6996,271.9112,4228.21916,15.55,18.4,131.4,51.3,0.14,0.3452,0.107,0.6878,8.0146
1752.0,0.46361413,1086.269137,68612.04357,63.16302401,25.1,297.9,56.02,1.32,1.3447,0.855,,207.4064
1754.0,0.292285714,285.0545657,7126.459066,25.000333,20.0,180.7,61.47,0.89,0.7364,0.6597,,150.1949
1755.0,1.570774443,1365.862556,810.9600546,0.593734744,11.4,17.0,41.96,0.15,0.0915,0.0314,0.0722,1.2333
1756.0,0.257560503,11.14676358,176.6891915,15.85116525,19.6,116.1,48.62,0.04,0.1417,0.052,0.1553,4.9409
1757.0,0.631125,560.1700547,12219.13223,21.81325498,23.1,117.4,63.09,0.38,,0.3463,2.8274,
1758.0,0.265106589,60.48551253,184.1894771,3.045183374,14.7,43.4,46.8,0.23,,0.0276,0.1104,3.1018
1759.0,0.220134048,14.83999597,302.571029,20.38888889,22.5,113.1,43.58,0.08,0.4448,0.1409,0.2152,5.281
1760.0,0.134307692,10.24411834,72.82231953,7.108695652,16.3,79.7,52.91,0.16,0.2173,0.0697,0.26,4.7322
1761.0,0.114885496,9.158265835,176.161937,19.23529412,20.1,134.7,49.32,0.2,0.1743,0.0774,0.6453,11.5435
1766.0,0.691683849,479.6496971,876.7367414,1.827868852,14.7,25.6,39.32,0.26,0.1053,0.0253,0.0701,1.4942
1767.0,0.712478754,60.45451111,2364.656345,39.11463845,24.0,191.9,47.5,0.03,0.5377,0.1651,0.208,7.1784
1768.0,0.036,0.828,23.976,28.95652174,20.6,196.4,55.23,0.18,0.7887,0.2347,1.316,19.7074
1769.0,1.097109827,1425.439394,1545.403768,1.084159575,13.0,21.1,37.03,0.31,0.1337,0.0495,0.0925,
1770.0,0.835164835,286.6535174,1159.763314,4.04587156,17.4,38.1,33.32,0.11,0.0846,0.0431,0.0839,2.8064
1771.0,0.869867841,123.4026113,3594.089376,29.12490537,22.5,162.9,47.54,0.04,0.1551,0.0552,0.2349,6.0497
1772.0,0.896836983,635.8779785,1594.195554,2.507077786,14.5,36.5,39.55,0.21,,0.0543,0.0651,4.664
1774.0,0.881409478,351.9281177,9196.929055,26.13297601,20.8,170.9,66.5,0.12,0.6689,0.2175,3.6275,22.3378
1776.0,0.2736,35.0892,141.52644,4.033333333,15.5,50.2,44.01,0.13,0.1167,0.0395,0.1194,3.7555
1778.0,0.342439024,135.7227841,74.30822427,0.5475,12.7,11.4,28.1,0.3,,0.0304,0.0546,1.6343
1780.0,0.679271071,26.09159095,1516.581898,58.12531328,29.4,194.6,48.24,0.01,1.2795,0.2018,0.5281,15.7904
1781.0,0.429923664,38.76175048,4010.027201,103.453202,31.5,317.7,49.12,0.06,0.7792,0.129,0.6562,12.4925
1782.0,0.485627907,340.4445538,8534.957558,25.07003699,21.4,155.9,48.96,0.39,1.0427,0.3652,1.9751,37.9734
1783.0,1.159071782,972.7921475,851.6437593,0.875463234,12.9,17.3,30.51,0.19,0.1095,0.0166,0.0458,0.994
1785.0,0.545732484,445.4063451,975.2404601,2.189552239,14.7,31.3,38.65,0.39,0.163,0.0239,0.0645,3.1452
1786.0,0.88094959,107.4032302,2290.724298,21.32826261,21.8,128.2,44.04,0.04,,0.0264,0.1313,
1787.0,1.210830325,477.8667779,34322.18223,71.82374631,24.3,351.1,71.27,0.09,3.3733,0.9209,7.3873,
1788.0,0.798795181,407.8373058,1345.562839,3.299263751,14.0,53.3,52.1,0.17,0.3523,0.096,0.2509,5.3635
1790.0,0.510845547,577.2526371,15942.66829,27.61818182,19.5,208.4,54.31,0.59,1.9935,0.477,5.2391,49.3321
1791.0,0.370929412,1989.428438,28007.34806,14.07808771,24.0,76.6,41.25,3.75,,,1.616,
1792.0,0.397608889,545.8481718,5146.340077,9.428152998,20.0,67.7,39.64,0.91,0.0517,0.0118,0.0636,9.3083
1793.0,0.919155629,1131.931027,9289.734204,8.206979035,19.0,65.2,44.5,0.36,0.3512,0.1078,1.3089,12.8745
1794.0,1.463236515,436.9102802,56521.50392,129.3663859,27.7,495.1,52.52,0.05,0.4894,0.1129,2.4638,36.6123
1795.0,0.5756974,3164.825108,65559.61145,20.71508194,25.3,99.4,47.51,2.57,2.6385,1.1097,,173.6792
1797.0,0.381345566,70.29136156,2436.161986,34.65805658,23.7,176.2,52.26,0.13,0.3355,0.1114,0.9383,9.0004
1798.0,0.403639607,21.04100694,5580.646524,265.2271605,34.7,704.6,58.03,0.03,,0.1609,0.7149,
1799.0,0.581962865,164.7305663,2895.062088,17.57452884,20.8,113.9,45.02,0.13,0.2141,0.0431,0.167,7.1135
1800.0,0.727808219,8085.569938,136665.2689,16.9023668,22.1,107.7,51.92,4.05,2.4922,1.3127,,538.0142
1801.0,0.932334802,510.7731056,790.9440075,1.548523207,12.9,31.0,51.8,0.16,,0.0268,0.3657,
1802.0,0.477848411,207.0779371,390.8559657,1.887482419,13.2,35.5,42.89,0.24,,0.0582,0.0788,
1804.0,0.8573125,465.5764502,1856.64137,3.987833511,16.3,44.8,41.19,0.17,0.0306,0.0102,0.1031,1.9051
1805.0,0.558646789,128.0858019,593.4948058,4.63357216,15.7,56.2,44.16,0.11,0.4413,0.1463,0.2176,9.5794
1806.0,0.761438849,442.1549402,3214.723606,7.270581676,17.2,70.8,44.8,0.2,0.6747,0.2222,0.4404,14.1591
1807.0,0.2051,17.1698,958.93333,55.85,24.7,261.5,50.61,0.1,0.9344,0.2527,1.913,27.5148
1810.0,1.043201024,1201.149392,1307.670913,1.088682991,12.6,23.1,47.7,0.29,,0.0465,0.0887,1.2897
1812.0,0.298004751,461.5496911,271.6444254,0.588548602,12.4,13.5,33.59,1.38,,,0.039,
1813.0,0.843409915,741.5243395,6721.174639,9.063997338,17.9,80.7,50.99,0.28,1.0152,0.5179,3.7822,20.7192
1816.0,0.298210024,517.4591578,302.794914,0.585157127,12.3,13.9,33.43,1.58,,0.0087,0.0367,1.5995
1820.0,1.01966899,601.9125071,3835.602995,6.372359686,15.5,79.9,48.6,0.15,0.251,0.053,0.2114,5.1896
1821.0,0.7763,196.78096,3849.52753,19.5625,19.7,145.1,49.9,0.08,0.2774,0.1043,0.3436,7.7228
1822.0,0.605,145.7091207,564.5767322,3.874683544,16.1,43.9,39.83,0.11,0.0971,0.0311,0.0506,1.4447
1824.0,0.993148479,729.4612364,3147.579678,4.314937548,15.1,57.1,45.78,0.2,0.0437,0.0531,0.2929,5.8865
1825.0,0.333886584,62.0740552,324.4422467,5.226696495,14.8,72.7,47.24,0.15,0.4953,0.138,0.2865,9.8576
1826.0,0.31,1461.1,156251.5,106.9410034,37.4,278.3,50.78,4.05,2.3905,0.8894,,1739.0918
1827.0,0.494391245,190.2772891,2939.128768,15.44655582,19.6,113.8,50.43,0.21,0.7388,0.1736,1.4573,12.3462
1829.0,1.4144,733.92128,8783.38048,11.96774194,18.2,104.3,49.46,0.1,,0.1292,0.4061,10.6161
1831.0,1.5246,450.64998,3474.74853,7.710526316,18.4,63.8,40.15,0.05,,0.074,0.1326,
1833.0,0.68,6239.8,88293.6,14.15006891,19.6,113.4,66.11,3.59,4.9529,0.7299,,342.3969
1836.0,0.647154047,487.190781,1905.107062,3.910392266,15.9,46.2,41.03,0.31,0.3865,0.0372,0.1274,
1838.0,0.706827997,746.0885922,37990.35936,50.91936769,22.7,283.7,67.38,0.4,0.6565,0.5705,,56.9261
1839.0,0.191294886,28.66509109,1818.952504,63.45531915,25.7,278.2,52.5,0.21,1.9801,0.5742,4.6111,70.3385
1840.0,0.358095238,523.9116486,31858.28074,60.80849858,26.0,266.9,61.02,1.11,,0.3117,,
1843.0,0.282100656,23.73858505,352.3689796,14.84372294,19.0,117.1,46.94,0.08,0.5373,0.1734,0.3469,8.4733
1844.0,0.804475771,362.2050481,340.0086385,0.938718663,12.6,20.0,39.74,0.15,,0.0211,0.053,1.3996
1845.0,0.593017456,101.7644205,1511.080757,14.8488121,20.9,96.2,44.76,0.08,0.1926,0.0498,0.0804,1.8117
1849.0,1.270891608,535.7499221,3237.886869,6.043653459,16.1,68.3,45.47,0.09,0.311,0.075,0.1092,3.9803
1852.0,0.845146667,112.8134752,478.873019,4.244821092,17.9,37.6,41.4,0.04,,0.0613,0.2328,0.4056
1855.0,0.42,248.3,11212.8,45.15827628,23.1,243.0,56.46,0.37,3.0857,0.7091,5.3407,71.649
1857.0,1.300153257,678.5220516,2699.931406,3.979135829,15.5,50.1,51.15,0.11,0.0674,0.018,0.1484,1.6858
1861.0,0.655572005,397.6061793,1848.346954,4.648687696,17.1,45.6,38.24,0.25,0.1571,0.0101,0.1303,2.2545
1864.0,0.889661319,372.9313662,1876.065464,5.030591775,14.8,69.6,48.26,0.13,0.2069,0.0551,0.1806,3.7606
1865.0,0.6296,514.07627,9061.36847,17.62650602,21.0,3.2,71.75,0.31,0.1922,0.0509,2.5537,14.5564
1867.0,0.424507042,119.3307776,1031.066321,8.640405616,17.5,81.8,51.3,0.17,0.1344,0.0477,0.5122,4.4628
1869.0,0.315579481,134.9085106,1226.32784,9.090070256,15.7,110.5,49.46,0.36,0.3997,0.0771,0.5617,15.9794
1870.0,0.328051643,214.7992365,804.2530417,3.744208102,16.1,42.9,43.61,0.53,0.1499,0.0526,0.855,9.2792
1872.0,0.462055596,78.59257779,184.9218895,2.352917981,15.3,30.3,35.91,0.1,0.0513,0.0096,0.0231,0.4764
1876.0,0.658147114,1278.14789,5090.784113,3.982938246,16.8,41.9,41.65,0.79,0.0592,0.0142,0.2127,7.4277
1877.0,1.152521008,147.7834772,663.7156824,4.491135916,16.8,45.5,39.15,0.03,,0.0226,0.0428,0.955
1878.0,0.610916569,103.525152,340.8868744,3.292792793,14.7,46.8,49.65,0.08,0.0272,0.0065,0.0204,0.3449
1880.0,0.020666667,1.20125,50.71944444,42.22222222,26.7,176.6,50.35,0.75,,0.0055,0.4023,5.5418
1882.0,0.983162983,296.7582737,136.2977515,0.4592888,13.0,9.0,20.09,0.08,,0.0142,0.0208,
1883.0,0.590769231,149.1855529,3231.858013,21.66334441,19.9,156.0,57.69,0.11,1.1802,0.3581,0.9417,14.3811
1884.0,0.820960187,774.5727324,439.9147101,0.567944999,10.6,20.3,44.92,0.3,0.0937,0.0175,0.0347,0.6823
1885.0,0.654088838,129.5038509,3529.664625,27.25528701,24.1,132.8,44.12,0.08,,0.1539,0.5385,
1886.0,0.410285714,93.72857574,1899.552335,20.26652299,20.4,138.5,59.21,0.15,0.334,0.096,1.0823,8.591
1887.0,0.156263959,2.898784921,15.47824721,5.339563863,17.5,49.6,40.55,0.03,,0.0109,0.0193,
1891.0,0.6156,93.5712,753.24816,8.05,19.0,1.5,38.75,0.06,0.1573,0.0237,0.0389,1.6625
1892.0,0.77383915,669.1187075,687.8838897,1.028044623,12.9,20.8,40.69,0.3,0.1058,0.0291,0.0781,
1893.0,0.717305936,66.46389428,714.6759884,10.75284553,20.5,71.9,41.16,0.03,0.1491,0.0428,0.0676,1.3839
1894.0,0.74490991,527.7348087,1241.598701,2.352694346,15.6,28.6,32.66,0.26,0.1367,0.0417,0.1014,1.8885
1896.0,0.918994413,88.22095128,2794.396242,31.67497291,28.7,117.6,36.74,0.03,0.9254,0.2436,0.3836,16.0505
1897.0,0.853883871,497.3139859,805.0046535,1.618705036,13.1,30.9,46.38,0.18,0.1876,0.0518,0.1899,2.1444
1898.0,0.76775837,375.8023302,482.4784944,1.283862434,14.8,17.9,29.45,0.17,0.4354,0.1077,0.2032,5.0443
1901.0,0.818362832,2296.495865,12997.07643,5.659525291,14.1,90.8,66.93,0.92,2.6858,0.8561,,88.1822
1902.0,0.738319088,100.0260753,75.69540832,0.756756757,14.1,12.1,21.84,0.05,0.0225,0.0044,0.0113,0.1261
1903.0,0.814364641,143.6220342,170.5641185,1.187590188,13.2,22.3,40.73,0.06,,0.0102,0.0197,0.2606
1904.0,0.594666667,313.309967,8673.048406,27.68200606,21.0,177.5,53.45,0.24,0.3334,0.1135,1.444,10.6897
1905.0,0.525564516,260.0649577,2803.328511,10.77933965,18.7,87.8,47.34,0.25,0.5068,0.1493,0.6046,10.7251
1906.0,0.412389853,537.427718,163.0378955,0.303367113,11.9,7.7,20.63,0.84,,0.1822,0.2719,
1907.0,0.851897712,227.4528761,10573.90937,46.48835203,24.3,226.6,48.54,0.08,2.5023,0.722,1.6419,52.8311
1908.0,0.459462103,68.4861903,13.41127564,0.195824524,11.3,5.7,17.43,0.09,,0.0033,0.011,0.1583
1909.0,1.001546961,387.8500412,2012.433027,5.188688445,16.3,57.2,42.97,0.1,0.2166,0.0515,0.1092,3.8887
1910.0,0.642255266,498.8197141,348.7482975,0.699146982,12.6,14.9,32.81,0.32,0.0212,0.0049,0.0207,
1911.0,0.392679245,90.23317622,234.0892104,2.594269871,15.6,31.9,39.04,0.16,,0.0094,0.0272,0.5816
1912.0,0.341,31.39587,62.79174,2.0,14.7,28.8,37.63,0.07,0.0697,0.0176,0.0332,
1913.0,0.9,3754.3,569935.1,151.8086194,25.4,699.3,128.82,1.23,10.2797,,,895.0629
1914.0,0.744552846,4102.121788,50980.29159,12.42778597,21.2,82.1,55.9,1.96,,0.3378,,38.6221
1916.0,0.438428571,419.1234796,1016.919413,2.426300274,14.6,35.2,43.76,0.58,0.1363,0.044,0.1955,2.3583
1917.0,0.898323208,1162.972296,587.0632889,0.504795592,12.1,12.0,27.9,0.38,0.0572,0.0117,0.0392,0.9565
1918.0,1.025456238,232.193093,290.4987346,1.251108424,14.3,18.9,28.79,0.06,,0.0141,0.0231,
1920.0,0.502929293,91.95189713,1307.999367,14.22482197,18.1,122.2,48.03,0.1,1.179,0.3402,0.7001,25.691
1921.0,0.600916031,603.62603,21313.27959,35.30874836,21.3,221.2,53.15,0.45,2.6638,0.8854,6.7722,114.1267
1923.0,0.416699029,586.9254139,8604.233291,14.65984108,21.1,95.0,44.75,0.92,0.1326,0.034,0.4299,15.6734
1924.0,0.02915009,0.342766482,0.24511378,0.715104286,12.2,16.4,35.97,0.11,0.0372,0.0092,0.0188,
1926.0,0.682455662,462.0884865,258.0483099,0.558439168,12.0,13.6,32.38,0.26,0.0885,0.0239,0.0413,0.6916
1928.0,0.552467192,642.518268,717.4734391,1.116658428,12.3,25.5,42.95,0.55,0.1777,0.0421,0.1416,3.1904
1929.0,0.278580528,53.68279841,2371.067213,44.16810008,25.4,197.2,47.68,0.19,0.3409,0.1018,0.5023,16.1546
1930.0,0.668367347,348.7019585,480.6546705,1.378411158,13.5,24.1,41.42,0.21,0.141,0.0358,0.1058,1.2928
1931.0,0.39389313,101.1395781,668.0254589,6.604985618,16.8,68.7,46.96,0.17,0.3639,0.0909,0.7946,7.807
1933.0,0.170164706,268.7481268,7962.794351,29.62920875,25.9,135.8,44.68,2.38,,0.0064,,33.8948
1936.0,0.302107728,43.50492791,438.9028624,10.08857809,17.9,90.5,45.92,0.12,0.3614,0.1064,0.2193,5.2094
1937.0,0.77223545,73.38486605,318.8610651,4.345052083,16.5,47.0,42.87,0.03,0.1063,0.0316,0.0399,0.7627
1938.0,0.429672727,201.8089098,8043.03876,39.85472579,22.7,219.7,52.29,0.3,2.1318,0.5467,4.7164,64.6597
1939.0,0.225402622,37.68022004,6.443647951,0.171008767,10.0,7.4,30.43,0.2,,0.0124,0.0204,0.3816
1940.0,0.79014,437.9689292,3817.143446,8.715557638,17.1,86.4,46.18,0.19,0.508,0.1382,0.3655,9.8533
1941.0,0.829753086,335.5961096,320.2461134,0.954260506,13.0,18.5,35.2,0.13,0.06,0.0072,0.0235,0.463
1942.0,0.457379603,771.0893374,23418.54952,30.37073446,23.4,161.4,50.73,1.0,3.2415,1.1209,12.0005,188.8145
1945.0,0.607086915,596.3630151,386.9772961,0.648895532,11.7,17.3,40.0,0.44,0.0344,0.0076,0.0197,0.4868
1946.0,0.773975241,368.1328911,1127.201548,3.061941964,14.2,47.3,47.54,0.16,0.1639,0.0379,0.1043,
1948.0,0.813509934,1266.629709,234.4009473,0.185058779,11.3,5.5,17.11,0.51,0.0555,0.0075,0.0143,0.7571
1949.0,0.736804124,1229.790105,22091.90513,17.96396396,20.3,124.5,54.22,0.62,1.2312,0.297,3.7271,48.2061
1950.0,0.914117647,913.2884114,5827.442834,6.380725696,18.2,55.4,39.0,0.29,0.3058,0.071,0.2163,10.9254
1952.0,1.554734411,1327.905744,1577.061481,1.187630589,12.7,24.4,40.13,0.15,0.1428,0.0301,0.0479,
1953.0,0.049606299,0.442941286,1.550294501,3.5,15.9,41.5,40.52,0.05,,0.0229,0.0369,0.4343
1954.0,0.859379043,1973.462577,8310.071829,4.210909255,15.7,51.6,45.1,0.71,1.3912,0.2585,1.7283,37.9631
1956.0,0.99372381,54.91572862,324.4272264,5.907728707,19.0,45.4,35.44,0.01,0.0396,0.0087,0.0097,0.5865
1957.0,0.818985782,1167.486703,16015.62757,13.71803853,21.5,85.0,42.88,0.47,1.2017,0.3522,2.3669,48.4559
1960.0,1.279219925,1805.469732,4449.213701,2.464297032,14.2,38.0,48.9,0.29,0.1829,0.0534,0.517,2.7586
1962.0,1.615009346,370.6607386,7030.911727,18.9685904,21.3,118.5,46.73,0.04,,0.0981,0.5106,
1963.0,1.483138034,77.77174318,11791.2753,151.6138743,36.7,366.5,53.13,0.01,,0.1602,1.7806,15.2842
1964.0,0.337373737,58.33328232,139.4129878,2.389939024,14.2,37.3,42.37,0.14,0.2291,0.0616,0.1348,2.5546
1966.0,0.121860465,5.83717628,14.12010661,2.418996093,14.4,36.6,40.5,0.1,,0.0214,0.0304,0.9147
1968.0,0.615259327,93.12005695,362.2065094,3.889672335,16.1,44.4,41.54,0.07,0.1302,0.0299,0.0818,1.2732
1969.0,0.051126761,1.555405673,8.489922634,5.458333333,15.3,70.0,49.75,0.15,0.1599,0.0516,0.2285,4.7152
1971.0,0.057548077,3.687911428,13.03612472,3.534825871,14.3,53.7,52.25,0.3,,0.0201,,2.0414
1972.0,0.906465296,119.8527298,209.6904078,1.749567224,13.6,30.3,39.94,0.04,,,0.032,
1973.0,0.360146341,272.4671297,2622.733651,9.625871766,18.4,82.4,44.97,0.55,0.4745,0.1028,0.3962,14.545
1976.0,0.643820639,262.4377126,494.8031211,1.885411651,14.0,30.2,40.19,0.17,0.1741,0.0612,0.0792,2.3768
1977.0,0.615294118,523.6595405,7241.447999,13.82854209,20.0,98.8,50.48,0.37,0.7432,0.1955,1.1091,16.3552
1978.0,0.625167785,361.0500653,227.7337733,0.630754001,11.9,15.7,35.74,0.25,0.0528,0.0148,0.0214,
1979.0,0.753882017,246.9284761,520.3135746,2.107142857,14.8,29.3,36.64,0.12,0.0359,0.0156,0.0308,
