YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70
508.0,0.080558848,15.01499569,109.4825364,7.291546312,16.3,81.7,60.65,0.62,0.2186,0.0654,1.4451,15.3828
511.0,0.326926407,157.1127378,120.8128483,0.76895642,11.9,19.6,47.63,0.39,0.0343,0.0145,0.0685,1.6042
513.0,0.304,101.6576,588.68992,5.790909091,17.6,54.2,41.07,0.3,0.4271,0.1315,0.8158,14.1283
515.0,0.706030719,2265.081057,34959.52028,15.43411445,19.9,113.2,49.08,1.21,0.7206,0.3135,4.1783,78.2873
516.0,0.277470882,47.90008458,728.3835194,15.20630967,19.1,117.6,48.15,0.17,0.4736,0.1419,0.7959,13.5116
518.0,0.2536,45.65426173,1590.157786,34.83043478,22.1,202.3,52.84,0.19,0.8676,0.2972,2.9458,75.9097
519.0,0.4365,70.5675,665.68675,9.433333333,17.1,94.5,47.48,0.1,0.3883,0.1527,0.3903,
520.0,0.423108218,149.6145828,1113.507909,7.442509204,19.5,55.5,36.34,0.22,0.4626,0.1227,0.272,11.5348
521.0,0.3609,525.81927,1794.53916,3.412844037,14.9,47.7,45.21,0.98,1.2795,0.3268,1.458,28.013
522.0,0.323001631,96.74028459,976.2699957,10.09165933,18.0,89.0,47.6,0.25,0.8591,0.2267,1.0579,11.306
523.0,0.34908377,1952.93492,8394.178246,4.298237571,15.6,58.4,58.18,4.37,8.0677,,,161.019
526.0,0.520347277,44.2946784,849.3605254,19.17522727,22.6,104.7,41.45,0.04,0.1655,0.0792,0.2332,
527.0,1.131046699,1410.74893,23617.18631,16.7408855,18.5,140.1,51.73,0.29,0.6718,0.3107,2.3428,53.8864
528.0,0.03,0.236,0.9,3.813559322,15.1,51.1,64.2,0.07,1.1706,0.4257,1.7572,2.2634
529.0,0.226190476,26.60430839,96.35534769,3.621794872,15.1,47.6,44.17,0.14,0.4175,0.1359,0.2532,5.5415
531.0,0.5312,130.22208,1329.16224,10.20688842,16.0,118.3,52.23,0.12,0.2546,0.0878,0.2665,
533.0,0.305177112,39.08262739,1620.562926,41.46504559,23.4,214.6,51.97,0.11,0.5401,0.075,0.2209,19.6199
534.0,0.355457064,287.7417546,2389.786579,8.305317324,19.1,65.2,49.93,0.61,0.2503,0.1135,1.2044,15.8116
535.0,0.465,158.0821931,724.1774348,4.581018398,15.8,54.7,42.65,0.2,0.2663,0.0653,0.1436,11.4385
538.0,0.14,470.1,15357.9,32.66943204,31.5,117.5,43.77,6.26,2.487,0.5321,,327.0674
540.0,0.401381526,536.1925237,1304.626172,2.433130105,14.2,38.6,45.1,0.89,1.2694,0.3887,0.7788,25.2176
541.0,0.14,69.9,553.4,7.91702432,17.5,75.5,51.67,0.91,0.2231,0.0809,1.0848,18.4112
542.0,0.11,25.4,225.6,8.881889764,17.3,86.7,58.71,0.6,0.1736,0.0397,0.9575,7.1595
543.0,0.274259408,36.90638051,299.4778397,8.114527504,16.8,83.6,46.81,0.13,0.0725,0.0421,0.113,5.1812
544.0,0.199674797,17.4431357,218.9736499,12.55357143,18.6,103.2,50.21,0.12,0.3064,0.1367,0.5444,6.2397
545.0,1.078287671,2676.198929,3175.374412,1.186524057,12.9,23.9,41.15,0.62,0.1398,0.0296,0.1628,4.4652
546.0,0.923644068,1544.683041,5263.55142,3.407528457,15.9,40.5,42.02,0.48,0.151,0.0288,0.3915,7.6314
547.0,0.29225974,80.05540646,1754.459259,21.91556245,20.6,146.6,50.24,0.25,1.1473,0.3987,1.6444,36.4737
548.0,0.290025575,605.2529641,6417.120717,10.60237801,18.2,95.7,51.64,1.96,5.0106,1.5316,8.442,123.1947
549.0,0.441799308,1464.323296,34158.253,23.32698872,23.0,131.2,47.61,2.02,0.2014,0.05,1.6297,91.7974
551.0,0.184210526,6.622229917,35.49168975,5.359477124,17.0,54.1,41.74,0.05,0.1179,0.0327,0.0813,2.8812
552.0,0.07860262,3.432428825,52.17291814,15.2,19.0,120.2,51.18,0.15,0.1804,0.0426,0.1946,4.3704
553.0,1.398734177,1295.957315,6752.125429,5.210144928,15.9,85.2,43.82,0.17,0.29,0.0836,0.1705,9.1185
554.0,0.08490566,5.161979352,101.4595942,19.65517241,19.1,155.6,69.51,0.2,1.9743,0.5036,1.1675,9.4674
555.0,0.582,472.80225,501.02925,1.059701493,12.5,23.1,40.19,0.39,0.1268,0.0476,0.0931,3.7025
556.0,0.182278481,31.23191796,39.20602468,1.255319149,12.7,26.0,65.33,0.25,0.6542,0.3298,1.1129,2.9072
557.0,1.138239178,1447.776767,6904.410208,4.768974309,16.1,54.9,43.12,0.3,0.4083,0.1142,0.269,8.6895
558.0,0.18,410.2,3254.2,7.933203315,20.7,56.6,55.42,3.45,10.3248,,,246.2178
559.0,0.740339806,1214.036655,200414.0522,165.0807258,30.2,552.9,56.26,0.59,3.1018,1.2339,,462.681
560.0,0.323584457,127.5759306,441.2039426,3.458363505,14.9,47.5,45.54,0.32,0.0709,,,6.4005
561.0,0.268949379,819.4100037,15090.57871,18.41639551,25.4,88.5,40.99,2.96,0.2258,0.0373,0.8371,38.8328
562.0,0.294984127,233.3199244,1074.14551,4.603745318,16.0,53.9,42.88,0.71,0.3015,0.2621,0.2178,23.3186
563.0,0.599923664,737.4698634,40894.43178,55.45234296,25.7,245.1,54.44,0.55,2.6373,0.8415,8.2872,126.3187
564.0,2.090779128,835.0772672,10700.98798,12.81436868,21.8,3732.5,38.5,0.05,0.2068,0.0768,0.2811,
566.0,0.350149254,109.0423231,4594.913929,42.13881177,24.3,204.1,54.76,0.23,1.3037,0.3606,3.4058,25.7773
567.0,0.891094225,2450.685712,33165.11373,13.53299347,20.7,90.9,45.1,0.81,0.6372,0.203,1.0219,50.6761
568.0,0.550771084,442.0918769,10849.41083,24.54107709,21.9,145.4,53.26,0.38,0.4258,0.0813,1.5038,22.0938
569.0,0.265668449,19.55707055,19.94433927,1.01980198,14.8,14.3,22.94,0.08,,0.3621,1.8242,0.6022
570.0,0.232421053,24.19625485,81.96715789,3.387596899,13.7,57.3,55.97,0.12,0.6311,0.227,0.5244,4.9922
574.0,1.297334526,300.7882967,7916.158753,26.31804109,27.0,104.9,37.44,0.05,0.2027,0.0362,0.0879,3.4734
577.0,0.187,144.3165079,1016.08337,7.040659341,17.2,70.8,50.22,1.11,2.0463,0.4801,6.3658,73.2255
579.0,0.590608333,765.8060314,915.9607517,1.19607409,12.6,26.0,41.75,0.58,0.1727,0.0485,0.259,2.4559
580.0,0.133471503,14.5425649,58.26115063,4.00625,16.1,44.9,42.69,0.21,0.1345,0.0359,0.1472,3.5278
581.0,0.580730897,730.9073575,393.8781305,0.538889267,11.4,15.3,39.51,0.58,0.3101,0.0658,0.2229,4.3682
582.0,0.1092,26.4992,340.51472,12.85,18.4,108.5,56.63,0.52,1.9848,0.6099,3.3413,23.6722
583.0,2.512473721,1898.344215,6372.154618,3.35669083,15.5,41.6,39.49,0.08,0.1669,0.0407,0.0804,3.8759
584.0,1.19009299,2513.664426,21915.04578,8.718365728,17.5,82.4,48.92,0.48,0.6577,0.1647,1.6447,32.6722
586.0,0.110957447,41.58290516,343.0903746,8.250755287,18.0,74.3,44.88,0.89,0.1621,0.0424,0.6352,13.0851
587.0,1.2,7504.3,21056.3,2.805897952,14.9,39.5,42.92,1.38,0.841,0.2141,1.4644,32.5184
588.0,0.1986,37.25074,396.61082,10.64705882,17.9,93.5,49.01,0.23,,,0.5522,11.8968
