[I 2026-07-17 11:47:12,344] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:49:55,405] Trial 12 finished with value: -1.3775970909924453 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.32755199995288875, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 35.51525768665829, 'reg_lambda': 7.3685846292268415e-06, 'gamma': 0.0009193995848256055}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:49:59,859] Trial 13 finished with value: -1.244652064808726 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.01027182584926457, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.02529451398159171, 'reg_lambda': 0.12961855304154216, 'gamma': 2.8931967136410153e-05}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:50:07,304] Trial 14 finished with value: -1.2485970183686668 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.0025380075681099663, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6512276177125755, 'reg_lambda': 0.0005994097252634188, 'gamma': 2.300346156009503e-06}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:50:08,842] Trial 15 finished with value: -1.6061802076155844 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1000, 'learning_rate': 0.002775148962004122, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00015320333828403672, 'reg_lambda': 0.014437803141951751, 'gamma': 61.69709265037201}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:50:45,519] Trial 16 finished with value: -1.3643883286146483 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.011736777496893405, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 2.566119672744681e-06, 'reg_lambda': 6.071706178421084e-05, 'gamma': 4.476861116453154e-05}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:50:48,088] Trial 18 finished with value: -1.6547131891890032 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00012630652324723587, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.08662661618273187, 'reg_lambda': 98.54215227512991, 'gamma': 95.1408462889713}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:48,720] Trial 19 finished with value: -1.5964852272422076 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.02534895231235017, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.05939909199240722, 'reg_lambda': 90.48815558821008, 'gamma': 91.7082014272388}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:49,253] Trial 20 finished with value: -1.5773842699056506 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.018318000650197157, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.053617413342308476, 'reg_lambda': 22.5580762660683, 'gamma': 82.68233244326379}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:49,294] Trial 17 finished with value: -1.348925864919401 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.026179530441174294, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0179245769102269, 'reg_lambda': 13.017077966228255, 'gamma': 0.0010031908749431732}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:49,687] Trial 21 finished with value: -1.5779718655955066 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.044569825989757526, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.1019406739170864, 'reg_lambda': 47.88075548131326, 'gamma': 82.10105539205948}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:50,108] Trial 22 finished with value: -1.5773074129782112 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.06404317829209376, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.09412173200528155, 'reg_lambda': 74.12373520887168, 'gamma': 81.43097515336608}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:50,532] Trial 23 finished with value: -1.3340987931245545 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.06145463236105212, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00012349120407900244, 'reg_lambda': 30.936618787285315, 'gamma': 2.2433057865842088}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:50:51,361] Trial 24 finished with value: -1.294683710045363 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.03360265549493181, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010580692468896618, 'reg_lambda': 62.37082989589478, 'gamma': 1.089067195976744}. Best is trial 18 with value: -1.6547131891890032.
