[I 2026-07-17 15:49:23,814] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:49:57,955] Trial 12 finished with value: -0.24593566431275862 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.29089680984867433, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 33.568856222190455, 'reg_lambda': 4.807594090457872e-05, 'gamma': 4.052075236985744}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:00,163] Trial 13 finished with value: -0.24400108637540155 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.023932626473752168, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.7270281387493002, 'reg_lambda': 4.795212712928055, 'gamma': 0.14231338778040814}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:00,900] Trial 14 finished with value: -0.2630673368343805 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.1469318420486709, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.6120818309411986e-05, 'reg_lambda': 2.339405773886809e-06, 'gamma': 0.0003026309450210722}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:03,535] Trial 15 finished with value: -0.27420160884793665 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.053912673719358234, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.004131930499546824, 'reg_lambda': 0.0003230535708875648, 'gamma': 0.004663084800433611}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:05,941] Trial 16 finished with value: -0.3988952982909908 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.45536619698870356, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.44820843057025e-05, 'reg_lambda': 1.0173138887225451e-06, 'gamma': 0.0036723472677723922}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:05,983] Trial 17 finished with value: -0.2801281390452511 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.4787503473090282, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.2807571580505105, 'reg_lambda': 1.4715396963679672e-06, 'gamma': 0.0005529298803241486}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:08,284] Trial 18 finished with value: -0.39770500804795333 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.43927335453426664, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1269974755399, 'reg_lambda': 1.0858122358714655e-06, 'gamma': 0.0017843417307131413}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:50:13,106] Trial 19 finished with value: -0.5190896203037348 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.3943739641602152, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4398648302269647, 'reg_lambda': 1.0830986918640895e-06, 'gamma': 0.0008840819924589171}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:15,565] Trial 20 finished with value: -0.4499403050725768 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.4497266203464416, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.40449531132444155, 'reg_lambda': 0.5280146469039336, 'gamma': 0.0025776330011981754}. Best is trial 19 with value: -0.5190896203037348.
[I 2026-07-17 15:50:17,754] Trial 21 finished with value: -0.3670671119210675 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.32500774585117015, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.20031142057648668, 'reg_lambda': 1.1882289790351772e-06, 'gamma': 0.0014825907878609364}. Best is trial 19 with value: -0.5190896203037348.
