[I 2026-07-17 11:41:05,626] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:43:11,972] Trial 11 finished with value: -0.06826670167295927 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.027514567249349423, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 5.231918455895233e-06, 'reg_lambda': 55.908130507405225, 'gamma': 7.129541730986779e-06}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:43:23,282] Trial 13 finished with value: -0.06722561730139026 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.0477858201988899, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.07439102483899304, 'reg_lambda': 0.0038357566934724744, 'gamma': 1.7180562393628468e-06}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:43:24,970] Trial 14 finished with value: -0.07551746891399588 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.07227397246011526, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 31.88465403491908, 'reg_lambda': 0.00015194278159617387, 'gamma': 0.3486528723253763}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:43:26,338] Trial 15 finished with value: -0.069911763400256 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.028476026980785878, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.880326019437213e-06, 'reg_lambda': 6.211836927822385e-05, 'gamma': 3.2373732606295667e-06}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:43:56,605] Trial 16 finished with value: -0.06541912432277923 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.0011983962386196269, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5634619450472846, 'reg_lambda': 0.07063882195269136, 'gamma': 0.008606439017679712}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:43:59,751] Trial 17 finished with value: -0.13198499828223925 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.00010762086533734182, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3819689218297769e-06, 'reg_lambda': 0.020999825847172054, 'gamma': 38.94240042978387}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:44:02,756] Trial 18 finished with value: -0.12338352500206576 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.00025512761835688687, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5656853252526292e-06, 'reg_lambda': 0.08673775832358026, 'gamma': 14.822716168512347}. Best is trial 12 with value: -0.13552092227934387.
[I 2026-07-17 11:44:04,225] Trial 20 finished with value: -0.13731824613022622 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00011377932981640387, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10692537129161746, 'reg_lambda': 0.04641043245285933, 'gamma': 48.56249297563868}. Best is trial 20 with value: -0.13731824613022622.
[I 2026-07-17 11:44:04,882] Trial 21 finished with value: -0.13733284703106718 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00010628284557868546, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.9773410171834969, 'reg_lambda': 0.12152774905361946, 'gamma': 52.334397512349334}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:05,241] Trial 22 finished with value: -0.13722751576891443 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00010108893976650282, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5935021931207266, 'reg_lambda': 0.06014249576520592, 'gamma': 90.31072788441851}. Best is trial 21 with value: -0.13733284703106718.
