[I 2026-07-17 11:44:56,468] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:47:35,529] Trial 12 finished with value: -0.7357641421679452 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.00012307694263714492, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.3822738867312941, 'reg_lambda': 3.3828537018318423, 'gamma': 0.008452034870539362}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:38,739] Trial 14 finished with value: -0.7506112712144931 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.002359057941749309, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.7486674967944718, 'reg_lambda': 42.906942928443335, 'gamma': 0.0013196681641665484}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:39,884] Trial 13 finished with value: -0.6839071781049272 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.08438629611889455, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0031581275027410625, 'reg_lambda': 0.02744828563498583, 'gamma': 3.034473268701312e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:42,519] Trial 15 finished with value: -0.6427198527720959 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.025384702777614794, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3470918319507855e-06, 'reg_lambda': 8.797457638063747e-06, 'gamma': 1.6763387460590256e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:43,756] Trial 17 finished with value: -0.7888671619486051 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00015261968712181035, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 84.62855113677388, 'reg_lambda': 0.0002921943121669105, 'gamma': 0.0012011800286865584}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:44,708] Trial 16 finished with value: -0.7402737592911903 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.02330095188516438, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 73.6591532989953, 'reg_lambda': 2.5360747793779675e-06, 'gamma': 11.275890998227457}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:49,511] Trial 18 finished with value: -0.7423628138542845 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.0002068002728130343, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003132148130616869, 'reg_lambda': 61.139938406227415, 'gamma': 0.0049014289308278265}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:54,735] Trial 19 finished with value: -0.7408060227048822 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.00034783552215725575, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 43.35484789466096, 'reg_lambda': 0.0003036324636433064, 'gamma': 0.01654935733992471}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:59,201] Trial 21 finished with value: -0.785499020293596 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00040628527680219894, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 76.51355568380144, 'reg_lambda': 66.48532520605166, 'gamma': 0.0007426282842517889}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:47:59,971] Trial 20 finished with value: -0.7492830631787785 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.0001458305959409205, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 59.494484590378434, 'reg_lambda': 93.92819294037481, 'gamma': 0.0025329010331906925}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:00,558] Trial 23 finished with value: -0.779278310548611 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.000883357131946909, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 71.16233399217658, 'reg_lambda': 55.25856276439368, 'gamma': 0.00041707767681702795}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:00,984] Trial 22 finished with value: -0.7443764181458247 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0010429069463988238, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 7.3606239798022886, 'reg_lambda': 62.42702080313687, 'gamma': 0.0005398905659831018}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:02,164] Trial 24 finished with value: -0.780786998931667 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.00015228889926041252, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 74.31621063665207, 'reg_lambda': 0.0001878107181182355, 'gamma': 0.00023166088272276832}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:03,543] Trial 25 finished with value: -0.7802353188269817 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.00013428015664651035, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 56.355823449195, 'reg_lambda': 0.00021252068772551578, 'gamma': 0.00016480634624284205}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:05,467] Trial 26 finished with value: -0.7593826825019073 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0005759842549384374, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 19.456891947353363, 'reg_lambda': 0.0001155882740264906, 'gamma': 0.00015619270085293058}. Best is trial 11 with value: -0.8640370946162611.
