[I 2026-07-17 14:06:46,786] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:07:59,988] Trial 12 finished with value: -0.055414909786972735 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.00012207408484381295, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 26.041478736824846, 'reg_lambda': 0.013334083625848241, 'gamma': 0.00017659665160917637}. Best is trial 11 with value: -0.1055239427764113.
[I 2026-07-17 14:08:03,126] Trial 13 finished with value: -0.05542305820635789 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.02955498459615472, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 8.876806964997463e-05, 'reg_lambda': 0.17506708699394846, 'gamma': 6.618108545675283}. Best is trial 11 with value: -0.1055239427764113.
[I 2026-07-17 14:08:09,422] Trial 14 finished with value: -0.05765209729397502 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.00843763392667168, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002614443434468171, 'reg_lambda': 13.19313677092318, 'gamma': 3.756089070332656e-05}. Best is trial 11 with value: -0.1055239427764113.
[I 2026-07-17 14:08:30,437] Trial 15 finished with value: -0.15885259407044372 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.47476003582002857, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.004095325580248035, 'reg_lambda': 0.013975384604958344, 'gamma': 0.0006411855085301739}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:08:32,629] Trial 16 finished with value: -0.055395776818850814 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.013023014305025839, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 7.492434040972481e-05, 'reg_lambda': 0.0008995321358899455, 'gamma': 12.999039003161895}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:08:39,455] Trial 17 finished with value: -0.10069861772906033 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.24509360567235056, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0008555241267001306, 'reg_lambda': 0.02480645716206586, 'gamma': 1.6464069580890383e-06}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:08:45,463] Trial 18 finished with value: -0.0715909157371445 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.009733636912102972, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0043398766716769566, 'reg_lambda': 0.035261896595185124, 'gamma': 0.00764284202879895}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:08:52,460] Trial 19 finished with value: -0.13414766714687887 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.4816261521592466, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0003154389123815073, 'reg_lambda': 0.012240528365168984, 'gamma': 0.0028894588680060656}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:08:59,125] Trial 20 finished with value: -0.12544036259947347 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.4339136862238024, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0004681992303752124, 'reg_lambda': 1.1247335645929559e-05, 'gamma': 0.002658609955572876}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:09:11,558] Trial 21 finished with value: -0.09932602643616098 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.14261603781655272, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0010467637379186702, 'reg_lambda': 1.8350520231914532e-05, 'gamma': 1.1278350952348458e-06}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:09:19,978] Trial 22 finished with value: -0.11815192603577655 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.29573884665169314, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00130955328811036, 'reg_lambda': 1.1895874106591612e-05, 'gamma': 0.005222751388250226}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:09:31,665] Trial 23 finished with value: -0.13410658887385318 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.49083277060922736, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 8.55019693966758e-05, 'reg_lambda': 1.457473393716896e-05, 'gamma': 0.002875544142318896}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:09:41,518] Trial 24 finished with value: -0.13315398932467454 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.44948973688581734, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00042984582995584785, 'reg_lambda': 8.517165157079297e-06, 'gamma': 0.0025530432494956295}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:09:51,729] Trial 25 finished with value: -0.08647346332944433 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.09422319763824509, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.2798947824556668e-06, 'reg_lambda': 2.0235557985416246e-05, 'gamma': 0.0022713630963881693}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:10:13,489] Trial 26 finished with value: -0.14998261291358275 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.49859492558043705, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 6.540892824234405e-05, 'reg_lambda': 1.6963731479654043e-05, 'gamma': 0.002477187320867863}. Best is trial 15 with value: -0.15885259407044372.
