[I 2026-07-17 15:31:05,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:33:09,865] Trial 12 finished with value: -0.05109582647765713 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.0029959442065253575, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 13.19825977336944, 'reg_lambda': 9.01610007635104e-06, 'gamma': 0.002848916986726844}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:11,834] Trial 13 finished with value: -0.0515924616786121 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.07048976297568667, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 2.406672971555481e-06, 'reg_lambda': 6.940648513005211e-06, 'gamma': 0.5846731752880066}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:20,591] Trial 14 finished with value: -0.05220507699667916 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.00024665757213083675, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 7.087976586386654e-06, 'reg_lambda': 4.107538788913161e-05, 'gamma': 0.0027360780954141218}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:22,533] Trial 15 finished with value: -0.05263992167675603 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.02504110711350375, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 3.317728037375736e-05, 'reg_lambda': 0.00010543961046927245, 'gamma': 16.405814167300175}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:33,213] Trial 16 finished with value: -0.051413140511385125 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.0005568785543166742, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 4.386573717588706e-06, 'reg_lambda': 0.12245904118945257, 'gamma': 0.07236709293090904}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:34,493] Trial 17 finished with value: -0.05263764196016791 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.39676167079065505, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 28.791360875579123, 'reg_lambda': 0.004375320462172534, 'gamma': 91.51628434693261}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:33:37,519] Trial 18 finished with value: -0.11063055815318368 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.49942871414539747, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00015959610886021524, 'reg_lambda': 0.012264799443262916, 'gamma': 3.3865880161621514e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:38,780] Trial 19 finished with value: -0.052634574912570065 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.4368065745632265, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 92.46899564063744, 'reg_lambda': 0.008573838826084302, 'gamma': 1.6327053432801007e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:42,359] Trial 20 finished with value: -0.09363528741583643 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.2837632222115169, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0001710707424870861, 'reg_lambda': 0.003603925615919891, 'gamma': 1.570881158424479e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:33:45,496] Trial 21 finished with value: -0.10336910295689695 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.4148763390179174, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00017766331231036393, 'reg_lambda': 0.004015155433338396, 'gamma': 6.037349357232598e-06}. Best is trial 18 with value: -0.11063055815318368.
