[I 2026-07-17 16:05:21,664] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:06:06,440] Trial 11 finished with value: -0.6761659946055089 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.011385232128673763, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0169702236220413, 'reg_lambda': 2.0928726171040758e-06, 'gamma': 1.3885730365518063e-06}. Best is trial 11 with value: -0.6761659946055089.
[I 2026-07-17 16:06:13,683] Trial 13 finished with value: -0.5122167461512109 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.0009536357669059031, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.3957155250828203e-06, 'reg_lambda': 4.735843347392978e-06, 'gamma': 0.00031483779207430073}. Best is trial 11 with value: -0.6761659946055089.
[I 2026-07-17 16:06:18,554] Trial 14 finished with value: -0.5544695315337471 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.010521197859248838, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.3012877583908468e-05, 'reg_lambda': 0.0030165778615550217, 'gamma': 0.21439534235824664}. Best is trial 11 with value: -0.6761659946055089.
[I 2026-07-17 16:06:26,342] Trial 15 finished with value: -0.6386758235651957 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.10684558985238178, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1287802083602721, 'reg_lambda': 1.2519156349812444e-05, 'gamma': 1.7435805659481086e-05}. Best is trial 11 with value: -0.6761659946055089.
[I 2026-07-17 16:06:39,992] Trial 16 finished with value: -0.8489811554832913 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.09106846781250039, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 4.3165528083243274e-06, 'reg_lambda': 19.393535973753057, 'gamma': 0.02571086278253166}. Best is trial 16 with value: -0.8489811554832913.
[I 2026-07-17 16:06:45,268] Trial 17 finished with value: -0.6334342489446622 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.43414470364442537, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00022964534355498551, 'reg_lambda': 0.035000640387887624, 'gamma': 0.01931093070529427}. Best is trial 16 with value: -0.8489811554832913.
[I 2026-07-17 16:07:02,893] Trial 18 finished with value: -0.7209033844502805 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.009870148216324896, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00026941328079614033, 'reg_lambda': 0.04597288102745443, 'gamma': 1.0707078318517612e-06}. Best is trial 16 with value: -0.8489811554832913.
[I 2026-07-17 16:07:13,435] Trial 19 finished with value: -0.8163926557031351 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.01626378724974122, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00015042199370345912, 'reg_lambda': 1.2155523126650861e-06, 'gamma': 1.3232886859536626e-06}. Best is trial 16 with value: -0.8489811554832913.
[I 2026-07-17 16:07:22,546] Trial 20 finished with value: -1.8417397341956008 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.3874815656526332, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003478553014446989, 'reg_lambda': 3.6760761384522206e-06, 'gamma': 1.4846437527763674e-06}. Best is trial 20 with value: -1.8417397341956008.
[I 2026-07-17 16:07:32,635] Trial 21 finished with value: -2.404692095773838 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.49818439903441525, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002024491552237652, 'reg_lambda': 1.026247716183897e-06, 'gamma': 1.3182102921961805e-06}. Best is trial 21 with value: -2.404692095773838.
