[I 2026-07-17 11:25:57,026] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:28:49,023] Trial 12 finished with value: -0.195934631482981 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.0013146872266961212, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.053835111127477325, 'reg_lambda': 3.31623404578838e-05, 'gamma': 0.013665151185376768}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:56,943] Trial 13 finished with value: -0.18855101399976593 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.006682261736925603, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00037332715789821627, 'reg_lambda': 1.889703523235989e-05, 'gamma': 1.6810114421714129e-06}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:29:39,841] Trial 14 finished with value: -0.19444346440924382 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.002088268875682736, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 4.74631356992632e-06, 'reg_lambda': 7.603458273221654, 'gamma': 0.00022775962340430592}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:30:07,727] Trial 15 finished with value: -0.19145349811379964 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.002651493873348423, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.2929501955494034e-05, 'reg_lambda': 1.3559162239158377e-06, 'gamma': 0.1056281036732352}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:30:17,368] Trial 16 finished with value: -0.21991915513272497 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.12024384784657578, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.007156063860118249, 'reg_lambda': 0.00011629522122476963, 'gamma': 0.0018118901986045137}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:30:19,011] Trial 17 finished with value: -0.20848305570588985 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.01230236704247393, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 85.25485104635182, 'reg_lambda': 0.1549072816684282, 'gamma': 0.05502984781203274}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:30:41,825] Trial 18 finished with value: -0.20192604238843506 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.013010314077200583, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0056891764032649126, 'reg_lambda': 0.16707337645531267, 'gamma': 0.022680011812967454}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:05,071] Trial 19 finished with value: -0.1947052080492125 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.005673436867317456, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0066011565282671535, 'reg_lambda': 0.5040589331795456, 'gamma': 0.011730794002943645}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:30,031] Trial 20 finished with value: -0.1958965901526111 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.005731961844277678, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006243991739394142, 'reg_lambda': 0.7229493209720115, 'gamma': 0.034314317084472905}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:53,560] Trial 22 finished with value: -0.2424859313328235 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00011899062837578097, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 68.52083192326339, 'reg_lambda': 0.22507614556364425, 'gamma': 0.03674455094849161}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:54,209] Trial 21 finished with value: -0.23105650602006886 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.00010509708810993366, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00028660679579241597, 'reg_lambda': 0.4793221255216294, 'gamma': 0.06428944464293383}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:55,381] Trial 23 finished with value: -0.24109061615645128 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.00016426552909547156, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 69.00691432582514, 'reg_lambda': 0.3400279170293709, 'gamma': 0.007458424714542992}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:57,338] Trial 24 finished with value: -0.202193665263621 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.49604322074158524, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 63.62375698056539, 'reg_lambda': 0.22550787278847342, 'gamma': 0.005389604649210853}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:58,638] Trial 25 finished with value: -0.23052982662906693 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.42479001311577963, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007202385779649044, 'reg_lambda': 0.7877761035741577, 'gamma': 0.003091531075023715}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:31:59,361] Trial 26 finished with value: -0.22710025206931847 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.4734026637266574, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0010984303863834201, 'reg_lambda': 0.0006237454362319461, 'gamma': 0.0033698091416941365}. Best is trial 3 with value: -0.2755535299327183.
