YB,F8,F12,F24,F70
1437.0,0.1048,0.0385,0.1228,2.8257
1438.0,0.192,0.083,0.176,10.0434
1439.0,0.1547,0.0888,0.0818,2.5282
1440.0,0.2439,0.0782,0.082,3.381
1441.0,0.2289,0.0459,0.0716,3.6025
1442.0,,0.2369,0.8792,12.3502
1443.0,0.693,0.1004,,6.4763
1444.0,3.0528,1.154,4.8703,51.0215
1445.0,0.1977,0.0844,0.2906,4.1657
1446.0,3.9705,2.7814,,180.3936
1447.0,2.2175,0.883,2.5475,70.954
1448.0,1.6677,0.4862,1.1902,14.3195
1449.0,,,,
1450.0,4.6688,2.1777,,95.4767
1451.0,,0.3252,,
1452.0,,,,
1453.0,,0.0317,0.061,0.3827
1454.0,0.1804,0.0741,0.1935,3.7298
1455.0,,,,0.1908
1456.0,0.5209,0.2191,0.6453,13.7341
1457.0,,,,16.607
1458.0,0.3083,0.1561,0.1154,1.031
1459.0,3.7509,0.7433,6.1962,5.719
1460.0,0.7423,0.2096,0.7578,31.9237
1461.0,1.1692,0.5994,0.672,10.5484
1462.0,0.9119,0.4101,5.0739,57.2993
1463.0,0.1378,0.0356,0.1157,3.0937
1464.0,17.6643,4.9337,,1050.2242
1465.0,0.1868,0.0574,0.0852,3.0336
1466.0,1.7192,2.0706,,25.0076
1467.0,0.3495,0.1257,0.1252,4.9019
1468.0,,0.1285,0.4679,8.8791
1469.0,0.2837,0.1133,0.1883,9.5042
1470.0,0.6527,0.2595,0.2875,10.2859
1471.0,0.5916,0.201,0.6993,24.6039
1472.0,0.2993,0.113,0.4101,13.1803
1473.0,0.0931,0.0267,0.0304,1.251
1474.0,0.474,0.1953,2.0845,15.2184
1475.0,0.3077,0.0718,0.3264,9.0575
1476.0,4.6956,2.792,,277.7991
1477.0,1.273,0.5733,1.0386,28.241
1478.0,2.6428,2.5055,,1416.0442
1479.0,0.9687,0.4303,3.2959,
1480.0,0.2937,0.0857,0.8125,
1481.0,0.4693,0.168,1.9137,39.8093
1482.0,0.1314,0.0627,0.0855,2.1249
1483.0,0.7816,0.3356,1.7173,23.3765
1484.0,0.0661,0.0195,0.035,
1485.0,0.5923,0.2944,0.3027,5.9207
1486.0,1.3897,0.4859,7.2264,72.2556
1487.0,,0.7592,0.8338,
1488.0,0.0575,0.0218,0.0344,0.9633
1489.0,0.0954,,,
1490.0,2.6191,1.5039,6.2848,90.1403
1491.0,0.5941,0.2932,0.2868,9.6455
1492.0,,0.0109,0.0112,
1493.0,0.3576,,0.1929,
1494.0,0.1831,0.0739,0.1573,3.6255
1495.0,0.1605,0.0534,0.0669,1.8243
1496.0,0.185,0.0715,0.2087,5.0148
1497.0,0.271,0.0803,0.0785,2.7241
1498.0,,,,1.4351
1499.0,0.1739,0.0767,0.1005,2.2176
1500.0,1.3724,1.1251,,351.1548
1501.0,0.1126,,0.0413,
1502.0,0.3447,0.1597,0.2122,6.1049
1503.0,0.0901,0.0322,0.0431,0.8942
1504.0,0.2128,0.0637,0.1363,3.1623
1505.0,0.67,0.3209,0.5228,12.6584
1506.0,0.1516,0.0734,0.0816,2.8977
1507.0,0.4991,0.2148,0.273,8.5356
1508.0,0.2201,0.096,0.1711,5.3354
1509.0,0.958,0.3555,1.4535,23.7093
1510.0,0.1228,0.0897,0.1325,2.9754
1511.0,0.3058,0.1179,0.1691,4.8118
1512.0,0.4921,0.2133,0.2719,6.7126
1513.0,0.3115,0.0955,0.3927,10.7368
1514.0,,0.0275,0.0282,
1515.0,0.4876,0.1391,0.4685,8.5577
1516.0,0.3012,0.1455,0.1309,4.5104
1517.0,0.9037,0.4207,0.6271,13.9936
1518.0,,0.7997,1.6796,5.1601
1519.0,,0.0571,,2.0888
1520.0,0.2227,0.1234,0.439,7.1757
1521.0,,,0.0532,
1522.0,1.0477,0.3748,0.6879,27.9326
1523.0,0.2614,0.0933,0.0999,4.7061
1524.0,,,0.1782,
1525.0,0.9759,0.7862,6.5379,69.7518
1526.0,3.9098,1.7898,3.7372,81.7018
1527.0,,0.0365,,
1528.0,0.2092,0.0833,0.1231,4.7881
1529.0,0.1874,0.0681,0.0703,
1530.0,0.187,0.0344,,
1531.0,0.5993,0.1702,,9.4883
1532.0,0.157,0.07,0.1055,3.2051
1533.0,1.5423,0.4383,2.7098,53.0739
1534.0,0.9425,0.248,1.305,25.8935
1535.0,,0.1499,,18.9766
1536.0,2.2307,1.005,5.3151,98.3601
1537.0,,0.8284,,
1538.0,0.6697,0.1964,0.6432,28.7346
1539.0,,0.1262,0.4367,
1540.0,0.6925,0.3317,1.8767,41.2805
1541.0,0.581,0.2731,0.4138,11.2633
1542.0,0.5169,0.1851,0.8482,17.908
1543.0,1.816,0.7323,3.704,76.1855
1544.0,0.2329,0.101,0.4904,
1545.0,0.1869,0.0992,0.1847,1.8908
1546.0,3.4886,2.452,,205.7982
1547.0,0.3772,0.1666,0.468,10.8114
1548.0,3.9648,2.3505,,
1549.0,,2.212,,
1550.0,0.0753,0.0326,0.0471,1.2612
1551.0,,0.0728,0.4335,
1552.0,1.8273,0.8229,5.0185,106.3753
1553.0,0.1106,0.0757,0.9436,6.1487
1554.0,0.0571,0.0575,0.6566,
1555.0,0.4293,0.0883,0.1693,
1556.0,0.0857,0.0115,,1.101
1557.0,1.1542,0.3987,0.6308,
1558.0,0.2156,0.0941,0.1467,3.7618
1559.0,1.6926,0.8088,4.1825,81.9689
1560.0,,2.4161,,
1561.0,0.2927,0.1637,0.3809,
1562.0,0.5781,0.2605,0.7661,8.563
1563.0,0.1486,0.0405,0.4098,11.3369
1564.0,1.5362,0.7808,4.1633,105.7574
1565.0,0.8967,0.4466,6.4954,214.171
1566.0,,0.1237,0.3929,
1567.0,0.2034,0.0595,0.117,5.4223
1568.0,0.2214,0.1702,0.8304,9.0497
1569.0,4.2924,3.1649,,245.3094
1570.0,14.4649,,,2120.2953
1571.0,0.5715,0.2117,1.2205,16.9633
1572.0,0.293,0.1346,0.2018,4.412
1573.0,0.3845,0.1598,1.2563,
1574.0,0.0892,0.0272,0.0384,1.5013
1575.0,0.5543,0.2315,1.0467,16.96
1576.0,0.2444,0.0881,0.1756,6.7001
1577.0,,0.1143,0.1127,1.7628
1578.0,2.7813,1.6436,8.226,132.5601
1579.0,0.7358,0.1569,,30.975
1580.0,1.8937,0.7918,1.8476,32.362
1581.0,0.2474,0.1631,0.1327,3.157
1582.0,0.1116,0.0332,0.3668,4.0602
1583.0,,0.0922,0.0839,1.5692
1584.0,,0.0185,0.0243,0.4106
1585.0,0.2025,0.0578,0.2071,9.8103
1586.0,0.0494,0.0167,0.0279,1.364
1587.0,0.2067,0.0714,0.2416,6.2038
1588.0,0.4541,0.1962,0.2614,12.8124
1589.0,0.7007,0.273,1.1671,
1590.0,0.2764,0.121,0.1874,6.3193
1591.0,0.1507,0.0621,0.0683,3.6952
1592.0,,1.9072,9.8808,119.4634
1593.0,0.4532,0.1817,0.2001,14.2944
1594.0,0.9374,0.3619,4.8355,76.2838
1595.0,0.6798,0.3569,6.2658,111.2931
1596.0,0.6385,0.2569,0.5827,27.4853
1597.0,0.3622,0.3921,1.3081,17.7964
1598.0,1.6078,0.5902,0.7501,
1599.0,0.4106,0.1936,0.1914,9.8741
1600.0,0.5693,0.269,0.5063,19.2161
1601.0,0.5089,,0.332,
1602.0,0.16,0.0591,0.072,1.8664
1603.0,1.1023,1.0002,,237.5354
1604.0,0.1393,0.0537,0.1988,5.0584
1605.0,0.6167,0.2503,0.6698,8.588
1606.0,0.3486,0.1371,0.1523,
1607.0,0.3097,0.1325,0.269,6.1042
1608.0,2.4998,0.8529,2.7364,52.9557
1609.0,2.3939,,,26.5852
1610.0,0.1181,0.042,0.077,1.8526
1611.0,0.6468,0.2447,0.8496,16.5604
1612.0,0.4805,0.1374,0.1787,15.9318
1613.0,,0.014,0.0275,
1614.0,0.0601,0.0174,0.0503,0.7886
1615.0,,0.0674,0.071,
1616.0,,0.0221,0.0389,0.774
1617.0,0.3182,0.1096,0.7501,13.1756
1618.0,0.1427,,0.0776,1.969
1619.0,0.1427,0.055,0.1027,2.5688
1620.0,0.8045,1.1321,,103.4573
1621.0,0.5711,0.277,1.0831,19.1477
1622.0,0.1871,0.0886,0.3547,3.1481
1623.0,,3.5729,,
1624.0,,4.0865,,
1625.0,0.2018,0.1255,0.2261,
1626.0,0.0349,0.0231,0.0292,0.556
1627.0,0.0278,0.0118,0.0213,0.861
1628.0,0.2731,0.0792,,7.9805
1629.0,0.1861,,0.0644,
1630.0,0.0583,0.0185,0.0409,1.3607
1631.0,0.0605,0.0322,0.0354,0.6436
1632.0,0.0947,0.0364,0.0368,0.8911
1633.0,0.3823,0.1741,0.2043,6.5594
1634.0,0.9568,0.3488,5.7173,
1635.0,0.0687,0.0267,0.0341,0.9357
1636.0,1.2116,0.4541,1.7863,43.0102
1637.0,0.0812,0.0384,0.0405,
1638.0,0.3639,0.1989,0.4692,11.0866
1639.0,1.045,0.435,0.819,36.5212
1640.0,0.0658,0.0452,0.0398,0.6956
1641.0,1.2658,0.5454,0.6187,34.4727
1642.0,0.106,0.034,0.0518,1.2434
1643.0,0.543,0.2197,1.366,22.0821
1644.0,0.2146,0.0946,0.2171,
1645.0,1.4664,1.0059,2.7667,61.3679
1646.0,0.2184,0.0615,0.0743,5.0333
1647.0,,0.0493,0.0934,
1648.0,0.3457,0.12,0.1593,
1649.0,0.1259,0.0339,0.1002,1.6396
1650.0,0.2235,0.0501,0.1923,3.8297
1651.0,0.0711,0.0199,0.1059,1.235
1652.0,,0.0929,0.1349,4.184
1653.0,0.1296,0.0304,0.137,3.7451
1654.0,0.461,0.182,0.2916,11.8251
1655.0,,0.0826,0.2006,
1656.0,0.9179,0.374,1.0798,32.8455
1657.0,0.2218,0.0846,0.1324,
1658.0,1.541,0.7099,5.2296,87.2171
1659.0,2.7029,2.4084,9.0839,116.8192
1660.0,0.1162,0.0468,0.0881,3.1108
1661.0,0.5949,0.2547,0.2252,11.7361
1662.0,0.0804,0.0172,0.0288,0.7756
1663.0,0.3115,0.0721,0.2345,6.869
1664.0,0.0759,0.0424,0.0512,2.402
1665.0,1.194,1.1457,6.0944,
1666.0,2.0304,1.3333,,292.1159
1667.0,0.3193,0.1122,0.2036,4.4508
1668.0,0.8015,0.3932,2.4256,26.2454
1669.0,0.5467,0.217,0.1504,6.2443
1670.0,0.0275,0.0313,0.0441,1.1061
1671.0,1.3656,0.984,5.5794,47.9558
1672.0,0.3008,0.1351,0.1651,4.6059
1673.0,0.0199,0.0049,0.0097,0.2173
1674.0,0.1264,0.0549,0.0343,1.266
1675.0,0.2141,0.1031,0.1565,4.928
1676.0,1.1602,0.6632,2.0306,15.4103
1677.0,0.2899,0.1134,0.1968,8.4162
1678.0,,0.0603,0.0578,1.1537
1679.0,0.4199,0.1749,0.4052,23.1166
1680.0,0.1288,0.0466,0.1036,2.3841
1681.0,3.174,1.3919,1.9707,31.9952
1682.0,,0.0545,0.4073,1.1686
1683.0,0.2132,0.1103,0.1485,7.3346
1684.0,0.2015,0.0603,0.1781,3.2281
1685.0,1.3637,1.0394,,250.3196
1686.0,0.3518,0.1659,0.5779,
1687.0,0.9851,0.387,0.5954,17.2201
1688.0,0.369,0.1408,0.214,3.8262
1689.0,0.306,0.0753,0.3222,14.5449
1690.0,0.1318,0.031,0.0498,1.4357
1691.0,0.2083,0.0733,0.1794,5.3762
1692.0,0.2397,0.0621,0.2878,
1693.0,,,,
1694.0,0.1308,0.0391,0.0958,1.8917
1695.0,0.2414,0.0605,0.068,
1696.0,0.5891,0.1624,0.8392,16.6126
1697.0,0.0687,0.0147,0.0286,0.8037
1698.0,,0.008,0.0328,
1699.0,,,0.0329,
1700.0,0.4778,0.0938,0.7748,10.4424
1701.0,0.6089,0.3027,3.133,44.6923
1702.0,0.2203,0.0546,0.0645,6.1106
1703.0,0.0512,0.0082,0.0217,0.6685
1704.0,0.1649,0.048,0.163,6.0919
1705.0,,0.0096,0.0143,0.2513
1706.0,0.2829,0.0765,0.1087,
1707.0,0.0393,0.0068,0.0305,0.6154
1708.0,0.4973,0.1217,0.484,14.5835
1709.0,3.0942,0.4763,1.4248,0.3506
1710.0,0.1202,0.0258,0.0378,2.4029
1711.0,0.1373,0.0257,0.0659,1.9531
1712.0,1.2392,0.3573,0.8974,0.3659
1713.0,,0.0978,0.2813,
1714.0,0.4819,0.1271,0.2861,6.8007
1715.0,0.5776,0.1625,0.325,14.7703
1716.0,0.3296,0.0771,0.283,5.8365
1717.0,0.5556,0.1231,0.5115,13.309
1718.0,,0.0322,0.1306,1.3298
1719.0,0.1131,0.0276,0.0726,1.9312
1720.0,0.3042,0.0725,0.7801,15.4189
1721.0,0.0592,0.0121,0.0401,0.8007
1722.0,3.7775,1.6035,,132.897
1723.0,0.5739,0.158,0.3336,10.1661
1724.0,0.0818,0.0212,0.0709,1.9697
1725.0,0.458,0.1779,2.6467,17.8785
1726.0,,0.8771,,
1727.0,0.0695,0.0167,0.1239,1.2242
1728.0,0.0519,0.0125,0.0488,1.5473
1729.0,1.3013,0.3986,2.2046,35.9804
1730.0,0.3105,0.1049,1.1057,10.759
1731.0,,0.0331,0.1307,2.1239
1732.0,3.4516,1.5538,,241.9838
1733.0,0.0879,0.0152,0.0321,
1734.0,,0.0041,0.0072,
1735.0,,0.0086,0.0138,0.3211
1736.0,0.2425,0.0693,0.073,5.9022
1737.0,0.5747,0.156,2.8873,31.2464
1738.0,0.335,0.0925,0.3305,7.023
1739.0,0.0525,0.0065,0.0625,0.8389
1740.0,0.3275,0.0898,0.12,3.9456
1741.0,1.9478,0.6968,4.5842,54.7739
1742.0,0.3348,0.0532,0.2412,6.3448
1743.0,0.0783,0.0192,0.0334,1.0261
1744.0,0.3126,0.0784,0.4121,11.9011
1745.0,0.2751,0.0708,0.1658,5.6572
1746.0,0.363,0.1073,0.312,6.413
1747.0,0.129,0.0353,0.057,1.7091
1748.0,0.2767,0.0703,0.1262,3.6765
1749.0,0.1356,0.0303,0.2279,3.5386
1750.0,0.7094,0.177,0.4196,16.7847
1751.0,0.3452,0.107,0.6878,8.0146
1752.0,1.3447,0.855,,207.4064
1753.0,,,,
1754.0,0.7364,0.6597,,150.1949
1755.0,0.0915,0.0314,0.0722,1.2333
1756.0,0.1417,0.052,0.1553,4.9409
1757.0,,0.3463,2.8274,
1758.0,,0.0276,0.1104,3.1018
1759.0,0.4448,0.1409,0.2152,5.281
1760.0,0.2173,0.0697,0.26,4.7322
1761.0,0.1743,0.0774,0.6453,11.5435
1762.0,,0.1113,2.315,
1763.0,,,0.1438,
1764.0,0.4612,0.1529,0.633,9.3773
1765.0,0.1163,0.0461,0.1172,
1766.0,0.1053,0.0253,0.0701,1.4942
1767.0,0.5377,0.1651,0.208,7.1784
1768.0,0.7887,0.2347,1.316,19.7074
1769.0,0.1337,0.0495,0.0925,
1770.0,0.0846,0.0431,0.0839,2.8064
1771.0,0.1551,0.0552,0.2349,6.0497
1772.0,,0.0543,0.0651,4.664
1773.0,,0.1853,0.9997,
1774.0,0.6689,0.2175,3.6275,22.3378
1775.0,0.0632,0.0244,0.0915,1.0724
1776.0,0.1167,0.0395,0.1194,3.7555
1777.0,,0.0176,0.1187,2.0777
1778.0,,0.0304,0.0546,1.6343
1779.0,,0.0465,0.0566,1.363
1780.0,1.2795,0.2018,0.5281,15.7904
1781.0,0.7792,0.129,0.6562,12.4925
1782.0,1.0427,0.3652,1.9751,37.9734
1783.0,0.1095,0.0166,0.0458,0.994
1784.0,0.0547,0.0148,0.0119,0.4238
1785.0,0.163,0.0239,0.0645,3.1452
1786.0,,0.0264,0.1313,
1787.0,3.3733,0.9209,7.3873,
1788.0,0.3523,0.096,0.2509,5.3635
1789.0,,0.3064,0.7523,0.1666
1790.0,1.9935,0.477,5.2391,49.3321
1791.0,,,1.616,
1792.0,0.0517,0.0118,0.0636,9.3083
1793.0,0.3512,0.1078,1.3089,12.8745
1794.0,0.4894,0.1129,2.4638,36.6123
1795.0,2.6385,1.1097,,173.6792
1796.0,2.9491,,,116.845
1797.0,0.3355,0.1114,0.9383,9.0004
1798.0,,0.1609,0.7149,
1799.0,0.2141,0.0431,0.167,7.1135
1800.0,2.4922,1.3127,,538.0142
1801.0,,0.0268,0.3657,
1802.0,,0.0582,0.0788,
1803.0,0.0383,0.0121,0.1925,1.4961
1804.0,0.0306,0.0102,0.1031,1.9051
1805.0,0.4413,0.1463,0.2176,9.5794
1806.0,0.6747,0.2222,0.4404,14.1591
1807.0,0.9344,0.2527,1.913,27.5148
1808.0,0.1328,0.0184,0.1957,
1809.0,,0.0294,0.2119,
1810.0,,0.0465,0.0887,1.2897
1811.0,,0.0116,0.0401,
1812.0,,,0.039,
1813.0,1.0152,0.5179,3.7822,20.7192
1814.0,,0.1369,0.2122,5.4763
1815.0,,0.0156,,
1816.0,,0.0087,0.0367,1.5995
1817.0,0.2131,0.058,0.0745,1.707
1818.0,0.0467,0.009,0.0296,0.7479
1819.0,0.0972,0.0215,0.0262,1.6708
1820.0,0.251,0.053,0.2114,5.1896
1821.0,0.2774,0.1043,0.3436,7.7228
1822.0,0.0971,0.0311,0.0506,1.4447
1823.0,,0.0073,0.0083,
1824.0,0.0437,0.0531,0.2929,5.8865
1825.0,0.4953,0.138,0.2865,9.8576
1826.0,2.3905,0.8894,,1739.0918
1827.0,0.7388,0.1736,1.4573,12.3462
1828.0,,0.2778,0.4064,0.1013
1829.0,,0.1292,0.4061,10.6161
1830.0,3.3648,0.358,1.7583,0.3088
1831.0,,0.074,0.1326,
1832.0,,0.1353,3.6405,
1833.0,4.9529,0.7299,,342.3969
1834.0,0.2668,0.012,,18.5483
1835.0,0.065,0.0188,0.0406,0.965
1836.0,0.3865,0.0372,0.1274,
1837.0,,0.1495,,12.8745
1838.0,0.6565,0.5705,,56.9261
1839.0,1.9801,0.5742,4.6111,70.3385
1840.0,,0.3117,,
1841.0,,0.2332,0.575,12.2117
1842.0,1.6557,0.3262,1.8685,3.2517
1843.0,0.5373,0.1734,0.3469,8.4733
1844.0,,0.0211,0.053,1.3996
1845.0,0.1926,0.0498,0.0804,1.8117
1846.0,,0.0071,0.0123,
1847.0,,,0.0146,
1848.0,0.113,0.0201,0.0609,2.463
1849.0,0.311,0.075,0.1092,3.9803
1850.0,,0.0139,0.028,
1851.0,0.0762,0.0183,0.1631,1.0084
1852.0,,0.0613,0.2328,0.4056
1853.0,,0.0819,0.876,4.6648
1854.0,,,,
1855.0,3.0857,0.7091,5.3407,71.649
1856.0,,0.0314,0.1627,
1857.0,0.0674,0.018,0.1484,1.6858
1858.0,,0.0032,0.0133,0.25
1859.0,,0.58,0.9555,0.2517
1860.0,,0.0504,0.1042,2.3095
1861.0,0.1571,0.0101,0.1303,2.2545
1862.0,0.0679,0.0096,0.0383,0.8601
1863.0,0.5446,0.2354,4.18,33.3032
1864.0,0.2069,0.0551,0.1806,3.7606
1865.0,0.1922,0.0509,2.5537,14.5564
1866.0,0.0495,0.0237,0.0605,
1867.0,0.1344,0.0477,0.5122,4.4628
1868.0,,0.0267,0.211,4.3223
1869.0,0.3997,0.0771,0.5617,15.9794
1870.0,0.1499,0.0526,0.855,9.2792
1871.0,0.3144,0.0857,0.7967,7.9556
1872.0,0.0513,0.0096,0.0231,0.4764
1873.0,0.1238,0.0456,0.0981,1.7441
1874.0,,0.0053,0.034,0.3049
1875.0,0.0989,0.0104,0.0353,0.5399
1876.0,0.0592,0.0142,0.2127,7.4277
1877.0,,0.0226,0.0428,0.955
1878.0,0.0272,0.0065,0.0204,0.3449
1879.0,0.0476,0.0053,0.0329,1.0051
1880.0,,0.0055,0.4023,5.5418
1881.0,,0.0212,0.0497,
1882.0,,0.0142,0.0208,
1883.0,1.1802,0.3581,0.9417,14.3811
1884.0,0.0937,0.0175,0.0347,0.6823
1885.0,,0.1539,0.5385,
1886.0,0.334,0.096,1.0823,8.591
1887.0,,0.0109,0.0193,
1888.0,,0.0195,0.0505,1.8454
1889.0,,0.0345,0.0587,1.1907
1890.0,,0.0087,0.0174,0.2338
1891.0,0.1573,0.0237,0.0389,1.6625
1892.0,0.1058,0.0291,0.0781,
1893.0,0.1491,0.0428,0.0676,1.3839
1894.0,0.1367,0.0417,0.1014,1.8885
1895.0,,0.0133,0.036,0.4993
1896.0,0.9254,0.2436,0.3836,16.0505
1897.0,0.1876,0.0518,0.1899,2.1444
1898.0,0.4354,0.1077,0.2032,5.0443
1899.0,0.0942,0.0227,0.065,
1900.0,0.1124,0.0231,0.2335,1.4313
1901.0,2.6858,0.8561,,88.1822
1902.0,0.0225,0.0044,0.0113,0.1261
1903.0,,0.0102,0.0197,0.2606
1904.0,0.3334,0.1135,1.444,10.6897
1905.0,0.5068,0.1493,0.6046,10.7251
1906.0,,0.1822,0.2719,
1907.0,2.5023,0.722,1.6419,52.8311
1908.0,,0.0033,0.011,0.1583
1909.0,0.2166,0.0515,0.1092,3.8887
1910.0,0.0212,0.0049,0.0207,
1911.0,,0.0094,0.0272,0.5816
1912.0,0.0697,0.0176,0.0332,
1913.0,10.2797,,,895.0629
1914.0,,0.3378,,38.6221
1915.0,,,,
1916.0,0.1363,0.044,0.1955,2.3583
1917.0,0.0572,0.0117,0.0392,0.9565
1918.0,,0.0141,0.0231,
1919.0,,0.0055,0.0112,
1920.0,1.179,0.3402,0.7001,25.691
1921.0,2.6638,0.8854,6.7722,114.1267
1922.0,0.0686,0.0223,0.0587,1.526
1923.0,0.1326,0.034,0.4299,15.6734
1924.0,0.0372,0.0092,0.0188,
1925.0,0.0532,0.0141,0.0485,
1926.0,0.0885,0.0239,0.0413,0.6916
1927.0,,0.0248,0.0358,
1928.0,0.1777,0.0421,0.1416,3.1904
1929.0,0.3409,0.1018,0.5023,16.1546
1930.0,0.141,0.0358,0.1058,1.2928
1931.0,0.3639,0.0909,0.7946,7.807
1932.0,,0.0291,,
1933.0,,0.0064,,33.8948
1934.0,,0.2453,1.3053,39.7796
1935.0,,0.0125,0.1477,2.9717
1936.0,0.3614,0.1064,0.2193,5.2094
1937.0,0.1063,0.0316,0.0399,0.7627
1938.0,2.1318,0.5467,4.7164,64.6597
1939.0,,0.0124,0.0204,0.3816
1940.0,0.508,0.1382,0.3655,9.8533
1941.0,0.06,0.0072,0.0235,0.463
1942.0,3.2415,1.1209,12.0005,188.8145
1943.0,,0.0226,0.0505,0.8578
1944.0,3.3265,0.4975,2.227,0.1889
1945.0,0.0344,0.0076,0.0197,0.4868
1946.0,0.1639,0.0379,0.1043,
1947.0,0.6693,0.143,0.6418,18.0015
1948.0,0.0555,0.0075,0.0143,0.7571
1949.0,1.2312,0.297,3.7271,48.2061
1950.0,0.3058,0.071,0.2163,10.9254
1951.0,0.5404,0.1503,0.3283,8.4587
1952.0,0.1428,0.0301,0.0479,
1953.0,,0.0229,0.0369,0.4343
1954.0,1.3912,0.2585,1.7283,37.9631
1955.0,,0.0062,0.071,1.3304
1956.0,0.0396,0.0087,0.0097,0.5865
1957.0,1.2017,0.3522,2.3669,48.4559
1958.0,,0.0546,0.5551,5.3637
1959.0,0.4789,0.1087,0.3726,7.0376
1960.0,0.1829,0.0534,0.517,2.7586
1961.0,0.1075,0.0832,1.2896,1.4492
1962.0,,0.0981,0.5106,
1963.0,,0.1602,1.7806,15.2842
1964.0,0.2291,0.0616,0.1348,2.5546
1965.0,,0.0123,0.0182,0.4385
1966.0,,0.0214,0.0304,0.9147
1967.0,,0.0253,0.0442,
1968.0,0.1302,0.0299,0.0818,1.2732
1969.0,0.1599,0.0516,0.2285,4.7152
1970.0,0.0539,0.0085,,0.6632
1971.0,,0.0201,,2.0414
1972.0,,,0.032,
1973.0,0.4745,0.1028,0.3962,14.545
1974.0,,0.0102,0.0221,0.7578
1975.0,0.036,0.0082,0.0224,0.4352
1976.0,0.1741,0.0612,0.0792,2.3768
1977.0,0.7432,0.1955,1.1091,16.3552
1978.0,0.0528,0.0148,0.0214,
1979.0,0.0359,0.0156,0.0308,
1980.0,,0.0103,0.0424,0.3441
1981.0,,0.0598,0.7462,2.057
1982.0,,0.0194,0.0286,0.5205
1983.0,0.3675,0.0859,0.1056,5.238
1984.0,0.8269,0.2347,1.307,23.5812
1985.0,,0.0678,0.6697,
1986.0,,0.0762,0.1033,5.3178
1987.0,0.167,0.0364,0.2236,4.6994
1988.0,4.1103,0.4669,3.118,1.8528
1989.0,,0.0179,0.0232,
1990.0,1.2701,0.4143,5.8406,60.0471
1991.0,,0.0116,0.0259,
1992.0,0.2054,0.0255,0.2107,6.447
1993.0,0.2463,0.0326,0.1803,3.2807
1994.0,0.1161,0.0202,0.0396,1.9232
1995.0,,0.0028,0.0054,0.0406
1996.0,,0.0027,,0.1888
1997.0,0.0746,0.0116,0.147,1.1242
1998.0,,0.0086,0.027,0.7833
1999.0,0.1898,0.0509,0.1421,4.941
2000.0,0.1762,0.0387,0.0693,2.362
2001.0,,,0.0112,
2002.0,0.8106,0.2181,1.4932,25.8953
2003.0,,,,
2004.0,0.024,0.0161,0.0616,0.7601
2005.0,,0.0031,,
2006.0,0.7935,0.159,0.957,9.4398
2007.0,,0.0034,0.0498,0.2373
2008.0,,0.0377,0.0862,3.1006
2009.0,,0.0082,0.0185,0.3181
2010.0,,0.0074,0.0162,0.1874
2011.0,0.0098,0.0024,0.0057,
2012.0,,0.0271,0.0217,0.6217
2013.0,,0.0256,0.3304,0.8361
2014.0,0.0216,0.0041,0.0156,0.102
2015.0,,0.0045,0.0124,
2016.0,0.3459,0.0923,0.1254,6.2106
2017.0,,0.0117,0.0271,0.3061
2018.0,,0.0115,0.0336,0.1071
2019.0,0.2307,0.0651,0.5,5.2668
2020.0,,0.0161,0.0285,0.2288
2021.0,0.0362,0.0089,0.0276,0.3696
2022.0,0.3938,0.1627,0.8373,9.1274
2023.0,0.0281,0.0126,0.0336,0.359
2024.0,0.2432,0.0362,0.4048,4.1147
2025.0,0.865,0.2274,0.6597,16.5316
2026.0,0.5282,0.0715,1.3132,14.7996
2027.0,,0.3792,1.3785,16.3476
2028.0,2.2768,0.7077,,
2029.0,0.2226,0.0464,0.541,9.896
2030.0,,0.1151,1.3432,20.3338
2031.0,0.3782,0.0395,0.5665,10.1089
2032.0,0.4169,0.1215,0.1798,6.4962
2033.0,1.6744,0.4474,3.0353,57.8198
2034.0,0.2676,0.0428,0.2107,
2035.0,1.1023,0.3817,,40.8934
2036.0,0.3419,0.0781,0.2333,5.2733
2037.0,,0.0224,0.0657,
2038.0,0.0726,0.0145,0.0416,0.8416
2039.0,,0.4582,0.6132,0.3301
2040.0,0.1775,0.0486,0.0534,1.802
2041.0,0.0953,0.0191,0.129,1.638
2042.0,3.245,1.0126,6.0368,89.5744
2043.0,0.4154,0.1332,0.5499,13.5694
2044.0,,0.2271,0.8954,
2045.0,0.4043,0.0561,0.3785,
2046.0,,0.0582,0.058,1.153
2047.0,2.9174,,,
2048.0,,0.0206,0.0325,0.1441
2049.0,,0.0046,0.0088,
2050.0,,0.0227,0.0569,0.2666
2051.0,0.0535,0.0268,0.0297,0.3935
2052.0,0.5777,0.1794,0.3305,5.9749
2053.0,1.5427,0.4416,,
2054.0,,0.0079,0.0109,0.1356
2055.0,0.4985,0.2012,2.7137,20.0529
2056.0,,0.0103,0.0176,0.1151
2057.0,0.1496,0.051,0.3101,6.2813
2058.0,0.019,0.0079,0.0749,0.5921
2059.0,4.5347,1.1388,,157.8112
2060.0,0.1439,0.2683,3.2085,8.177
2061.0,,,,
2062.0,1.2306,0.2197,,65.914
2063.0,0.6098,0.7919,,34.789
2064.0,1.0581,0.3148,1.708,26.629
2065.0,0.2722,0.0665,0.9741,65.1166
2066.0,0.1061,0.0332,0.0907,1.336
2067.0,0.3621,0.0302,0.045,1.3389
2068.0,1.1585,0.2955,0.4197,10.6998
