YB,F8,F12,F24,F70
152.0,2.1434,0.4163,0.7968,33.8106
153.0,1.5237,0.5761,3.0418,49.3617
154.0,0.7247,0.4109,4.4425,77.0167
155.0,0.3519,0.0591,0.138,7.4248
156.0,2.0689,0.4863,3.4217,27.3116
157.0,1.3006,0.4988,2.8446,20.0749
158.0,0.3659,0.0868,0.4281,16.6459
159.0,0.9443,0.2969,0.9652,12.342
160.0,0.2352,0.087,0.5597,5.9153
161.0,0.1209,0.0804,0.1782,2.9548
162.0,3.6267,1.6212,12.5932,123.3921
163.0,5.9667,,,433.2568
164.0,0.0949,0.0305,0.0377,1.3735
165.0,0.5489,0.1906,0.4678,19.852
166.0,0.2501,0.1493,0.4833,17.4669
167.0,0.0889,0.0385,0.1549,5.573
168.0,0.5143,0.1781,0.8686,18.9991
169.0,0.4018,0.097,0.7227,14.7402
170.0,0.198,0.056,0.5327,
171.0,1.1134,0.3902,1.3745,40.705
172.0,,0.1707,0.1948,0.2764
173.0,0.2244,0.05,0.2316,4.9172
174.0,0.2491,0.0897,0.4122,10.196
175.0,2.5695,0.7207,2.5723,103.919
176.0,1.6827,0.4697,1.2891,26.1244
177.0,0.6697,0.1939,2.1075,16.385
178.0,,0.0536,0.0832,
179.0,0.0744,0.0254,0.0447,1.9076
180.0,0.5316,0.1821,5.1648,70.9744
181.0,0.6677,0.3708,2.3093,45.3982
182.0,0.1776,0.073,0.1265,4.1068
183.0,0.1927,0.0885,0.1101,1.8461
184.0,0.2448,0.0897,0.1676,2.4369
185.0,0.63,0.3411,4.8719,87.2855
186.0,3.2582,0.8526,1.9952,35.6794
187.0,0.1502,0.0919,0.479,5.7825
188.0,0.5868,0.1866,0.6075,
189.0,0.4396,0.0787,0.2232,4.2501
190.0,0.4274,0.2434,1.8573,43.3193
191.0,0.2069,0.0709,0.0957,4.3517
192.0,0.3279,0.1536,1.9841,18.6679
193.0,2.4021,0.7085,2.4765,0.8946
194.0,,0.0419,0.792,38.9408
195.0,1.4382,0.4873,,
196.0,0.5018,0.1112,1.9203,63.1197
197.0,0.2843,0.0876,0.6396,12.6975
198.0,0.7569,0.2859,3.0402,78.1823
199.0,0.2237,0.0594,0.1624,8.5183
200.0,0.0945,0.0524,0.0879,3.1658
201.0,1.5489,0.6062,2.6661,41.1043
202.0,0.5719,0.1138,0.5526,21.022
203.0,0.6368,0.1287,1.7819,30.9227
204.0,0.1997,0.0523,0.0948,4.4552
205.0,0.5671,0.1378,0.7377,21.7991
206.0,0.2787,0.166,0.6056,23.1493
207.0,0.1516,0.112,0.4719,
208.0,0.3326,0.0768,0.2774,9.9827
209.0,0.9019,0.2547,1.8687,39.4501
210.0,0.3477,0.0574,0.3899,5.7485
211.0,3.4504,1.2984,4.8218,45.0682
212.0,2.4078,0.9708,6.8496,87.0639
213.0,,,,
214.0,,0.0784,0.1786,8.5699
215.0,0.1388,0.0444,0.1635,5.4819
216.0,,0.2982,4.4015,
217.0,0.0976,0.0058,0.1096,1.1063
218.0,,0.1227,3.1647,1.1737
219.0,,0.1502,,59.9011
220.0,10.1389,,,266.1639
221.0,4.0317,,,171.6575
222.0,2.5343,,,72.946
223.0,0.1156,0.0685,0.1022,5.0467
224.0,4.3626,1.0576,6.1998,124.7207
225.0,2.8658,0.6072,2.6581,66.5704
226.0,0.1057,0.0308,0.0981,2.1368
227.0,0.1269,0.0192,0.161,3.9935
228.0,0.1475,0.1463,0.7852,4.4897
229.0,,,,168.6432
230.0,0.9666,0.1865,5.8536,910.176
231.0,3.5156,0.9108,1.5715,14.2226
232.0,0.5154,0.1571,0.2813,7.2528
233.0,0.1603,0.0408,0.1017,4.284
234.0,0.0804,0.0242,0.217,4.9737
235.0,0.3915,0.0731,0.7677,38.782
236.0,,0.4747,4.3975,
237.0,1.0844,0.1973,0.9932,31.7974
238.0,4.1185,0.6149,3.5599,1.115
239.0,0.8334,0.2055,0.4831,8.0121
240.0,,0.0481,0.219,0.7062
241.0,0.1725,0.0417,0.3217,6.5465
242.0,1.4041,0.6342,4.8079,
243.0,,0.0483,0.1249,0.8841
244.0,0.2429,0.0601,0.1442,5.3708
245.0,1.0677,0.3387,5.5818,35.5703
246.0,2.1073,0.6086,7.9373,42.1983
247.0,11.967,,,2538.2356
248.0,0.9222,0.1155,0.9476,33.6928
249.0,0.2428,0.1316,2.6076,8.6778
250.0,,0.0187,0.0566,1.9717
251.0,0.6977,0.152,2.1667,25.8821
252.0,15.9948,2.5819,,513.9896
253.0,3.4014,0.8127,,132.6295
254.0,0.3463,0.2721,1.7816,11.5457
255.0,0.3762,0.1236,0.3507,10.7409
256.0,0.4766,0.1011,0.3472,12.4929
257.0,2.016,0.6431,5.0687,64.1725
258.0,1.4413,0.3278,2.8104,23.9871
259.0,0.6403,0.2238,1.3153,13.1551
260.0,0.1692,0.0415,0.1162,6.4279
261.0,0.1631,0.061,0.2954,3.524
262.0,0.1226,0.0328,0.3954,8.936
263.0,0.1373,0.0264,0.0804,3.7849
264.0,,,,
265.0,3.4412,0.714,,68.9095
266.0,0.7694,0.1825,0.4603,1.0849
267.0,4.3149,1.2758,14.5836,31.0839
268.0,1.0068,0.1678,1.5858,39.2534
269.0,,0.0112,0.2581,12.5369
270.0,0.3602,0.0777,0.1203,10.6773
271.0,0.3821,0.0575,0.937,18.8883
272.0,5.7966,,14.003,216.647
273.0,,,,344.0814
274.0,,,,
275.0,0.1316,0.043,0.2614,4.7919
276.0,1.0467,0.2315,2.2748,130.6779
277.0,2.645,0.864,7.5132,116.6556
278.0,,,,
279.0,2.5404,1.4539,,61.8826
280.0,0.9728,1.0735,10.9417,82.3486
281.0,,0.5884,8.1271,157.2055
282.0,,0.1564,1.4088,632.4671
283.0,0.3134,0.5048,,2920.9326
284.0,0.1469,0.0316,0.0739,3.651
285.0,5.8879,,,166.8522
286.0,0.1326,0.0314,0.3217,9.073
287.0,,0.5792,,2909.1184
288.0,3.0342,1.1405,,7214.9764
289.0,,0.4209,,3466.6729
290.0,0.5379,0.0749,3.4372,25.0761
291.0,4.77,1.2208,,242.9909
292.0,,0.4139,,28.7955
293.0,2.8965,0.6793,1.7317,60.0477
294.0,0.1059,0.0113,0.1707,4.9399
295.0,,0.0538,0.4647,16.7695
296.0,0.0944,0.0057,0.1826,29.3445
297.0,,0.0068,0.1593,10.1639
298.0,0.1294,0.0264,0.1129,1.9148
299.0,0.8907,0.1949,0.3651,14.808
300.0,0.0936,0.0232,0.0557,2.8318
301.0,0.2551,0.0536,0.4664,13.0325
