YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
632.0,,-4.6291,0.0384,0.6687,0.3864,0.2829,2.4026,0.4113,5,5,5,5,0000,0,0000,1000,0
633.0,0.1445,0.063,0.021,0.328,0.0888,0.1444,1.9686,0.2535,5,5,5,5,0000,0,0000,0000,0
634.0,0.4509,0.1516,0.1518,0.4705,1.1586,0.1578,24.1058,0.2306,5,5,5,5,0000,0,0000,0000,0
635.0,0.0612,0.2037,0.014,0.6107,0.0744,0.2573,1.8118,0.3307,5,5,5,5,0000,0,0000,0000,0
636.0,0.0827,0.1996,0.0301,0.5398,0.0508,0.3611,1.0078,0.3833,5,5,5,5,0000,1,0000,0000,0
637.0,0.1854,0.6012,0.1098,0.5517,1.211,0.8414,,0.7033,5,5,5,5,0000,0,0000,0001,0
638.0,0.0628,0.5615,0.0154,0.5606,0.0506,0.4524,,0.6687,5,5,5,5,0000,0,0000,0001,0
639.0,0.1901,0.3507,0.0503,0.5182,0.1524,0.3132,2.5369,0.4245,5,5,5,5,0000,0,0000,0000,0
640.0,0.1462,0.4121,0.0076,0.645,,0.4884,3.3713,0.2218,5,5,5,5,0000,0,0010,0010,0
641.0,6.222,0.1968,,,,,197.8247,0.2184,5,0,0,5,0110,0,0000,0000,0
642.0,0.2319,0.3253,0.0225,0.8297,0.0969,0.4553,3.9249,0.2403,5,5,5,5,0000,1,0000,0000,0
643.0,0.3571,0.3879,0.1645,0.5632,2.2421,0.1867,8.4663,0.8115,5,5,5,5,0000,1,0000,0000,0
644.0,0.1409,0.597,0.0336,0.8002,0.3272,0.3224,2.4084,0.5265,5,5,5,5,0000,0,0000,0000,0
645.0,0.4857,0.1555,0.0715,0.1744,0.3153,0.0938,8.8006,0.2885,5,5,5,5,0000,0,0000,0000,0
646.0,0.249,0.8926,0.025,0.8225,0.3384,0.2228,6.9608,0.3381,5,5,5,5,0000,0,0000,0000,0
647.0,1.9766,0.2661,0.9829,0.4925,5.9561,0.3491,82.5445,0.4282,5,5,5,5,0000,1,0000,0000,0
648.0,0.5644,0.1057,0.1335,0.3385,1.5477,0.2048,16.3086,0.2034,5,5,5,5,0000,0,0000,0000,0
649.0,,0.6824,0.0536,0.7758,0.4749,0.7074,7.7928,0.7692,5,5,5,5,0000,0,0000,1000,0
650.0,9.1112,0.1101,,,,,1.8626,0.1512,5,0,0,5,0110,1,0000,0000,0
651.0,,0.1668,0.0919,0.3766,0.8695,0.1943,13.7261,0.5089,5,5,5,5,0000,0,0000,1000,0
652.0,1.1519,0.2836,0.3175,0.3911,4.625,0.3271,33.1109,0.1942,5,5,5,5,0000,1,0000,0000,0
653.0,1.0322,0.1256,,0.2464,3.0454,0.2421,85.3494,0.1862,5,5,5,5,0000,0,0000,0100,0
654.0,1.5031,0.2496,0.4075,0.3416,3.8817,0.229,62.2095,0.3761,5,5,5,5,0000,0,0000,0000,0
655.0,,0.2016,0.1112,0.3531,2.1163,0.4414,19.9253,0.4883,5,5,5,5,0000,0,0000,1000,0
656.0,0.3562,0.0744,0.1623,0.3128,0.4108,0.154,2.7431,0.1941,5,5,5,5,0000,0,0000,0000,0
657.0,0.8247,0.1901,0.2239,0.2347,0.7651,0.0901,25.0701,0.1885,5,5,5,5,0000,0,0000,0000,0
658.0,2.8927,0.0634,0.9273,0.5317,,,320.5723,0.0927,5,5,0,5,0010,1,0000,0000,0
659.0,0.3552,1.2175,0.0456,1.2136,0.1067,1.1346,9.8885,0.2229,5,5,5,5,0000,0,0000,0000,0
660.0,,0.2698,,0.2235,0.4822,0.1361,35.8358,0.477,5,5,5,5,0000,0,0000,1100,0
661.0,,1.0169,,1.0958,,1.0462,,1.1369,5,5,5,5,0000,0,0000,1111,0
662.0,0.6477,0.1128,0.1576,0.234,1.5956,0.1057,16.408,0.1908,5,5,5,5,0000,0,0000,0000,0
663.0,1.0121,0.2571,0.2314,0.1722,1.8134,0.0426,63.7477,0.1061,5,5,5,5,0000,1,0000,0000,0
664.0,0.7159,0.3048,0.3508,0.2201,1.894,0.0797,14.3977,0.2425,5,5,5,5,0000,0,0000,0000,0
665.0,3.1351,0.6567,0.5432,0.7804,4.3014,0.5289,,0.3335,5,5,5,5,0000,1,0000,0001,0
666.0,3.7165,0.2246,0.8653,0.2007,7.2331,0.0898,151.6217,0.1793,5,5,5,5,0000,0,0000,0000,0
667.0,1.9546,0.1282,0.3257,0.3614,1.0786,0.1913,33.6354,0.3824,5,5,5,5,0000,0,0000,0000,0
668.0,0.618,0.4847,0.1715,0.4307,0.3069,0.3517,4.7968,0.4152,5,5,5,5,0000,0,0000,0000,0
669.0,,0.2597,0.4977,0.3349,4.6613,0.2264,,0.2731,5,5,5,5,0000,0,0001,1001,0
670.0,0.1693,0.8959,0.0873,0.3708,0.9912,0.162,9.2246,0.551,5,5,5,5,0000,0,0000,0000,0
671.0,6.8877,0.1648,,,,,1045.3354,0.0936,5,0,0,5,0110,1,0000,0000,0
672.0,0.572,0.4641,0.6775,0.2348,11.4901,0.1809,23.2402,0.2426,5,5,5,5,0000,0,0000,0000,0
673.0,,0.2465,0.0496,0.2165,0.1996,0.1663,0.734,0.1861,5,5,5,5,0000,0,0000,1000,0
674.0,0.9139,0.1435,0.2646,0.1479,3.109,0.0877,35.5532,0.0351,5,5,5,5,0000,0,0000,0000,0
675.0,0.7326,0.507,0.1859,0.2476,1.195,0.098,,0.1307,5,5,5,5,0000,0,0000,0001,0
676.0,1.2904,0.1412,0.3408,0.1726,0.5371,0.1371,26.2985,0.1419,5,5,5,5,0000,0,0000,0000,0
677.0,0.1579,0.358,0.0796,0.3732,0.2801,0.2941,4.8498,0.258,5,5,5,5,0000,0,0000,0000,0
678.0,0.2391,0.5499,0.0972,0.3783,0.3651,0.0887,6.4989,0.1782,5,5,5,5,0000,0,0000,0000,0
679.0,,0.2606,,0.3536,0.0906,0.186,2.463,0.2648,5,5,5,5,0000,0,0000,1100,0
680.0,,0.8195,0.4073,0.3972,2.7399,0.2178,,0.9731,5,5,5,5,0000,0,0000,1001,0
681.0,0.2728,0.0712,0.072,0.3974,0.4334,0.1562,11.6878,0.1366,5,5,5,5,0000,0,0000,0000,0
682.0,1.4087,0.0992,0.367,0.3624,3.2441,0.1362,41.2177,0.1711,5,5,5,5,0000,0,0000,0000,0
683.0,0.3435,0.3709,0.0746,0.4886,0.2394,0.3056,6.939,0.2446,5,5,5,5,0000,0,0000,0000,0
684.0,,1.4617,0.2952,0.9171,2.4686,0.435,,0.9625,5,5,5,5,0000,0,0000,1001,0
685.0,1.0472,0.1025,0.2673,0.2296,1.3498,0.1082,34.5695,0.1442,5,5,5,5,0000,1,0000,0000,0
686.0,0.397,0.3722,0.0736,0.418,1.941,0.3015,125.071,0.8083,5,5,5,5,0000,0,0000,0000,0
687.0,2.8047,0.4744,,,,,153.8332,0.556,5,0,0,5,0110,0,0000,0000,0
688.0,0.6375,0.2513,0.2081,0.0373,1.407,0.0148,26.7612,0.033,5,5,5,5,0000,0,0000,0000,0
689.0,2.2202,0.1344,0.5757,0.2568,0.9454,0.1826,30.2936,0.2026,6,6,6,6,0000,1,0000,0000,0
690.0,,0.3859,1.328,0.6957,,,,0.4272,6,6,0,6,0010,1,0000,1001,0
691.0,14.4774,0.0816,,,,,3289.123,0.1065,6,0,0,6,0110,1,0000,0000,0
692.0,,1.6085,,,,,1034.9001,1.645,6,0,0,6,0110,1,1000,1000,0
693.0,0.7344,0.2386,0.1085,0.5221,1.258,0.1594,21.0191,0.3977,6,4,6,6,0000,0,0000,0000,0
694.0,0.7064,0.7284,0.1089,0.843,1.4094,0.4427,40.6813,0.6495,6,6,6,6,0000,1,0000,0000,0
695.0,,2.0251,,,,,484.3878,2.3847,6,0,0,6,0110,0,1000,1000,0
696.0,0.0904,0.1639,0.0571,0.3355,0.0822,0.3604,2.0984,0.3147,6,6,6,6,0000,0,0000,0000,0
697.0,,0.4742,0.8202,0.4386,,,,0.3436,6,6,0,6,0010,0,0000,1011,0
698.0,0.2663,0.1683,0.0605,0.3656,0.4891,0.2085,6.4757,0.1827,6,6,6,6,0000,0,0000,0000,0
699.0,0.5744,0.1255,0.202,0.5795,2.3253,0.34,70.6561,0.224,6,6,6,6,0000,1,0000,0000,0
700.0,0.2316,0.1579,0.0494,0.4614,0.334,0.2195,11.4534,0.2325,6,6,6,6,0000,0,0000,0000,0
701.0,0.1164,0.1165,0.0232,0.3422,0.1377,0.2167,5.5821,0.2174,6,6,6,6,0000,0,0000,0000,0
702.0,1.7916,0.0771,0.6275,0.1393,6.5048,0.0357,132.3603,0.0613,6,6,6,6,0000,0,0000,0000,0
703.0,3.1971,0.2338,1.6974,0.165,9.6832,0.0623,141.7892,0.1631,6,6,6,6,0000,0,0000,0000,0
704.0,0.5949,0.0608,0.1698,0.3269,0.7686,0.175,11.924,0.1651,6,6,6,6,0000,1,0000,0000,0
705.0,0.9075,0.1726,0.3498,0.4075,0.7301,0.2536,5.2679,0.4265,6,6,6,6,0000,0,0000,0000,0
706.0,0.4864,0.4622,0.1728,0.1541,6.7504,0.187,,0.2567,6,6,6,6,0000,0,0000,0001,0
707.0,1.0833,0.1509,0.4389,0.247,1.0724,0.153,12.1097,0.1793,6,6,6,6,0000,0,0000,0000,0
708.0,5.6949,0.1892,1.8387,0.4559,,,108.9854,0.2162,6,6,0,6,0010,0,0000,0000,0
709.0,1.2695,0.2967,0.7029,0.3137,2.4448,0.1741,20.9668,0.2237,6,6,6,6,0000,0,0000,0000,0
710.0,0.6379,0.0928,0.2145,0.3439,0.7064,0.2309,17.6879,0.2674,6,6,6,6,0000,0,0000,0000,0
711.0,,1.1847,0.0696,1.337,1.5123,1.509,100.0331,1.5037,6,6,6,6,0000,0,1000,1000,0
712.0,0.1595,0.3265,0.0357,0.3935,0.2679,0.2705,3.4745,0.3106,6,6,6,6,0000,0,0000,0000,0
713.0,0.6368,0.045,0.3676,0.2631,0.7872,0.1443,2.6402,0.2349,6,6,6,6,0000,0,0000,0000,0
714.0,0.1827,0.3838,0.0699,0.3838,0.8524,0.2153,27.5343,0.1025,6,6,6,6,0000,0,0000,0000,0
715.0,2.0226,0.1617,0.7152,0.5028,,,86.9401,0.4353,6,6,0,4,0010,0,0000,0000,0
716.0,,,0.8432,0.4069,,,1499.6643,0.1235,0,6,0,6,1010,0,0000,0000,0
717.0,4.6824,0.0378,1.067,0.5396,5.6276,0.2268,2.6095,0.1506,6,6,6,6,0000,1,0000,0000,0
718.0,,0.7818,0.0281,0.8644,0.0546,0.7738,1.1317,0.8283,6,6,6,6,0000,0,0000,1000,0
719.0,2.1051,0.0499,0.6186,0.4186,1.8819,0.1554,0.2166,0.6227,6,6,6,6,0000,1,0000,0000,0
720.0,0.3978,0.1308,0.1138,0.1538,0.5075,0.0658,14.0738,0.076,6,6,6,6,0000,0,0000,0000,0
721.0,0.362,0.1405,0.0437,0.8003,,0.5096,,0.328,6,6,6,6,0000,1,0010,0011,0
722.0,0.3162,0.3295,0.0885,0.515,0.5524,0.1753,18.7086,0.1773,6,6,6,6,0000,0,0000,0000,0
723.0,0.2737,0.1481,0.1004,0.4217,2.7901,0.103,72.3224,0.1336,6,6,6,6,0000,0,0000,0000,0
724.0,0.1083,0.0917,0.0389,0.3296,0.0525,0.2115,1.486,0.2722,6,6,6,6,0000,0,0000,0000,0
725.0,0.6577,0.1261,0.1741,0.315,1.1048,0.1595,24.2886,0.1366,6,6,6,6,0000,0,0000,0000,0
726.0,0.7936,0.1336,0.584,0.3909,6.5118,0.2394,62.9652,0.1578,6,6,6,6,0000,1,0000,0000,0
727.0,0.1819,0.245,0.0591,0.5013,0.1799,0.4027,5.1112,0.2731,6,6,6,6,0000,0,0000,0000,0
728.0,0.0933,0.2262,0.027,0.5307,0.065,0.3628,2.6005,0.1988,6,6,6,6,0000,0,0000,0000,0
729.0,0.396,0.1956,0.0687,0.3832,0.5336,0.1486,15.3223,0.3091,6,6,6,6,0000,0,0000,0000,0
730.0,1.8056,0.111,0.5816,0.392,4.3878,0.286,10.0558,0.278,6,6,6,6,0000,1,0000,0000,0
731.0,,1.5431,,2.2338,,2.4245,1.8201,1.437,6,6,6,6,0000,1,0000,1110,0
732.0,0.5877,0.2922,0.1547,0.4512,0.1555,0.4063,7.2323,0.3669,6,6,6,6,0000,1,0000,0000,0
733.0,3.5421,0.5079,0.5596,0.3449,1.3098,0.4318,40.789,0.1658,6,6,6,6,0000,0,0000,0000,0
734.0,0.7405,0.4127,,0.4184,1.7324,0.3906,,0.2828,6,6,6,6,0000,0,0000,0101,0
735.0,,0.3334,0.0737,0.3821,1.1965,0.3316,11.8186,0.3257,6,6,6,6,0000,1,0000,1000,0
736.0,,0.1756,0.2623,0.1802,2.2439,0.1753,38.2886,0.6411,6,6,6,6,0000,0,0000,1000,0
737.0,5.3595,0.2148,1.2735,0.3711,,,259.1789,0.0872,6,6,0,6,0010,1,0000,0000,0
738.0,0.3322,0.4118,0.0815,0.28,0.2727,0.1499,7.387,0.1501,6,6,6,6,0000,0,0000,0000,0
739.0,0.51,0.1724,0.2469,0.2527,1.9159,0.1851,3.359,0.1928,6,6,6,6,0000,1,0000,0000,0
740.0,0.452,0.3338,0.1645,0.4535,2.0953,0.3229,71.1323,0.2286,6,6,6,6,0000,1,0000,0000,0
741.0,0.2749,0.3981,0.0907,0.5666,0.4932,0.3261,17.6517,0.3499,6,6,6,6,0000,0,0000,0000,0
742.0,0.7256,0.2412,0.0847,0.4343,,0.6101,33.5259,0.4867,6,6,6,6,0000,0,0010,0010,0
743.0,,0.5064,0.0248,0.5209,,,,0.4773,6,6,0,6,0010,0,1010,1011,0
744.0,,0.3139,,0.9391,,,,0.7109,6,6,0,6,0010,0,0000,1101,0
745.0,0.8762,0.388,0.2263,0.2521,1.4266,0.1971,44.7458,0.2773,6,6,6,6,0000,0,0000,0000,0
746.0,,0.7071,0.2754,0.576,0.467,0.4612,18.5707,0.6437,6,6,6,6,0000,0,0000,1000,0
747.0,0.1709,0.388,0.0203,0.5631,0.1339,0.3211,3.8589,0.6264,6,6,6,6,0000,1,0000,0000,0
748.0,0.6408,0.2941,0.0613,0.2279,0.217,0.14,13.7109,0.1373,6,6,6,6,0000,0,0000,0000,0
749.0,1.1999,1.0362,0.1743,0.3743,3.5002,0.1758,,0.1202,6,6,6,6,0000,0,0001,0001,0
750.0,0.0694,0.0904,0.0225,0.4053,0.0392,0.2891,1.0311,0.2165,6,6,6,6,0000,0,0000,0000,0
751.0,0.8305,0.5338,0.1302,0.5166,1.0566,0.5687,14.1142,0.5981,6,6,6,6,0000,0,0000,0000,0
752.0,1.1614,0.0843,0.1792,0.2699,1.8247,0.1811,30.3753,0.1139,6,6,6,6,0000,1,0000,0000,0
753.0,1.8779,0.1398,0.8472,0.5595,,,378.9799,0.242,6,6,0,6,0010,1,0000,0000,0
754.0,0.1126,0.0991,0.0244,0.4389,0.1058,0.2811,22.2071,0.1293,6,6,6,6,0000,1,0000,0000,0
755.0,2.3747,0.6885,0.7953,0.8255,1.4646,0.4334,,0.66,6,6,6,6,0000,0,0000,0001,0
756.0,16.1802,0.0856,2.2238,0.3676,,,657.2856,0.1605,6,6,0,6,0010,1,0000,0000,0
757.0,0.9063,0.1423,0.2857,0.1833,0.5705,0.0913,16.6166,0.08,6,6,6,6,0000,0,0000,0000,0
758.0,0.4785,0.3618,0.2229,0.0526,1.0245,0.0904,27.7516,0.0431,6,6,6,6,0000,0,0000,0000,0
759.0,0.1875,0.1604,0.0432,0.3922,0.1861,0.2208,4.7041,0.2096,6,6,6,6,0000,0,0000,0000,0
760.0,0.0845,1.6612,0.0525,0.5665,0.1231,0.3766,5.4099,0.1408,6,6,6,6,0000,0,0000,0000,0
761.0,0.7337,0.1647,0.2607,0.1234,0.4903,0.1051,12.0993,0.0768,6,6,6,6,0000,1,0000,0000,0
762.0,0.5432,0.1695,0.1329,0.1008,0.8035,0.1003,31.2426,0.0809,6,6,6,6,0000,0,0000,0000,0
763.0,0.8112,0.1301,0.3116,0.2364,2.7442,0.0991,54.5752,0.13,6,6,6,6,0000,0,0000,0000,0
764.0,,2.5375,0.0513,0.2115,0.4422,0.1528,0.821,0.2427,6,6,6,6,0000,0,0000,1000,0
765.0,0.5947,0.1022,0.1406,0.3115,0.5117,0.2026,14.1636,0.1782,6,6,6,6,0000,0,0000,0000,0
766.0,0.6988,0.2039,0.1677,0.1356,0.3318,0.0543,11.8223,0.107,6,6,6,6,0000,1,0000,0000,0
767.0,3.9996,0.1733,1.1424,0.5659,,,352.4918,0.1351,6,6,0,6,0010,0,0000,0000,0
768.0,0.2629,0.0621,0.055,0.3499,0.2735,0.1939,5.2747,0.1394,6,6,6,6,0000,0,0000,0000,0
769.0,9.8564,0.1613,,-0.1825,,,6.6979,0.1281,6,6,0,6,0010,1,0000,0100,0
770.0,0.4696,0.1751,0.1705,0.2001,0.2493,0.1456,2.9279,0.3364,6,6,6,6,0000,0,0000,0000,0
771.0,,0.0474,0.6562,0.3322,1.4572,0.196,0.5726,0.4134,6,6,6,6,0000,1,1000,0000,0
772.0,1.4408,0.1453,0.2748,0.2765,2.6107,0.107,28.1473,0.2696,6,6,6,6,0000,0,0000,0000,0
773.0,,0.3649,0.2099,0.548,1.1134,0.4753,13.1073,1.5136,6,6,6,6,0000,0,0000,1000,0
774.0,0.2802,0.8356,0.0344,1.3665,,0.6545,,0.1194,6,6,6,6,0000,0,0010,0011,0
775.0,0.2948,0.3393,0.0573,0.338,0.35,0.1653,12.3651,0.1474,6,6,6,6,0000,0,0000,0000,0
776.0,3.0129,0.2705,1.1649,0.2183,3.1132,0.1532,43.3807,0.1878,6,6,6,6,0000,0,0000,0000,0
777.0,0.4187,0.0968,0.1194,0.2433,0.3494,0.1109,10.2288,0.1051,6,6,6,6,0000,0,0000,0000,0
778.0,0.1578,0.1909,0.0347,0.3492,0.2906,0.1864,7.5,0.1712,6,6,6,6,0000,0,0000,0000,0
779.0,0.3182,0.0907,0.0481,0.1008,0.2852,0.1381,8.2075,0.0695,6,6,6,6,0000,0,0000,0000,0
780.0,,0.2306,0.0244,0.2835,,0.1996,2.0325,0.4143,6,6,6,6,0000,0,0000,1010,0
781.0,0.5902,0.1785,0.1479,0.1312,0.3048,0.0956,7.3519,0.0566,6,6,6,6,0000,0,0000,0000,0
782.0,1.3739,0.3742,0.5305,0.3659,7.6667,0.0937,,0.0689,6,6,6,6,0000,0,0000,0001,0
783.0,1.5836,0.2154,0.6247,0.6847,1.3304,0.389,29.8165,0.4854,6,6,6,6,0000,0,0000,0000,0
784.0,0.7378,0.1707,0.1927,0.2318,0.7295,0.1401,32.7114,0.1354,6,6,6,6,0000,0,0000,0000,0
785.0,0.1012,0.3561,0.011,0.4126,0.047,0.239,1.6887,0.5324,6,6,6,6,0000,0,0000,0000,0
786.0,0.6604,0.0781,0.1344,0.1696,0.5482,0.0604,15.8072,0.0778,6,6,6,6,0000,0,0000,0000,0
787.0,,0.8845,0.1045,0.2035,1.6499,0.1588,3.3305,0.6347,6,6,6,6,0000,0,0000,1000,0
788.0,1.6839,0.3167,0.5154,0.2018,1.957,0.0557,26.3779,0.1257,6,6,6,6,0000,1,0000,0000,0
789.0,0.1276,0.0612,0.0303,0.3368,0.1178,0.2743,2.8765,0.1976,6,6,6,6,0000,0,0000,0000,0
790.0,0.8689,0.2387,0.2541,0.2,0.4709,0.1218,19.7929,0.0958,6,6,6,6,0000,0,0000,0000,0
791.0,0.3405,0.4196,0.039,0.3408,0.1389,0.3118,6.2739,0.1663,6,6,6,6,0000,1,0000,0000,0
792.0,0.2658,1.0796,0.1006,0.2282,0.7715,0.1069,18.5609,0.0815,6,6,6,6,0000,1,0000,0000,0
793.0,0.6131,0.0384,0.0604,0.1748,1.0199,0.1129,24.8115,0.147,6,6,6,6,0000,1,0000,0000,0
794.0,1.1264,0.15,0.1827,0.2492,1.5362,0.0745,23.8931,0.2852,6,6,6,6,0000,0,0000,0000,0
795.0,0.3787,0.3294,0.1488,0.263,0.2961,0.2025,12.1697,0.1478,6,6,6,6,0000,0,0000,0000,0
796.0,1.8965,0.1473,0.737,0.1374,3.4857,0.0514,85.7902,0.0993,6,6,6,6,0000,1,0000,0000,0
797.0,1.3331,0.3097,0.7508,0.3707,,,19.9799,0.2993,6,6,0,6,0010,0,0000,0000,0
798.0,0.5581,0.2454,0.1259,0.359,1.2316,0.1559,14.7112,0.2214,6,6,6,6,0000,0,0000,0000,0
799.0,2.601,0.235,,,,,,0.3608,6,0,0,6,0110,0,0000,0001,0
800.0,0.1167,0.4445,0.0497,0.4923,0.1761,0.33,,0.4591,6,6,6,6,0000,0,0000,0001,0
801.0,1.1136,0.4042,1.1149,0.4391,,,28.3728,0.3586,6,6,0,6,0010,0,0000,0000,0
802.0,0.0668,0.1509,0.0188,0.3725,0.0852,0.1813,2.3437,0.2707,6,6,6,6,0000,0,0000,0000,0
803.0,,0.5151,0.2559,0.3777,3.7008,0.3469,4.7081,0.4372,6,6,6,6,0000,0,0000,1000,0
804.0,0.4266,0.2779,0.1461,0.1785,0.4553,0.0991,17.6864,0.0935,6,6,6,6,0000,0,0000,0000,0
805.0,,0.2993,0.0406,0.5324,0.0781,0.2018,0.596,0.378,6,6,6,6,0000,0,0000,1000,0
806.0,2.1453,0.0774,0.5511,0.3808,1.61,0.0844,33.6853,0.1693,6,6,6,6,0000,0,0000,0000,0
807.0,0.8053,0.1095,0.1682,0.3503,0.8043,0.1792,7.1001,0.2436,6,6,6,6,0000,0,0000,0000,0
808.0,3.8161,0.0382,0.8935,0.5048,3.7644,0.1855,1.5035,0.3284,6,6,6,6,0000,1,0000,0000,0
809.0,3.6204,0.2662,0.9562,0.4499,2.6943,0.3458,72.6242,0.1915,6,6,6,6,0000,1,0000,0000,0
810.0,5.2585,0.2215,1.0893,0.4226,,,146.4731,0.2502,6,6,0,6,0010,1,0000,0000,0
811.0,,0.822,0.1327,0.1944,1.3738,0.2729,,0.2257,6,6,6,6,0000,0,0000,1001,0
812.0,0.1694,0.3164,0.0587,0.3632,0.095,0.2563,5.129,0.3068,6,6,6,6,0000,0,0000,0000,0
813.0,0.9609,0.575,0.4335,0.1134,4.6319,0.1819,,0.152,6,6,6,6,0000,0,0000,0001,0
814.0,0.6412,0.0954,0.1251,0.2842,1.3768,0.0955,14.4936,0.2,6,6,6,6,0000,0,0000,0000,0
815.0,2.7245,0.1081,0.541,0.3113,3.4088,0.1276,56.3079,0.2318,6,6,6,6,0000,0,0000,0000,0
816.0,,0.4341,0.3718,0.2038,3.7542,0.0748,47.5269,0.6811,6,6,6,6,0000,0,1000,1000,0
817.0,0.9646,0.1267,0.1771,0.3056,0.92,0.1614,22.2305,0.2193,6,6,6,6,0000,0,0000,0000,0
818.0,0.706,0.1577,0.1731,0.2928,0.3366,0.2005,12.6068,0.1745,6,6,6,6,0000,0,0000,0000,0
819.0,1.1518,0.0963,0.2446,0.2294,1.0621,0.0817,14.5707,0.1245,6,6,6,6,0000,0,0000,0000,0
820.0,0.3293,0.3171,0.0296,0.4499,0.105,0.6157,2.7905,0.2765,6,6,6,6,0000,0,0000,0000,0
821.0,0.3562,0.3823,0.1343,0.357,0.2071,0.2379,4.2453,0.4345,6,6,6,6,0000,1,0000,0000,0
822.0,1.0531,0.3419,0.3353,0.3743,0.5105,0.1124,10.3343,0.1918,6,6,6,6,0000,0,0000,0000,0
823.0,0.7688,0.1303,0.2662,0.2603,0.6993,0.1193,10.6996,0.2453,6,6,6,6,0000,0,0000,0000,0
824.0,0.7132,0.0145,0.2097,0.2281,0.5863,0.1376,10.8056,0.1313,6,6,6,6,0000,0,0000,0000,0
825.0,0.7798,0.3259,0.2247,0.1623,0.361,0.4516,16.9274,0.1613,6,6,6,6,0000,0,0000,0000,0
826.0,0.6444,0.3867,0.2221,0.1731,0.578,0.1143,21.3121,0.0893,6,6,6,6,0000,0,0000,0000,0
827.0,0.2703,0.2348,0.0671,0.327,0.4534,0.1642,3.6473,0.2519,6,6,6,6,0000,0,0000,0000,0
828.0,0.1215,0.2535,0.0355,0.3606,0.0704,0.3162,2.5433,0.3228,6,6,6,6,0000,0,0000,0000,0
829.0,0.6831,0.1245,0.1515,0.1426,0.5771,0.0943,25.3252,0.0933,6,6,6,6,0000,0,0000,0000,0
830.0,0.5367,0.5641,0.0797,0.1433,0.6861,0.1425,14.5291,0.0349,6,6,6,6,0000,0,0000,0000,0
831.0,0.1322,0.2829,0.0261,0.4857,,0.1361,9.3828,0.1444,6,6,6,6,0000,0,0010,0000,0
832.0,1.2073,0.2362,0.6427,0.322,7.1334,0.2727,36.534,0.1451,6,6,6,6,0000,1,0000,0000,0
833.0,1.9548,0.0621,0.5808,0.1569,3.0767,0.0979,32.862,0.0836,6,6,6,6,0000,0,0000,0000,0
834.0,3.5717,0.1042,1.1291,0.1138,,,174.3007,0.07,6,6,0,6,0010,1,0000,0000,0
835.0,0.3818,0.4027,0.1749,0.2351,0.9239,0.1048,,0.1197,6,6,6,6,0000,0,0000,0001,0
836.0,1.035,0.3716,,0.5728,1.0132,0.9177,15.5203,0.1412,6,6,6,6,0000,0,0100,0100,0
837.0,1.6774,0.2799,0.3419,0.3888,2.1379,0.1412,55.9895,0.1377,6,6,6,6,0000,0,0000,0000,0
838.0,0.1532,1.051,0.0281,0.3793,0.3798,0.1037,,0.2302,6,6,6,6,0000,0,0001,0001,0
839.0,0.344,0.5692,0.3542,0.2528,4.8238,0.1684,12.5023,0.2419,6,6,6,6,0000,0,0000,0000,0
840.0,1.9072,1.6154,0.7711,0.3024,,,256.8797,0.1113,6,6,0,6,0010,0,0000,0000,0
841.0,0.7982,0.3816,0.178,0.3903,0.7449,0.2076,62.8475,0.1252,6,6,6,6,0000,0,0000,0000,0
842.0,1.1452,0.1837,0.4649,0.1903,2.2503,0.3984,29.8622,0.2143,6,6,6,6,0000,1,0000,0000,0
843.0,,0.5461,0.3843,0.2183,0.8077,0.175,0.5294,0.8794,6,6,6,6,0000,0,0000,1000,0
844.0,1.0948,0.2075,0.3139,0.3193,1.6885,0.177,36.0284,0.2472,6,6,6,6,0000,0,0000,0000,0
845.0,,-8.6579,0.0677,0.4186,0.2399,0.2487,8.8748,0.253,6,6,6,6,0000,0,0000,1000,0
846.0,1.6345,0.2278,0.6565,0.4506,7.1494,0.3522,,0.1825,6,6,6,6,0000,0,0000,0001,0
847.0,0.3524,0.2194,0.0965,0.3418,0.7235,0.1917,19.9938,0.1105,6,6,6,6,0000,0,0000,0000,0
848.0,3.2253,0.1633,0.5904,0.5079,7.7765,0.3281,140.0297,0.3463,6,6,6,6,0000,0,0000,0000,0
849.0,,1.2551,1.1288,0.2005,,,21.1159,0.4983,6,6,0,6,0010,0,0000,1000,0
850.0,2.4176,0.3322,1.5303,0.0683,13.0908,0.0304,97.0762,0.0956,6,6,6,6,0000,0,0000,0000,0
851.0,0.2832,0.5072,0.2304,0.2506,2.865,0.1463,1.6177,0.5923,6,6,6,6,0000,1,0000,0000,0
852.0,0.2195,0.2005,0.0413,0.2808,0.0892,0.134,8.3369,0.0533,6,6,6,6,0000,0,0000,0000,0
853.0,1.3708,0.126,0.2252,0.2958,3.26,0.1431,77.5827,0.5754,6,6,6,6,0000,1,0000,0000,0
854.0,4.4174,0.5376,,,,,150.059,0.7932,6,0,0,6,0110,0,0000,0000,0
855.0,0.3852,0.1813,0.0731,0.2269,1.897,0.2728,26.9968,0.3133,6,4,6,6,0000,0,0000,0000,0
856.0,4.3963,0.308,,,,,370.5586,0.1076,6,0,0,6,0110,1,0000,0000,0
857.0,0.5099,0.0745,0.1149,0.2769,2.1152,0.1916,26.9487,0.1672,6,6,6,6,0000,0,0000,0000,0
