YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
56.0,0.5867,0.1417,0.2396,0.4879,2.3465,0.6394,31.0379,0.1485,5,5,5,5,0000,0,0000,0000,0
57.0,0.4247,0.3482,0.4994,0.385,,,23.1318,0.0894,5,5,0,5,0010,1,0000,0000,0
58.0,2.8229,0.1034,0.9581,0.3204,,,93.6783,0.0888,5,5,0,5,0010,1,0000,0000,0
59.0,,0.4866,,0.3078,0.4746,1.0515,,0.3472,5,5,5,5,0000,0,0000,1101,0
60.0,,1.4514,0.0964,0.8728,0.2133,0.9158,6.1965,0.6907,5,5,5,5,0000,0,1000,1000,0
61.0,0.4358,0.1696,0.0758,0.4072,0.5743,0.2364,23.0441,0.187,5,5,5,5,0000,1,0000,0000,0
62.0,1.6206,0.0575,0.5644,0.7163,1.6964,0.1725,0.7644,0.351,5,5,5,5,0000,0,0000,0000,0
63.0,4.0789,0.046,0.9451,0.3283,,,324.4093,0.0536,5,5,0,5,0010,0,0000,0000,0
64.0,0.0929,0.4606,0.0347,0.3516,0.1952,0.2552,3.4026,0.2084,5,5,5,5,0000,1,0000,0000,0
65.0,1.6155,0.102,0.265,0.3236,2.8762,0.1361,51.6563,0.1285,5,5,5,5,0000,0,0000,0000,0
66.0,0.3109,0.5,0.0837,0.3157,0.1283,0.4584,8.8236,0.2048,5,5,5,5,0000,0,0000,0000,0
67.0,0.2906,0.4065,0.0871,0.62,0.6253,0.3112,17.7356,0.1876,5,5,5,4,0000,0,0000,0000,0
68.0,0.3107,0.1568,0.0787,0.2219,0.3711,0.164,10.6852,0.1998,5,5,5,5,0000,1,0000,0000,0
69.0,0.8459,0.115,0.2975,0.409,4.8355,0.226,49.5086,0.2784,5,5,5,5,0000,1,0000,0000,0
70.0,1.4868,0.8077,0.3311,0.8891,1.8316,0.7112,,0.4239,5,5,5,5,0000,1,0000,0001,0
71.0,0.3492,0.2629,0.0706,0.7313,0.5441,0.3469,27.7879,0.2736,5,5,5,5,0000,1,0000,0000,0
72.0,0.4319,0.2427,0.0689,0.5272,0.7161,0.3398,16.3089,0.1341,5,5,5,5,0000,0,0000,0000,0
73.0,0.1852,0.2743,0.0264,0.3202,0.3144,0.2392,10.3276,0.1943,5,5,5,5,0000,0,0000,0000,0
74.0,0.8141,0.1029,0.1798,0.164,0.6384,0.2392,10.29,0.1154,5,5,5,5,0000,0,0000,0000,0
75.0,5.9886,0.1475,,,,,581.4933,0.1467,5,0,0,5,0110,1,0000,0000,0
76.0,0.5605,0.3261,0.156,0.5336,0.6149,0.273,10.7464,0.6192,5,5,5,5,0000,0,0000,0000,0
77.0,0.4464,0.3029,0.1653,0.3986,0.2531,0.2821,3.5146,0.3495,5,5,5,5,0000,1,0000,0000,0
78.0,0.8013,0.1807,0.2139,0.4116,0.362,0.2992,9.1764,0.3116,5,5,5,5,0000,0,0000,0000,0
79.0,0.2197,0.2849,0.056,0.3056,0.0998,0.2938,2.2474,0.3738,5,5,5,5,0000,0,0000,0000,0
80.0,0.0981,0.1741,0.0297,0.295,0.0721,0.2435,3.6008,0.1016,5,5,5,5,0000,0,0000,0000,0
81.0,,0.4652,0.037,0.8465,0.1534,0.4017,,0.4864,5,5,5,5,0000,0,0000,1001,0
82.0,0.1193,0.2135,0.0227,0.233,0.0668,0.1812,3.4126,0.12,5,5,5,5,0000,0,0000,0000,0
83.0,0.184,0.3997,0.0674,0.2813,0.281,0.2444,5.8074,0.2219,5,5,5,5,0000,0,0000,0000,0
84.0,0.2138,0.3018,0.0237,0.6689,0.3044,0.7692,17.593,0.2144,5,5,5,5,0000,0,0000,0000,0
85.0,0.6868,0.4249,0.2979,0.5185,4.0302,0.3174,63.519,0.1199,5,5,5,5,0000,0,0000,0000,0
86.0,1.0386,0.211,0.2652,0.2254,1.0454,0.031,15.1524,0.046,5,5,5,5,0000,0,0000,0000,0
87.0,1.2625,0.223,0.4278,0.2335,3.8981,0.1294,64.636,0.1199,5,5,5,5,0000,1,0000,0000,0
88.0,,0.3313,0.1062,0.2827,0.5386,0.1079,14.8088,0.3476,5,5,5,5,0000,0,0000,1000,0
89.0,0.1914,0.4591,0.0778,0.4839,0.2849,0.3559,8.3864,0.2869,5,5,5,5,0000,0,0000,0000,0
90.0,1.1849,0.1164,0.3297,0.1126,6.0005,0.0905,17.9728,0.086,5,5,5,5,0000,0,0000,0000,1
91.0,1.2758,0.1239,0.423,0.2138,6.6284,0.077,214.0387,0.102,5,5,5,5,0000,1,0000,0000,0
92.0,1.1868,0.2928,0.9874,0.1857,,,57.9838,0.2025,5,5,0,5,0010,1,0000,0000,0
93.0,1.0519,0.5883,0.3411,0.9237,1.7859,0.7869,26.2472,0.4942,5,5,5,5,0000,1,0000,0000,0
94.0,0.6169,0.0444,0.2072,0.4522,0.7528,0.2615,7.264,0.1381,5,5,5,5,0000,0,0000,0000,0
95.0,0.1796,0.1242,0.0329,0.535,0.1524,0.2675,5.5018,0.0696,5,5,5,5,0000,0,0000,0000,0
96.0,6.5932,0.2826,2.0602,0.3692,,,158.2781,0.2557,5,5,0,5,0010,1,0000,0000,0
97.0,,0.0501,0.082,0.2461,,,9.6395,0.3814,5,5,0,5,0010,0,0000,1000,0
98.0,0.1016,0.7346,0.0321,0.4804,0.0571,0.2135,,-1.6613,5,5,5,5,0000,0,0000,0001,0
99.0,0.239,0.2085,0.05,0.5302,0.1225,0.3118,6.8563,0.2237,5,5,5,5,0000,0,0000,0000,0
100.0,1.7582,0.2794,0.5044,0.4359,2.3102,0.2529,62.0914,0.1378,5,5,5,5,0000,0,0000,0000,0
101.0,,0.6218,,1.141,,0.7701,,0.9015,5,5,5,5,0000,1,0000,1111,0
102.0,0.3182,0.251,0.1049,0.5778,0.6329,0.4409,14.5943,0.2946,5,5,5,5,0000,0,0000,0000,0
103.0,0.1862,0.3409,0.0182,1.0823,0.0706,0.556,4.9376,0.3509,5,5,5,5,0000,0,0000,0000,0
104.0,0.2631,0.1902,0.0716,0.3252,0.1818,0.2071,6.3291,0.1309,5,5,5,5,0000,1,0000,0000,0
105.0,,0.0311,0.1588,0.466,0.1877,0.2709,0.1062,0.7227,5,5,5,5,0000,0,1000,0000,0
106.0,0.3012,0.5115,0.0973,0.3963,0.2327,0.2906,7.2799,0.099,5,5,5,5,0000,1,0000,0000,0
107.0,0.6013,0.2987,0.7283,1.4755,,,63.1078,0.2904,5,5,0,5,0010,0,0010,0010,0
108.0,,0.0926,0.0912,0.5817,0.0913,0.1062,0.9681,1.4414,5,5,5,5,0000,0,1000,1000,0
109.0,0.1776,0.1278,0.0437,0.4513,0.272,0.2047,0.4618,1.004,5,5,5,5,0000,0,0000,0000,0
110.0,1.0082,0.2876,0.3187,0.2707,0.5475,0.1795,12.6338,0.2556,5,5,5,5,0000,0,0000,0000,0
111.0,5.2329,0.018,0.6577,0.6366,4.5653,0.2901,2.1307,0.3279,5,5,5,5,0000,0,0000,0000,0
112.0,0.3166,0.6093,0.0529,0.5565,0.1857,0.5269,7.9348,0.3354,5,5,5,5,0000,1,0000,0000,0
113.0,0.142,0.3025,0.0197,0.5635,0.0756,0.2288,3.7964,0.1142,5,5,5,5,0000,0,0000,0000,0
114.0,0.1295,0.2108,0.0273,0.3689,0.1093,0.239,3.5765,0.2396,5,5,5,5,0000,0,0000,0000,0
115.0,0.3034,0.2944,0.0804,0.4425,0.397,0.262,7.7142,0.2568,5,5,5,5,0000,1,0000,0000,0
116.0,0.2955,0.0655,0.0059,0.2181,0.0983,0.0942,,,5,5,5,0,0001,0,0000,0000,0
117.0,0.1012,0.6082,0.0093,0.7983,0.0147,0.5956,2.0351,0.3723,5,5,5,5,0000,1,0000,0000,0
118.0,0.1891,0.509,0.0326,0.4461,0.0583,0.3011,2.5206,0.3906,5,5,5,5,0000,0,0000,0000,0
119.0,0.8535,0.2802,0.3316,0.3283,2.2659,0.2181,25.9645,0.151,5,5,5,5,0000,1,0000,0000,0
120.0,0.2139,0.6372,0.1824,0.606,1.3988,0.2592,14.0103,0.2863,5,5,5,5,0000,1,0000,0000,0
121.0,0.2742,0.5882,0.0705,0.54,0.1328,0.3462,4.4648,0.2284,5,5,5,5,0000,0,0000,0000,0
122.0,0.3505,0.2597,0.0584,0.6768,0.5759,0.4688,15.6009,0.6418,5,5,5,5,0000,1,0000,0000,0
123.0,0.4482,0.2437,0.1093,0.5637,0.8533,0.2522,11.8988,0.1253,5,5,5,5,0000,0,0000,0000,0
124.0,3.0937,0.0536,0.8859,0.5354,3.8604,0.2462,1.0493,0.2289,5,5,5,5,0000,0,0000,0000,0
125.0,0.5335,1.9538,0.242,0.2192,2.7376,0.0449,35.1133,0.1157,5,5,5,5,0000,0,0000,0000,0
126.0,0.7438,0.5348,0.3776,0.4978,1.9594,0.8932,,0.497,5,5,5,5,0000,0,0000,0001,0
127.0,0.4626,0.1815,0.1043,0.4465,2.5297,0.2265,25.1442,0.0884,5,5,5,5,0000,0,0000,0000,0
128.0,0.1875,0.4585,0.0468,0.5652,0.1103,0.4268,3.6298,0.2996,5,5,5,5,0000,0,0000,0000,0
129.0,0.3588,0.0662,0.0903,0.3511,0.3258,0.2302,1.7688,0.2623,5,5,5,5,0000,0,0000,0000,0
130.0,0.2778,0.1269,0.0643,0.2662,0.1638,0.0792,5.4607,0.2105,5,5,5,5,0000,0,0000,0000,0
