[I 2026-07-14 16:55:56,109] A new study created in RDB with name: my-study
[I 2026-07-14 16:58:44,989] Trial 12 finished with value: -0.6493045086919345 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.0011654741014207478, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.76937389429193e-05, 'reg_lambda': 0.7588546444438196, 'gamma': 0.005595566976011962}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:58:47,523] Trial 13 finished with value: -0.6546838718936457 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.0066697642474119, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.01630858350881741, 'reg_lambda': 1.7378363759777238e-06, 'gamma': 4.013876309451522}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:20,386] Trial 14 finished with value: -0.7382072013241041 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.00014667600794203257, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 9.82266593862612e-05, 'reg_lambda': 2.917592651399722, 'gamma': 0.02673370807618356}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:20,489] Trial 15 finished with value: -0.664955437325999 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.011191648304087486, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 4.949571263273273e-06, 'reg_lambda': 8.426076185527708e-06, 'gamma': 1.1697656689036774e-05}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:28,227] Trial 16 finished with value: -0.6839196685769574 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.03549535781686305, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 8.009979867960687e-05, 'reg_lambda': 2.2808086067158158, 'gamma': 7.50067826155711e-06}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:28,457] Trial 17 finished with value: -0.7828511025020446 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0133286669627161, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 63.97951403363543, 'reg_lambda': 0.0004673374799643802, 'gamma': 59.053898287604376}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:32,388] Trial 18 finished with value: -0.7357291729969841 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.013094422229279553, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.005061063863148977, 'reg_lambda': 0.00035848321927932385, 'gamma': 48.377897162151065}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:36,167] Trial 19 finished with value: -0.7596776372480256 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.021945105707294698, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.007338970152023355, 'reg_lambda': 0.0003937545424207107, 'gamma': 69.23911386364517}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:40,004] Trial 20 finished with value: -0.7900559281079973 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.018823972780778686, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002163612416579573, 'reg_lambda': 0.00022348375266803344, 'gamma': 94.20587275491992}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:59:43,621] Trial 21 finished with value: -0.7913973345232271 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.022412304461070388, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0014092902125336605, 'reg_lambda': 0.0002416138027808112, 'gamma': 92.37196109079967}. Best is trial 21 with value: -0.7913973345232271.
