[I 2026-07-14 21:25:48,924] A new study created in RDB with name: my-study
[I 2026-07-14 21:26:36,255] Trial 12 finished with value: -0.2435979039489569 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.021181694990195513, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.014950055160656301, 'reg_lambda': 35.72713442975319, 'gamma': 11.392150890678122}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:45,954] Trial 13 finished with value: -0.24097536899901045 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.00016441301131495654, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002457494343359986, 'reg_lambda': 1.4391307416197233e-06, 'gamma': 0.0003514626094199461}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:49,643] Trial 14 finished with value: -0.24367463743219248 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.0007083192936373574, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.02389907072145434, 'reg_lambda': 0.0026614611196257537, 'gamma': 59.446365256058634}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:49,758] Trial 15 finished with value: -0.24368639719650548 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.2924997541031573, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.008878201484352677, 'reg_lambda': 0.0002724862158576652, 'gamma': 28.287655656298817}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:55,810] Trial 16 finished with value: -0.4137711199084063 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.15368708680001675, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3411011612102246e-05, 'reg_lambda': 2.3067070426801, 'gamma': 0.0018413977156513076}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:26:58,330] Trial 17 finished with value: -0.24285800969548793 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.002057187522860466, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.369388343218506e-06, 'reg_lambda': 0.002584866641530219, 'gamma': 1.8453054186272867e-06}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:27:03,527] Trial 18 finished with value: -0.24367742365522377 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0017979033537541536, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.007296782640447004, 'reg_lambda': 0.004919656126697828, 'gamma': 0.00018147737316829006}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:27:09,840] Trial 19 finished with value: -0.2426486580170635 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.002356426384138006, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.002128145742045253, 'reg_lambda': 0.002159526527865175, 'gamma': 2.8839051923266528e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:27:29,994] Trial 20 finished with value: -0.24575380415767764 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0021655620008637034, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.870397781181472, 'reg_lambda': 0.0012542480403829634, 'gamma': 2.3458264421617026e-05}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:27:55,243] Trial 21 finished with value: -0.30600147214517637 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.002252305402145764, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.7683723636467442, 'reg_lambda': 0.00286948896678794, 'gamma': 2.5145954110207606e-05}. Best is trial 16 with value: -0.4137711199084063.
