[I 2026-07-14 16:26:02,835] A new study created in RDB with name: my-study
[I 2026-07-14 16:26:08,529] Trial 0 finished with value: -0.24375331574487125 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.0004670454273812918, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.002349837497413519, 'reg_lambda': 5.9332006541969795e-06, 'gamma': 2.450614061404503}. Best is trial 0 with value: -0.24375331574487125.
[I 2026-07-14 16:26:15,907] Trial 1 finished with value: -0.23912838828192773 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.0005022376015194104, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.03462578006708588, 'reg_lambda': 16.658024650098305, 'gamma': 0.07451809810607418}. Best is trial 0 with value: -0.24375331574487125.
[I 2026-07-14 16:26:18,878] Trial 2 finished with value: -0.24054541125552262 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.005118865493970338, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.004379457733884483, 'reg_lambda': 8.848390559196787e-06, 'gamma': 0.8726199826812534}. Best is trial 0 with value: -0.24375331574487125.
[I 2026-07-14 16:26:19,204] Trial 3 finished with value: -0.27875742635842643 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.20631182180449914, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.2711528556638249, 'reg_lambda': 0.0010624830202990375, 'gamma': 0.06524956119659428}. Best is trial 3 with value: -0.27875742635842643.
[I 2026-07-14 16:26:29,622] Trial 6 finished with value: -0.25023226024413636 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.002150317049305507, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.9057444323536175e-05, 'reg_lambda': 0.00016420541032050682, 'gamma': 1.8175532429601944e-05}. Best is trial 3 with value: -0.27875742635842643.
[I 2026-07-14 16:26:36,518] Trial 5 finished with value: -0.2428315585564692 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.0014484568286744234, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0011817720612144758, 'reg_lambda': 0.00014797342380572147, 'gamma': 0.0008855961131539132}. Best is trial 3 with value: -0.27875742635842643.
[I 2026-07-14 16:26:41,370] Trial 4 finished with value: -0.3228812025832554 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.02062849136062714, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0659098712124118, 'reg_lambda': 0.00012078620675616651, 'gamma': 0.002169224650625302}. Best is trial 4 with value: -0.3228812025832554.
[I 2026-07-14 16:26:45,256] Trial 7 finished with value: -0.24123459273479755 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.00042847147734529246, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 6.130023557564559e-06, 'reg_lambda': 7.748198641082925e-05, 'gamma': 0.001008532235811002}. Best is trial 4 with value: -0.3228812025832554.
[I 2026-07-14 16:26:47,865] Trial 8 finished with value: -0.23804388315267813 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.0007296304055654695, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0029024368513125517, 'reg_lambda': 55.66896236173458, 'gamma': 0.1076232626753968}. Best is trial 4 with value: -0.3228812025832554.
[I 2026-07-14 16:26:48,911] Trial 9 finished with value: -0.24362452840564547 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.31475159679816117, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 93.9480692913067, 'reg_lambda': 0.008138444894540436, 'gamma': 80.97579680127474}. Best is trial 4 with value: -0.3228812025832554.
