[I 2026-07-14 18:31:07,096] A new study created in RDB with name: my-study
[I 2026-07-14 18:32:40,455] Trial 12 finished with value: -0.2779130718356684 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.33848451276212765, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3521165704995444e-06, 'reg_lambda': 9.006700779845675, 'gamma': 1.0428502559689312e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:32:48,621] Trial 13 finished with value: -0.057072648847714735 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.0005688774261283937, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0026644164282296928, 'reg_lambda': 0.18911307189943632, 'gamma': 0.010818213675398192}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:32:50,402] Trial 14 finished with value: -0.057729010704839365 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.000672207271418831, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 8.618275480160488, 'reg_lambda': 5.954059080417263, 'gamma': 0.007959717398066902}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:32:50,618] Trial 15 finished with value: -0.07639345798141142 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.22473172733970806, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0070065145090086245, 'reg_lambda': 1.0509081239072226e-06, 'gamma': 2.0336650445857965e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:32:53,222] Trial 16 finished with value: -0.05830317703537121 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.0006891005001624814, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 17.879344317151883, 'reg_lambda': 0.15637744599242964, 'gamma': 39.10250466524175}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:32:53,568] Trial 17 finished with value: -0.08967836813638333 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.3950427905349434, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.010204455533399211, 'reg_lambda': 1.6217759708895407, 'gamma': 0.12124907365026603}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:33:11,781] Trial 18 finished with value: -0.2220105662127715 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.462733793004613, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3468992008057217e-06, 'reg_lambda': 0.4973116891030866, 'gamma': 2.3842068198044944e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:33:29,988] Trial 19 finished with value: -0.21965385698541914 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.4286418246542588, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 2.6159957379443428e-06, 'reg_lambda': 0.6069011745465661, 'gamma': 1.2076853689742352e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:33:51,098] Trial 20 finished with value: -0.1794609135214264 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.2291050157756405, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2782824305251737e-06, 'reg_lambda': 1.3855930512550074, 'gamma': 1.1875242421171041e-06}. Best is trial 12 with value: -0.2779130718356684.
[I 2026-07-14 18:34:05,504] Trial 21 finished with value: -0.2011925758006754 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.3943660253707556, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1012247071271743e-06, 'reg_lambda': 1.8223859304175265, 'gamma': 1.4054997347950957e-06}. Best is trial 12 with value: -0.2779130718356684.
