[I 2026-07-14 16:42:25,616] A new study created in RDB with name: my-study
[I 2026-07-14 16:43:59,689] Trial 12 finished with value: -0.21055016749602345 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.0012642505949286482, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 9.131723510482562e-06, 'reg_lambda': 0.04733060600117181, 'gamma': 41.49719116378686}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:43:59,864] Trial 13 finished with value: -0.17937303353000078 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.06446390780364489, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.2056830112320645e-06, 'reg_lambda': 0.06269289452493663, 'gamma': 2.59969318503229}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:44:15,193] Trial 14 finished with value: -0.2078331426528644 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.000232597569846654, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.10397960063921863, 'reg_lambda': 0.00965382335229869, 'gamma': 1.1849396859248881e-05}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:44:38,572] Trial 15 finished with value: -0.178701517244538 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.007569086187433553, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0033346742519463793, 'reg_lambda': 0.11157334866401213, 'gamma': 6.336160142679027e-06}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:44:40,332] Trial 16 finished with value: -0.18293768977363714 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.13902313767644164, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 17.368056292593856, 'reg_lambda': 0.0014567403735264925, 'gamma': 1.9115228106597701}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:44:43,261] Trial 17 finished with value: -0.19877967387249312 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.0025706987936838436, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.07889093935760386, 'reg_lambda': 1.1750473403182938e-06, 'gamma': 1.1773491158589449e-06}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:45:25,998] Trial 18 finished with value: -0.19367812122165398 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.05796245532352861, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.09358515888894095, 'reg_lambda': 1.0572412001726776e-06, 'gamma': 0.00021349158473658422}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:45:27,620] Trial 19 finished with value: -0.17507153241024245 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.07415315468305451, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.2020712034012696, 'reg_lambda': 1.077874364909533e-06, 'gamma': 0.00024217072748852073}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:45:30,320] Trial 20 finished with value: -0.17810725945330447 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.09960765012375766, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.08272340562001126, 'reg_lambda': 1.0491336529680406e-06, 'gamma': 0.0004758960842092342}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:45:58,887] Trial 21 finished with value: -0.19826470081864753 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.09919234680549721, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.1680735651171971, 'reg_lambda': 0.001058411186150223, 'gamma': 0.00044092667376558706}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:46:44,391] Trial 22 finished with value: -0.1999384945512137 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.10693425417962475, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.28896756932638396, 'reg_lambda': 0.0009360922904922231, 'gamma': 0.0009297880184461538}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:47:24,622] Trial 23 finished with value: -0.19441367242846935 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.08575292266233073, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.2718412680288348, 'reg_lambda': 1.1475132205638632e-06, 'gamma': 0.0014253420273842592}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:48:04,191] Trial 24 finished with value: -0.18456171085383047 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.03235221180108671, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.4440597200251368, 'reg_lambda': 0.9355676430536389, 'gamma': 0.0020014027339221767}. Best is trial 8 with value: -0.23910411933643497.
