[I 2026-07-14 20:00:18,939] A new study created in RDB with name: my-study
[I 2026-07-14 20:01:43,232] Trial 12 finished with value: -0.08092083752420325 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.038606810904016305, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.10382763776749906, 'reg_lambda': 0.0009537459743917199, 'gamma': 0.040231624319305506}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:46,051] Trial 13 finished with value: -0.05539834627124461 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.00855599528654628, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.014113417340833727, 'reg_lambda': 0.024997561509531783, 'gamma': 1.5314012168116549}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:51,489] Trial 14 finished with value: -0.05651230913351815 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.002447893110802253, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.03043245730568557, 'reg_lambda': 3.473499516483841, 'gamma': 2.614261147574865e-05}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:52,733] Trial 15 finished with value: -0.055421191012634714 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.00014223214346469062, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.74514393092472e-06, 'reg_lambda': 1.1536083869835369e-05, 'gamma': 98.95429136847808}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:56,313] Trial 16 finished with value: -0.05540368839134262 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.00193513870992693, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 89.68990201567613, 'reg_lambda': 6.720729578903949e-06, 'gamma': 5.350874856620605e-05}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:58,219] Trial 17 finished with value: -0.05540640369143134 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.010469915759634733, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0017484084895674626, 'reg_lambda': 4.08099074590293, 'gamma': 52.33703190828714}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:06,294] Trial 18 finished with value: -0.08279245603001371 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.023018130189335156, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 8.975433967791843e-06, 'reg_lambda': 0.6709683049980065, 'gamma': 2.056738717021902e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:08,999] Trial 19 finished with value: -0.05539308619951908 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.036943731976450594, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 7.426640248493285e-06, 'reg_lambda': 0.9664878112568991, 'gamma': 11.147427943687061}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:14,823] Trial 20 finished with value: -0.07044294499797531 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.02842385860469307, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 5.802630535311147e-06, 'reg_lambda': 1.1856816692086674, 'gamma': 1.3690880705025193e-06}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:02:20,568] Trial 21 finished with value: -0.09957968416407688 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.15510584826290263, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 7.63527334159716e-06, 'reg_lambda': 1.5507423514074645, 'gamma': 1.4178378737994365e-06}. Best is trial 5 with value: -0.11436360435469548.
