[I 2026-07-14 16:32:32,219] A new study created in RDB with name: my-study
[I 2026-07-14 16:35:47,439] Trial 12 finished with value: -0.36212522598421665 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.00012602647859037908, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.02243076393898378, 'reg_lambda': 0.08729523667354712, 'gamma': 2.707160827487844e-06}. Best is trial 12 with value: -0.36212522598421665.
[I 2026-07-14 16:35:52,045] Trial 13 finished with value: -0.1480950861685292 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.023192687676433763, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.023035780343108787, 'reg_lambda': 0.03594344327211176, 'gamma': 2.4738847573280642}. Best is trial 12 with value: -0.36212522598421665.
[I 2026-07-14 16:35:55,411] Trial 14 finished with value: -0.3711654546265053 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.002027542693861666, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 6.663138735711837, 'reg_lambda': 8.502520637116705, 'gamma': 97.48556630844256}. Best is trial 14 with value: -0.3711654546265053.
[I 2026-07-14 16:36:05,695] Trial 15 finished with value: -0.2671229364068284 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.00036472598659536355, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0016401477274824074, 'reg_lambda': 0.00429539185945992, 'gamma': 1.703415792971445e-05}. Best is trial 14 with value: -0.3711654546265053.
[I 2026-07-14 16:36:13,199] Trial 16 finished with value: -0.13343954565320243 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1350, 'learning_rate': 0.2255986615036688, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 4.271531451257225e-05, 'reg_lambda': 0.11112871338344835, 'gamma': 0.0009851570677695091}. Best is trial 14 with value: -0.3711654546265053.
[I 2026-07-14 16:36:20,695] Trial 17 finished with value: -0.3300664058098098 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.00014393381401706692, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 38.82115673435582, 'reg_lambda': 1.117753670071233e-06, 'gamma': 0.001585814455376205}. Best is trial 14 with value: -0.3711654546265053.
[I 2026-07-14 16:36:23,415] Trial 18 finished with value: -0.3837304472527355 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.00010159785672142123, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 88.24606071071531, 'reg_lambda': 3.984399871155716e-06, 'gamma': 58.71136609748285}. Best is trial 18 with value: -0.3837304472527355.
[I 2026-07-14 16:36:26,338] Trial 19 finished with value: -0.3782308086381786 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.0001006959991752615, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0010177799311012665, 'reg_lambda': 1.0665482449211144e-06, 'gamma': 73.6472334909809}. Best is trial 18 with value: -0.3837304472527355.
[I 2026-07-14 16:36:30,086] Trial 20 finished with value: -0.3659238168085182 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.00010859594884186977, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0011717875257532505, 'reg_lambda': 4.737402508090785e-06, 'gamma': 0.0002658289942925354}. Best is trial 18 with value: -0.3837304472527355.
[I 2026-07-14 16:36:35,521] Trial 21 finished with value: -0.3503194971519023 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.0001512958597323415, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0007272539469139882, 'reg_lambda': 1.793932375382033e-06, 'gamma': 0.0034076438743679454}. Best is trial 18 with value: -0.3837304472527355.
