[I 2026-07-14 16:32:32,199] A new study created in RDB with name: my-study
[I 2026-07-14 16:33:41,713] Trial 12 finished with value: -0.1603595505378709 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1350, 'learning_rate': 0.004820356540939174, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.005983071852178257, 'reg_lambda': 2.892892622956275e-06, 'gamma': 6.671777749543155}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:57,808] Trial 13 finished with value: -0.16288793539546195 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.001123476388532618, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 12.997435541269956, 'reg_lambda': 0.002063612553150387, 'gamma': 4.8917652148291535e-06}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:34:01,827] Trial 14 finished with value: -0.18622865090966562 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.02163074604647371, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1999192820822956e-06, 'reg_lambda': 1.4241708352505706e-06, 'gamma': 17.22234449627357}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:34:06,779] Trial 15 finished with value: -0.2064408050317692 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.004397461177188466, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 48.04868195278434, 'reg_lambda': 0.00036579109553013217, 'gamma': 7.514477898276863}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:34:11,149] Trial 16 finished with value: -0.25956923441311114 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.0007297931622917804, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.480237044286163, 'reg_lambda': 0.8984952767991985, 'gamma': 4.308970147967584}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:34:16,140] Trial 17 finished with value: -0.37634403618591616 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.00010500177750061582, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.164014702025491e-06, 'reg_lambda': 19.848862359360446, 'gamma': 96.13885464798784}. Best is trial 17 with value: -0.37634403618591616.
[I 2026-07-14 16:34:17,866] Trial 18 finished with value: -0.38379483697174016 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00018258267608135237, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.5310203520909335, 'reg_lambda': 0.0008928457894917718, 'gamma': 0.001204004760576523}. Best is trial 18 with value: -0.38379483697174016.
[I 2026-07-14 16:34:19,307] Trial 19 finished with value: -0.38583729775068876 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0001922877493570363, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1356485627299882, 'reg_lambda': 0.0007825139146489237, 'gamma': 0.0008314574696526205}. Best is trial 19 with value: -0.38583729775068876.
[I 2026-07-14 16:34:21,529] Trial 20 finished with value: -0.38366968820346803 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00018349520142694025, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4518288280070368, 'reg_lambda': 0.0008004671916606499, 'gamma': 0.0006902432711656487}. Best is trial 19 with value: -0.38583729775068876.
[I 2026-07-14 16:34:23,963] Trial 21 finished with value: -0.3868398804153802 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00010402981868621252, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.4135854158970182, 'reg_lambda': 0.0007902384998778897, 'gamma': 0.000592769462631635}. Best is trial 21 with value: -0.3868398804153802.
[I 2026-07-14 16:34:26,812] Trial 22 finished with value: -0.3856892761726433 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.00010047277643579018, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.563150015752037, 'reg_lambda': 0.00039423946344671926, 'gamma': 0.0004597524181873655}. Best is trial 21 with value: -0.3868398804153802.
