[I 2026-07-14 20:53:22,327] A new study created in RDB with name: my-study
[I 2026-07-14 20:54:55,695] Trial 12 finished with value: -0.0526550177731453 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.0374666309848578, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00017085380735495093, 'reg_lambda': 60.82870500887513, 'gamma': 38.87767669784264}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:58,249] Trial 13 finished with value: -0.05262562939291825 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0008135052383898019, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.010291410630679659, 'reg_lambda': 1.1258413323417813e-06, 'gamma': 97.03839751305523}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:59,560] Trial 14 finished with value: -0.05261362737455644 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.1835991529481046, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 20.31565930579543, 'reg_lambda': 91.55835152976736, 'gamma': 0.06447551723795551}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:55:01,175] Trial 15 finished with value: -0.05190999629620818 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00326848232743652, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004926349705856219, 'reg_lambda': 0.7950833944962453, 'gamma': 7.544348834043074e-06}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:55:04,575] Trial 16 finished with value: -0.052361006009023374 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.00029505068920086764, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 7.6769165710841e-05, 'reg_lambda': 12.35470643205504, 'gamma': 0.007396923127811735}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:55:05,546] Trial 17 finished with value: -0.053007730117438805 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.007922244287308207, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.987973632251576e-06, 'reg_lambda': 0.002790234884597842, 'gamma': 0.021712220409278764}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:55:06,273] Trial 18 finished with value: -0.11574410172077959 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.4082379199228873, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.4493066639424077e-06, 'reg_lambda': 0.001788933051280009, 'gamma': 0.035231239476663685}. Best is trial 18 with value: -0.11574410172077959.
[I 2026-07-14 20:55:07,904] Trial 19 finished with value: -0.12695368866118845 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.3937628290459952, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.834037874754745e-06, 'reg_lambda': 0.0012307943164754972, 'gamma': 0.0065757186779509015}. Best is trial 19 with value: -0.12695368866118845.
[I 2026-07-14 20:55:09,145] Trial 20 finished with value: -0.10240420594112791 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.28037165883586024, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.414376061604909e-06, 'reg_lambda': 0.0008055588855054123, 'gamma': 0.031328780747939905}. Best is trial 19 with value: -0.12695368866118845.
[I 2026-07-14 20:55:11,392] Trial 21 finished with value: -0.1095644531487741 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.4295542321800708, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.0027767920144176e-06, 'reg_lambda': 0.001396243132536095, 'gamma': 0.012521500910424617}. Best is trial 19 with value: -0.12695368866118845.
