[I 2026-07-14 20:18:22,564] A new study created in RDB with name: my-study
[I 2026-07-14 20:19:34,515] Trial 12 finished with value: -0.019308398551019297 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.2850034433997323, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 12.775507616170378, 'reg_lambda': 0.023998136074346723, 'gamma': 49.00067368543283}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:40,328] Trial 13 finished with value: -0.019411730889896478 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.001034905131484229, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.169444930379703, 'reg_lambda': 7.518834402675997e-06, 'gamma': 7.092567098697107e-06}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:42,510] Trial 14 finished with value: -0.01933907344517826 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.008735883099275098, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 4.822615365496643, 'reg_lambda': 0.2068519230124274, 'gamma': 0.7605939734422681}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:54,075] Trial 15 finished with value: -0.024694333180528452 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.015253212396774199, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.01613723865564396, 'reg_lambda': 7.7593293299188915, 'gamma': 6.79742324399051e-06}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:20:11,814] Trial 16 finished with value: -0.01950999832003149 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.0005887347605516755, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0007008421974361687, 'reg_lambda': 2.1823327982802945, 'gamma': 6.135546467567024e-05}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:20:14,779] Trial 18 finished with value: -0.01934740867869584 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.3793712686418017, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00012211729994495007, 'reg_lambda': 0.40494743143530065, 'gamma': 35.522322576070515}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:20:15,386] Trial 17 finished with value: -0.019344676324610535 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.00010262967598096796, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 83.7530069369911, 'reg_lambda': 8.363964186245892e-06, 'gamma': 89.50375289946756}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:20:47,720] Trial 19 finished with value: -0.07056030445224931 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.4454664225923734, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 9.83882731460738e-05, 'reg_lambda': 0.1518362440730719, 'gamma': 2.9888118702944046e-05}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:11,586] Trial 20 finished with value: -0.029365176764005813 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.08801088218728163, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 6.956615678381776e-05, 'reg_lambda': 0.4661674529937717, 'gamma': 2.2611818867449713e-05}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:21:32,447] Trial 21 finished with value: -0.0372515721327216 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.4453637145906081, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 8.62339525114151e-05, 'reg_lambda': 0.3005069549520608, 'gamma': 0.00016458292140807853}. Best is trial 19 with value: -0.07056030445224931.
