[I 2026-07-14 16:51:51,793] A new study created in RDB with name: my-study
[I 2026-07-14 16:54:02,268] Trial 12 finished with value: -0.7867387216270115 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00010320239925396747, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0052345505096248225, 'reg_lambda': 0.0013771924098891343, 'gamma': 2.898340729134088}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:54:06,421] Trial 13 finished with value: -0.7658569308576354 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.0001272763309941361, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.6046948814643954e-05, 'reg_lambda': 2.8819515456871487, 'gamma': 22.87350180213296}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:54:13,038] Trial 14 finished with value: -0.7748000716048843 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0001348222002116113, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.09867473106267313, 'reg_lambda': 1.4785357692974676e-05, 'gamma': 6.704513565121715e-05}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:54:27,794] Trial 15 finished with value: -0.7519953035839382 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.12007647892654894, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.041602286059721785, 'reg_lambda': 0.0005140706629310059, 'gamma': 0.0006082487169509793}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:54:34,127] Trial 16 finished with value: -0.6865991562402942 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0010918027570626478, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0030146321927049095, 'reg_lambda': 0.5903952383415098, 'gamma': 0.00021220846758009218}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:54:37,123] Trial 17 finished with value: -0.7510085089921509 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.38825383694812166, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0849813629794277e-06, 'reg_lambda': 24.743311266668215, 'gamma': 83.82491345205416}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:55:02,252] Trial 18 finished with value: -0.9837126696494745 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.2780733954741861, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 2.949381037172848e-06, 'reg_lambda': 0.0004943136451912252, 'gamma': 0.00032846018834837225}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:05,325] Trial 19 finished with value: -0.7355762850453634 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.2601337337938318, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0009372164367102357, 'reg_lambda': 0.0006648892418855129, 'gamma': 55.52579750967538}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:08,492] Trial 20 finished with value: -0.7472951667027413 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.4434747395557652, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 2.3356064734960803e-06, 'reg_lambda': 76.42299790201079, 'gamma': 56.528976814106024}. Best is trial 18 with value: -0.9837126696494745.
[I 2026-07-14 16:55:29,273] Trial 21 finished with value: -0.905001789013373 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.4883885661006619, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0011918461244777797, 'reg_lambda': 0.0008457804284463736, 'gamma': 1.0341625774034141e-06}. Best is trial 18 with value: -0.9837126696494745.
