[I 2026-07-14 16:32:32,193] A new study created in RDB with name: my-study
[I 2026-07-14 16:35:38,571] Trial 12 finished with value: -0.1877560182322347 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.021115049271990975, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 5.65430093737528e-05, 'reg_lambda': 3.0225535998882176, 'gamma': 0.0003657009753764313}. Best is trial 9 with value: -0.31042552014271657.
[I 2026-07-14 16:35:43,191] Trial 13 finished with value: -0.1848643702572747 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.01999072400884154, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 8.774657651535405, 'reg_lambda': 55.4116710077839, 'gamma': 0.0005028840072835727}. Best is trial 9 with value: -0.31042552014271657.
[I 2026-07-14 16:36:08,008] Trial 14 finished with value: -0.26783613962976954 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.0002442507614971241, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.18809039124708316, 'reg_lambda': 1.3556760180309102e-05, 'gamma': 0.016760793717254998}. Best is trial 9 with value: -0.31042552014271657.
[I 2026-07-14 16:36:10,941] Trial 15 finished with value: -0.2852669745299614 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.0014526606105792195, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.05474224761521264, 'reg_lambda': 8.545543871485912e-05, 'gamma': 64.36367656995284}. Best is trial 9 with value: -0.31042552014271657.
[I 2026-07-14 16:36:14,575] Trial 16 finished with value: -0.32342324665313893 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.00011911066790343752, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.019264202710874905, 'reg_lambda': 0.00023398071521021427, 'gamma': 66.66396948154646}. Best is trial 16 with value: -0.32342324665313893.
[I 2026-07-14 16:36:18,588] Trial 18 finished with value: -0.27200541426206776 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.010938323813038836, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 85.95914966501428, 'reg_lambda': 0.00011120428175060545, 'gamma': 0.0006241564361408468}. Best is trial 16 with value: -0.32342324665313893.
[I 2026-07-14 16:36:18,960] Trial 17 finished with value: -0.20702077742722363 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.007721040330407684, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 33.44989006201721, 'reg_lambda': 8.009806065547328e-05, 'gamma': 1.243690523637898e-06}. Best is trial 16 with value: -0.32342324665313893.
[I 2026-07-14 16:36:21,391] Trial 19 finished with value: -0.21544830920225616 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.008717008814497676, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0829850326280904e-06, 'reg_lambda': 86.41893104029984, 'gamma': 0.0005772927976899172}. Best is trial 16 with value: -0.32342324665313893.
[I 2026-07-14 16:36:26,219] Trial 20 finished with value: -0.33152706720930813 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.000112896935262822, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4536681759122437, 'reg_lambda': 8.111921371766937e-05, 'gamma': 0.0006005786260128888}. Best is trial 20 with value: -0.33152706720930813.
[I 2026-07-14 16:36:28,629] Trial 21 finished with value: -0.32959336156362334 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.0001174970904821494, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.6388252916052796, 'reg_lambda': 0.00012145364422642597, 'gamma': 0.34298936586856515}. Best is trial 20 with value: -0.33152706720930813.
