[I 2026-07-14 19:51:29,261] A new study created in RDB with name: my-study
[I 2026-07-14 19:52:51,812] Trial 12 finished with value: -0.026005744601236284 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.0003061092838186806, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.011555241462917672, 'reg_lambda': 5.2022812090959155e-06, 'gamma': 0.0006818499799240368}. Best is trial 10 with value: -0.033856804697394355.
[I 2026-07-14 19:53:06,945] Trial 13 finished with value: -0.024918123704636058 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.00018691166530926983, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.8076889799561043e-05, 'reg_lambda': 9.68161288297085e-06, 'gamma': 0.009256853826818786}. Best is trial 10 with value: -0.033856804697394355.
[I 2026-07-14 19:53:15,284] Trial 14 finished with value: -0.02502404000442433 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.004001064084694793, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006927144741566379, 'reg_lambda': 0.00011172222762530405, 'gamma': 0.010114470929246118}. Best is trial 10 with value: -0.033856804697394355.
[I 2026-07-14 19:53:26,422] Trial 15 finished with value: -0.025175619189190722 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.003047980700758323, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.015728716271573226, 'reg_lambda': 0.008057636248426139, 'gamma': 1.152377273027483e-05}. Best is trial 10 with value: -0.033856804697394355.
[I 2026-07-14 19:53:36,565] Trial 16 finished with value: -0.024248262982172003 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.0007043241673711165, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.01128773338853307, 'reg_lambda': 70.78729749307008, 'gamma': 0.002205502746311279}. Best is trial 10 with value: -0.033856804697394355.
[I 2026-07-14 19:53:41,240] Trial 17 finished with value: -0.03452922336273701 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.4050294965696452, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.41853143966167855, 'reg_lambda': 1.5974559533521865e-06, 'gamma': 2.358040257958871e-06}. Best is trial 17 with value: -0.03452922336273701.
[I 2026-07-14 19:53:51,514] Trial 18 finished with value: -0.05180194180469041 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.32226220851569876, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 9.796256477306349e-05, 'reg_lambda': 77.48414926701199, 'gamma': 1.0390178568815736e-06}. Best is trial 18 with value: -0.05180194180469041.
[I 2026-07-14 19:54:15,239] Trial 19 finished with value: -0.034346989609942515 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.009072745333015995, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0013173301708745086, 'reg_lambda': 0.00042955740852650717, 'gamma': 3.6728822897607097e-06}. Best is trial 18 with value: -0.05180194180469041.
[I 2026-07-14 19:54:37,265] Trial 20 finished with value: -0.03289148686409443 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.006871379385357134, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00033790056941210956, 'reg_lambda': 0.0004278747225964336, 'gamma': 1.1343632972311782e-06}. Best is trial 18 with value: -0.05180194180469041.
[I 2026-07-14 19:54:58,806] Trial 21 finished with value: -0.032571426670122285 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.006187912449049023, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0010079711132327707, 'reg_lambda': 0.0020166932428578414, 'gamma': 1.449561625749062e-06}. Best is trial 18 with value: -0.05180194180469041.
