[I 2026-07-14 21:16:08,649] A new study created in RDB with name: my-study
[I 2026-07-14 21:17:31,595] Trial 12 finished with value: -0.04935125235225277 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0006782149690887181, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0002904560215588518, 'reg_lambda': 0.6225057011141524, 'gamma': 0.02967389902845028}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:17:33,652] Trial 13 finished with value: -0.04969838358632973 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00018749718619076675, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 8.46756480576243e-05, 'reg_lambda': 0.001865098242558003, 'gamma': 11.060689649286026}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:17:51,011] Trial 14 finished with value: -0.051298201515884684 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.0009716217628949984, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 4.723370223199701e-06, 'reg_lambda': 1.0512695810384238, 'gamma': 0.00398034410883064}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:17:52,792] Trial 15 finished with value: -0.04963237970541169 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.11069465762419027, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 49.02344618527675, 'reg_lambda': 0.024518192798974353, 'gamma': 7.531249156965652e-05}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:17:55,154] Trial 16 finished with value: -0.04963842614123228 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.008358773788904213, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0018205060867795518, 'reg_lambda': 0.0005741363352624151, 'gamma': 2.548855830695651}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:18:07,638] Trial 17 finished with value: -0.13137548941076077 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.4704508089077937, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.02561848441407141, 'reg_lambda': 0.00027838925075509657, 'gamma': 0.0014169352964177931}. Best is trial 10 with value: -0.14348607734135282.
[I 2026-07-14 21:18:26,458] Trial 18 finished with value: -0.2362450977427597 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.47497506442310594, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01748870314705168, 'reg_lambda': 0.00014401048829089545, 'gamma': 0.001062943330491014}. Best is trial 18 with value: -0.2362450977427597.
[I 2026-07-14 21:18:48,585] Trial 19 finished with value: -0.19991032620544966 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.30522450630308345, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.05465932155069965, 'reg_lambda': 0.0003451469499313317, 'gamma': 0.0010967579999323566}. Best is trial 18 with value: -0.2362450977427597.
[I 2026-07-14 21:19:15,413] Trial 20 finished with value: -0.2444756321375392 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.41943665097312527, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.04103422580937921, 'reg_lambda': 0.00036184060255145886, 'gamma': 0.000562629190687368}. Best is trial 20 with value: -0.2444756321375392.
[I 2026-07-14 21:19:38,560] Trial 21 finished with value: -0.2580588990702375 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.4922548538980307, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0768906621014166, 'reg_lambda': 0.00016928892129768882, 'gamma': 0.0007389328912154424}. Best is trial 21 with value: -0.2580588990702375.
