[I 2026-07-14 18:57:35,180] A new study created in RDB with name: my-study
[I 2026-07-14 18:58:04,535] Trial 12 finished with value: -0.06739968128672164 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.054967809569925905, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.07102407414668056, 'reg_lambda': 0.3027848447736052, 'gamma': 5.53197149990611}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:12,801] Trial 13 finished with value: -0.06666675257043611 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.000195897122046306, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0011654960375731464, 'reg_lambda': 3.1479039835686193e-06, 'gamma': 0.06270411020678242}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:29,685] Trial 14 finished with value: -0.11196687510641415 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.01831782101568384, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 2.407303650434612, 'reg_lambda': 9.979596429227453, 'gamma': 0.001441473185932031}. Best is trial 14 with value: -0.11196687510641415.
[I 2026-07-14 18:58:32,876] Trial 15 finished with value: -0.06595510840986013 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.00487772295785315, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 2.349047007550529e-05, 'reg_lambda': 1.834686453025123e-06, 'gamma': 0.039957833552666494}. Best is trial 14 with value: -0.11196687510641415.
[I 2026-07-14 18:58:36,055] Trial 16 finished with value: -0.06738541130415834 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.002413813078507478, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 91.91895423856694, 'reg_lambda': 0.0673439411846098, 'gamma': 0.0005228292861221412}. Best is trial 14 with value: -0.11196687510641415.
[I 2026-07-14 18:58:53,165] Trial 17 finished with value: -0.1379326418423258 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.43400304535227163, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.5302450540927948, 'reg_lambda': 2.2877651775793177e-06, 'gamma': 1.563650251382763e-06}. Best is trial 17 with value: -0.1379326418423258.
[I 2026-07-14 18:58:56,622] Trial 18 finished with value: -0.06593175082224376 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.3368820922643498, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.138953419989841e-06, 'reg_lambda': 0.16042413648276838, 'gamma': 0.2238437889672546}. Best is trial 17 with value: -0.1379326418423258.
[I 2026-07-14 18:59:08,571] Trial 19 finished with value: -0.14367442107989306 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.431909664206238, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.271697319078371e-06, 'reg_lambda': 0.09670465155106009, 'gamma': 0.07335601547236197}. Best is trial 19 with value: -0.14367442107989306.
[I 2026-07-14 18:59:13,163] Trial 20 finished with value: -0.10210938303224108 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.28535032692776924, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.42500699070091996, 'reg_lambda': 0.09437178402306474, 'gamma': 0.14984635028847493}. Best is trial 19 with value: -0.14367442107989306.
[I 2026-07-14 18:59:29,236] Trial 21 finished with value: -0.15015968802579147 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.34022721189675587, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.1563717266692648, 'reg_lambda': 0.07564742281892493, 'gamma': 1.1627878246197607e-06}. Best is trial 21 with value: -0.15015968802579147.
