[I 2026-07-14 20:50:07,995] A new study created in RDB with name: my-study
[I 2026-07-14 20:51:16,879] Trial 12 finished with value: -0.03573513338347889 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.25802883784255415, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.000951887004244709, 'reg_lambda': 0.050056431172353914, 'gamma': 8.906042923611906e-06}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:18,967] Trial 13 finished with value: -0.019044917030996 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.14585495230572254, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 23.609066515594325, 'reg_lambda': 1.005320213242422e-05, 'gamma': 37.1213948903594}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:20,532] Trial 14 finished with value: -0.019059333431219735 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.00010320740049240071, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00890516322123802, 'reg_lambda': 0.3705832722690434, 'gamma': 46.95680393425525}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:27,092] Trial 15 finished with value: -0.020489748806854384 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.0055638096458321224, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.06569493086467094, 'reg_lambda': 35.48481597186166, 'gamma': 2.8320277113263556e-05}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:27,496] Trial 16 finished with value: -0.019044725645637146 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.013077108265854877, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.12509377768294688, 'reg_lambda': 87.58767721856299, 'gamma': 6.662201013657256}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:36,324] Trial 17 finished with value: -0.027833013241033287 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.03994155524373104, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.118661034906432e-06, 'reg_lambda': 3.473886156930093e-06, 'gamma': 1.6112149853534698e-06}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:39,081] Trial 18 finished with value: -0.022609012495890084 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.055791440726848544, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4170970722265397e-06, 'reg_lambda': 73.71775817474332, 'gamma': 2.534106794464145e-05}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:41,959] Trial 19 finished with value: -0.021911514905144484 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.04782361790190807, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 2.160288108272589e-06, 'reg_lambda': 79.64693819645012, 'gamma': 0.0002834135796633205}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:49,780] Trial 20 finished with value: -0.03231730744154343 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.06983637314414595, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1149949846628375e-06, 'reg_lambda': 79.41827066127335, 'gamma': 7.8233701460901e-05}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:52,657] Trial 21 finished with value: -0.02212869863453834 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.05295410480361153, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0036872783729368e-06, 'reg_lambda': 39.53773510826096, 'gamma': 7.045193508505925e-05}. Best is trial 9 with value: -0.07157516160335382.
