[I 2026-07-14 16:42:23,738] A new study created in RDB with name: my-study
[I 2026-07-14 16:43:32,774] Trial 12 finished with value: -0.06649768472899559 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.27172309157199187, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 29.274139322557026, 'reg_lambda': 5.836523050225217, 'gamma': 0.0003179673519771742}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:45,450] Trial 13 finished with value: -0.12103058467969971 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.0002636586009849537, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0012222995409322845, 'reg_lambda': 0.8303955020194715, 'gamma': 3.0926266852448937e-06}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:47,176] Trial 14 finished with value: -0.06381108002406874 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.16812514932845596, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 17.252052786734644, 'reg_lambda': 0.2290336336846701, 'gamma': 0.0017666977255744428}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:05,678] Trial 15 finished with value: -0.11963117067315576 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.00015703421434612544, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.850666022193504, 'reg_lambda': 0.0003356193540150502, 'gamma': 0.2654073633473452}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:11,430] Trial 16 finished with value: -0.06204059333087257 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.05426378331717942, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0009520171021033541, 'reg_lambda': 0.0021154603306906957, 'gamma': 0.2957928100068205}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:17,434] Trial 17 finished with value: -0.06356579614817123 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.10648977355291214, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 11.265418779380024, 'reg_lambda': 1.5201556924448196e-06, 'gamma': 0.0010215966480635703}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:24,592] Trial 18 finished with value: -0.12691303853878444 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.00011370955385293814, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 53.37199363949373, 'reg_lambda': 0.009367855025742762, 'gamma': 0.0008360413658828575}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:33,294] Trial 19 finished with value: -0.1249854759401488 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.00010154402169811886, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 54.98926521616934, 'reg_lambda': 0.012506711555433264, 'gamma': 0.000980557116456696}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:44:57,346] Trial 20 finished with value: -0.11919342058608817 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.0001260936373333226, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.08887810214665913, 'reg_lambda': 0.021680323206875112, 'gamma': 0.0063935541436479035}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:45:24,432] Trial 21 finished with value: -0.11840394596258418 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.00011949070539369998, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10059280877279916, 'reg_lambda': 0.0063200357541638155, 'gamma': 0.003652388760472627}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:45:32,612] Trial 22 finished with value: -0.12072383048934139 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.00010075457473893485, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03770806763336805, 'reg_lambda': 1.13643639464419e-06, 'gamma': 4.061724815178636}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:45:37,348] Trial 23 finished with value: -0.0978880353386084 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.0006046845066764349, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03930690578927077, 'reg_lambda': 1.7106490136383295e-06, 'gamma': 8.693160901363079}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:45:42,084] Trial 24 finished with value: -0.10929035536478313 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.0003695064204232002, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.04346938666158211, 'reg_lambda': 1.918290099361322e-06, 'gamma': 8.734585295487147}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:45:47,344] Trial 25 finished with value: -0.10920791107544889 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.0003325931820756486, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01426601789241163, 'reg_lambda': 0.012304618057679201, 'gamma': 7.8141086166703735}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:46:26,598] Trial 26 finished with value: -0.09734080081039412 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.0005250706142951826, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7563490877854815, 'reg_lambda': 0.007759837578840584, 'gamma': 0.007183581327624394}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:46:57,384] Trial 27 finished with value: -0.10027297153537527 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.00048741341418668724, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.8797121062290487, 'reg_lambda': 0.01052495503905543, 'gamma': 0.008193140106763983}. Best is trial 3 with value: -0.13186739598841804.
