[I 2026-07-14 16:32:32,206] A new study created in RDB with name: my-study
[I 2026-07-14 16:34:15,788] Trial 12 finished with value: -0.19392240307734843 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.001404543540493126, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 4.318105533055942e-06, 'reg_lambda': 0.013300047826954152, 'gamma': 0.00109276572254338}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:17,342] Trial 13 finished with value: -0.17281032475212596 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.011154919058116875, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00016504014238059075, 'reg_lambda': 6.080746764159394e-06, 'gamma': 7.664381852207967e-06}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:22,260] Trial 14 finished with value: -0.1634415848498994 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.004649008050454868, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00014898015822236048, 'reg_lambda': 4.412515366541973, 'gamma': 0.00017594642879768466}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:36,582] Trial 15 finished with value: -0.18785168713124298 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.000842015431317231, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.019714071398052223, 'reg_lambda': 0.7211197653675062, 'gamma': 6.482604639644329e-05}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:46,583] Trial 16 finished with value: -0.18472846879870106 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.0671578368392221, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 4.929977265090689e-06, 'reg_lambda': 6.085961072027075e-06, 'gamma': 3.900440123177773e-05}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:46,691] Trial 17 finished with value: -0.2028604571912978 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00019303076782756448, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 70.42770957655549, 'reg_lambda': 1.167500387141176e-06, 'gamma': 1.2194846384650083e-06}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:50,248] Trial 18 finished with value: -0.17661085956068767 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.04185570101305686, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 82.37580409448934, 'reg_lambda': 9.008314593016177e-06, 'gamma': 2.975710695238611e-06}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:53,870] Trial 19 finished with value: -0.17607841317203904 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.03926913761787741, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 76.57284586573795, 'reg_lambda': 1.4336065766828704e-05, 'gamma': 1.1628012345570075e-06}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:34:58,867] Trial 20 finished with value: -0.20239183751183543 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.00011851319731775465, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.705907227387969e-06, 'reg_lambda': 1.2926604162741116e-05, 'gamma': 0.01717885554742069}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:35:02,601] Trial 21 finished with value: -0.20208897558174968 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.00014393953002611674, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0974541277123878e-06, 'reg_lambda': 7.19044001592289e-05, 'gamma': 0.016712222034502493}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:35:03,543] Trial 22 finished with value: -0.2008564938457481 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 250, 'learning_rate': 0.00028772565143012974, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 96.87714394281, 'reg_lambda': 6.111674972516487e-05, 'gamma': 0.0057042752685991915}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:35:36,967] Trial 23 finished with value: -0.19216989217928312 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.00013230157215510002, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.2171179188338706e-06, 'reg_lambda': 0.00048627163011711575, 'gamma': 0.017826687001149748}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:35:41,006] Trial 24 finished with value: -0.19570000816879685 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.00013286919548502487, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 93.68430968779417, 'reg_lambda': 0.00021846701736241816, 'gamma': 0.008850191543471967}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:36:02,666] Trial 25 finished with value: -0.19024447024320598 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.00011393687290978183, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 18.35501352540319, 'reg_lambda': 8.225145226776894e-05, 'gamma': 0.015377819331082804}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:36:14,999] Trial 26 finished with value: -0.19460167358728092 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.00011378066079546582, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 13.908147476304407, 'reg_lambda': 0.00013335734855732717, 'gamma': 0.033873935997294345}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:36:44,755] Trial 27 finished with value: -0.18606184256675498 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.00013743959949392612, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 8.408010112903112, 'reg_lambda': 0.00012691460217802343, 'gamma': 0.014423918852049402}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:37:41,713] Trial 28 finished with value: -0.18971636377266474 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00010308649146361824, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0952923416590907e-06, 'reg_lambda': 0.00013217557406094754, 'gamma': 0.026459397458328898}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:38:02,779] Trial 29 finished with value: -0.19072791726673638 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00010391125102262458, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 11.76505853642065, 'reg_lambda': 0.00012564956617050615, 'gamma': 0.029469529346066153}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:38:07,094] Trial 30 finished with value: -0.20076530687188793 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00010398387678125172, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 6.576206711175734, 'reg_lambda': 1.378403817880176e-06, 'gamma': 0.09663276443835135}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:38:37,800] Trial 31 finished with value: -0.1754999613106625 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.00028803216313034807, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 5.735819080487966, 'reg_lambda': 1.2184157528193731e-06, 'gamma': 0.0882527439036238}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:38:40,939] Trial 32 finished with value: -0.19652816542935306 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.000301495068213739, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 6.498483453341438, 'reg_lambda': 1.5369802152094488e-06, 'gamma': 0.09897555181447928}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:38:52,599] Trial 33 finished with value: -0.19629623641743266 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00033303686436527005, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004169460531800523, 'reg_lambda': 1.3565094537899795e-06, 'gamma': 0.08597846334014317}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:39:01,333] Trial 34 finished with value: -0.19593958360427757 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.00045270151369726714, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004871245771115323, 'reg_lambda': 1.7370692750198685e-06, 'gamma': 0.12471697758200513}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:39:11,651] Trial 35 finished with value: -0.26905191462342254 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.48300311152897785, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0064454622450022545, 'reg_lambda': 1.1463261037477036e-06, 'gamma': 0.12125862518433334}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:20,551] Trial 36 finished with value: -0.19558523633383423 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00038621238515407924, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.003950611951862608, 'reg_lambda': 2.028790353616816e-06, 'gamma': 0.1266835225845902}. Best is trial 35 with value: -0.26905191462342254.
[I 2026-07-14 16:39:27,913] Trial 37 finished with value: -0.19682725053502373 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0003204391265602934, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.017044310139742638, 'reg_lambda': 1.1954056127901094e-06, 'gamma': 0.1601407002505655}. Best is trial 35 with value: -0.26905191462342254.
